Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 425.187 ; 316.960 ; 277.311 ; 311.383 ; 339.806 ; 347.509 ; 495.711 ; 634.521 ; 961.625 ; 1.252.623 ; 979.038 ; 1.163.947 ; 737.395 ; 876.155 ; 1.105.354 ; 1.251.915 ; 1.212.363 ; 886.758 
Fevereiro; 421.706 ; 279.911 ; 246.957 ; 245.169 ; 320.650 ; 320.373 ; 474.549 ; 580.580 ; 942.034 ; 1.172.274 ; 804.779 ; 1.124.524 ; 792.700 ; 887.330 ; 1.059.308 ; 1.269.072 ; 1.140.129 ; 867.882 
Março; 405.266 ; 321.258 ; 264.582 ; 236.819 ; 380.618 ; 355.718 ; 424.645 ; 697.903 ; 1.004.126 ; 1.313.564 ; 1.084.078 ; 790.751 ; 852.874 ; 887.387 ; 959.139 ; 1.448.765 ; 1.132.195 ; 1.009.816 
Abril; 414.610 ; 289.202 ; 307.761 ; 237.013 ; 371.601 ; 340.473 ; 390.737 ; 645.851 ; 1.058.396 ; 1.387.202 ; 1.223.933 ; 531.958 ; 789.145 ; 884.450 ; 997.591 ; 1.499.972 ; 1.160.337 ; 985.483 
Maio; 435.215 ; 299.803 ; 316.489 ; 240.526 ; 395.185 ; 361.112 ; 474.446 ; 671.354 ; 1.065.803 ; 1.313.498 ; 1.318.471 ; 901.705 ; 813.118 ; 871.401 ; 991.461 ; 1.434.708 ; 1.319.907 ; 1.041.871 
Junho; 376.628 ; 292.949 ; 310.522 ; 224.405 ; 367.283 ; 369.530 ; 484.036 ; 708.819 ; 1.045.669 ; 1.371.581 ; 1.343.949 ; 1.050.955 ; 752.358 ; 906.232 ; 951.225 ; 1.490.273 ; 1.261.523 ; 1.047.823 
Julho; 403.953 ; 282.258 ; 352.413 ; 269.250 ; 418.631 ; 371.124 ; 513.376 ; 761.091 ; 1.119.516 ; 1.447.731 ; 1.419.920 ; 957.650 ; 766.074 ; 963.238 ; 1.015.425 ; 1.552.110 ; 1.314.602 ; 1.056.344 
Agosto; 348.160 ; 284.237 ; 336.653 ; 248.127 ; 347.228 ; 407.609 ; 537.207 ; 836.187 ; 1.127.145 ; 1.408.877 ; 1.390.214 ; 989.564 ; 821.322 ; 1.020.674 ; 1.061.067 ; 1.576.056 ; 1.351.409 ; 1.220.999 
Setembro; 340.731 ; 262.667 ; 378.499 ; 251.868 ; 375.858 ; 445.284 ; 566.178 ; 819.240 ; 1.196.717 ; 1.501.346 ; 1.420.724 ; 839.776 ; 815.791 ; 1.016.544 ; 1.100.117 ; 1.633.095 ; 1.344.811 ; 1.311.907 
Outubro; 343.127 ; 293.395 ; 390.389 ; 299.343 ; 388.805 ; 408.761 ; 568.983 ; 992.144 ; 1.231.555 ; 1.500.497 ; 1.345.288 ; 873.128 ; 918.802 ; 1.126.515 ; 1.208.197 ; 1.750.110 ; 1.198.897 ; 1.377.058 
Novembro; 337.875 ; 275.324 ; 286.504 ; 281.154 ; 374.274 ; 427.193 ; 584.201 ; 978.165 ; 1.167.380 ; 1.292.756 ; 1.310.311 ; 818.507 ; 898.238 ; 1.104.387 ; 1.165.671 ; 1.409.932 ; 1.005.537 ; 1.338.132 
Dezembro; 351.129 ; 304.031 ; 323.800 ; 400.265 ; 432.988 ; 512.537 ; 672.484 ; 1.040.980 ; 1.370.131 ; 1.509.001 ; 1.433.596 ; 856.756 ; 892.364 ; 1.210.650 ; 1.379.560 ; 1.546.733 ; 1.144.133 ;
