Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 1.810.572 ; 1.845.440 ; 1.921.459 ; 1.827.855 ; 1.883.483 ; 1.843.908 ; 1.926.858 ; 1.976.896 ; 2.034.837 ; 2.039.273 ; 2.448.435 ; 2.521.224 ; 3.097.527 ; 3.335.897 ; 3.588.306 ; 3.860.410 ; 3.321.868 ; 3.722.537 
Fevereiro; 1.966.365 ; 1.714.464 ; 1.805.728 ; 1.590.595 ; 1.742.412 ; 1.805.672 ; 1.874.940 ; 1.844.983 ; 1.926.803 ; 1.914.531 ; 2.385.364 ; 2.534.105 ; 3.062.795 ; 2.987.487 ; 3.432.935 ; 3.110.123 ; 3.463.858 ; 3.546.966 
Março; 1.801.198 ; 1.885.719 ; 1.876.689 ; 1.578.290 ; 1.933.875 ; 2.062.841 ; 2.040.355 ; 2.083.408 ; 2.031.921 ; 2.071.668 ; 2.663.940 ; 3.097.720 ; 3.309.410 ; 3.360.622 ; 3.555.265 ; 3.402.206 ; 3.732.665 ; 3.948.916 
Abril; 1.863.562 ; 1.862.995 ; 1.893.523 ; 1.705.272 ; 1.976.364 ; 1.917.475 ; 1.947.975 ; 1.973.344 ; 2.062.343 ; 2.084.110 ; 2.412.309 ; 3.155.810 ; 3.167.339 ; 3.423.165 ; 3.763.830 ; 3.449.429 ; 3.571.396 ; 3.650.212 
Maio; 1.869.176 ; 1.901.299 ; 1.885.042 ; 1.839.794 ; 1.827.068 ; 1.963.680 ; 2.007.190 ; 2.042.571 ; 2.044.138 ; 1.970.897 ; 2.332.079 ; 2.842.808 ; 3.245.574 ; 3.499.343 ; 3.716.598 ; 3.274.965 ; 3.428.701 ; 3.784.613 
Junho; 2.011.256 ; 1.940.547 ; 1.757.909 ; 1.739.301 ; 1.835.733 ; 1.956.777 ; 1.934.165 ; 2.007.011 ; 1.993.712 ; 2.023.362 ; 2.323.568 ; 2.775.751 ; 3.209.043 ; 3.281.793 ; 3.455.631 ; 3.344.632 ; 3.370.928 ; 3.761.325 
Julho; 1.780.834 ; 1.813.032 ; 1.848.169 ; 1.879.542 ; 1.980.068 ; 1.940.779 ; 1.928.606 ; 1.992.884 ; 2.146.454 ; 2.127.463 ; 2.424.926 ; 2.845.254 ; 3.249.795 ; 3.485.650 ; 3.645.348 ; 3.422.149 ; 3.442.006 ; 3.709.278 
Agosto; 1.847.763 ; 1.909.391 ; 1.857.341 ; 1.800.039 ; 1.941.597 ; 2.053.537 ; 2.062.841 ; 2.069.937 ; 2.096.694 ; 2.020.808 ; 2.415.108 ; 3.022.670 ; 3.443.751 ; 3.586.453 ; 3.703.508 ; 3.289.414 ; 3.553.376 ; 3.695.580 
Setembro; 1.885.878 ; 1.794.803 ; 1.839.996 ; 1.836.582 ; 2.012.721 ; 1.984.885 ; 2.052.914 ; 1.923.142 ; 2.187.424 ; 2.098.188 ; 2.465.610 ; 3.063.239 ; 3.251.624 ; 3.372.567 ; 3.777.758 ; 3.315.074 ; 3.583.992 ; 3.500.535 
Outubro; 1.919.653 ; 1.868.048 ; 2.104.499 ; 1.986.193 ; 1.942.846 ; 1.873.754 ; 2.022.895 ; 2.121.191 ; 2.239.878 ; 2.296.541 ; 2.487.206 ; 3.009.696 ; 3.570.055 ; 3.648.719 ; 4.000.745 ; 3.475.018 ; 3.620.869 ; 3.538.766 
Novembro; 1.875.821 ; 1.791.888 ; 1.736.800 ; 1.819.879 ; 1.876.477 ; 1.920.306 ; 1.961.920 ; 2.016.819 ; 2.011.583 ; 2.138.751 ; 2.525.660 ; 3.066.216 ; 3.321.685 ; 3.578.909 ; 3.537.267 ; 3.249.605 ; 3.706.914 ; 3.435.171 
Dezembro; 1.998.117 ; 1.883.374 ; 2.083.103 ; 2.187.311 ; 2.221.234 ; 2.229.875 ; 2.246.973 ; 2.273.262 ; 2.398.995 ; 2.623.497 ; 2.959.459 ; 3.556.763 ; 3.769.116 ; 3.865.632 ; 4.187.055 ; 3.944.377 ; 4.222.509 ;
