Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 7.616 ; 8.069 ; 7.868 ; 7.306 ; 7.621 ; 7.451 ; 5.758 ; 5.761 ; 6.174 ; 5.994 ; 6.978 ; 7.028 ; 7.246 ; 8.082 ; 8.398 ; 7.612 ; 5.395 ; 4.350 
Fevereiro; 7.931 ; 7.026 ; 6.914 ; 6.357 ; 6.606 ; 6.022 ; 4.410 ; 5.072 ; 5.614 ; 5.541 ; 5.967 ; 6.222 ; 6.780 ; 6.570 ; 6.953 ; 5.936 ; 5.085 ; 4.450 
Março; 6.134 ; 6.839 ; 6.096 ; 4.777 ; 5.934 ; 5.231 ; 4.832 ; 5.439 ; 4.779 ; 5.612 ; 6.255 ; 5.282 ; 6.785 ; 6.210 ; 6.282 ; 5.854 ; 5.818 ; 4.933 
Abril; 6.131 ; 5.443 ; 4.970 ; 3.484 ; 4.620 ; 4.198 ; 3.816 ; 4.269 ; 5.156 ; 4.594 ; 4.893 ; 5.794 ; 6.130 ; 6.796 ; 7.000 ; 5.235 ; 4.045 ; 3.948 
Maio; 5.378 ; 7.070 ; 4.659 ; 4.032 ; 3.852 ; 3.861 ; 3.982 ; 3.995 ; 4.385 ; 4.523 ; 4.938 ; 5.553 ; 5.962 ; 5.900 ; 6.330 ; 5.064 ; 4.582 ; 4.054 
Junho; 5.865 ; 3.609 ; 4.323 ; 3.274 ; 3.735 ; 3.560 ; 3.842 ; 3.902 ; 4.117 ; 4.191 ; 5.143 ; 5.295 ; 5.039 ; 5.168 ; 4.781 ; 4.796 ; 3.824 ; 4.098 
Julho; 5.723 ; 4.587 ; 3.912 ; 4.030 ; 4.260 ; 3.526 ; 3.751 ; 3.727 ; 5.502 ; 4.429 ; 4.867 ; 5.307 ; 5.951 ; 5.823 ; 6.060 ; 4.640 ; 4.266 ; 4.308 
Agosto; 5.712 ; 5.289 ; 3.059 ; 4.080 ; 4.563 ; 4.036 ; 4.264 ; 4.009 ; 4.298 ; 4.497 ; 5.720 ; 5.549 ; 6.135 ; 5.995 ; 5.832 ; 4.721 ; 4.977 ; 3.875 
Setembro; 5.006 ; 4.719 ; 5.018 ; 4.010 ; 4.305 ; 4.076 ; 4.599 ; 4.087 ; 5.089 ; 4.912 ; 6.292 ; 5.636 ; 5.558 ; 5.377 ; 6.420 ; 4.676 ; 4.679 ; 4.746 
Outubro; 6.303 ; 6.106 ; 5.312 ; 5.004 ; 4.824 ; 3.672 ; 3.383 ; 4.306 ; 5.028 ; 5.403 ; 5.415 ; 5.454 ; 6.407 ; 6.079 ; 5.811 ; 4.723 ; 4.337 ; 3.790 
Novembro; 7.007 ; 5.793 ; 4.946 ; 5.345 ; 5.101 ; 4.953 ; 4.410 ; 4.666 ; 4.764 ; 5.612 ; 6.008 ; 6.378 ; 6.669 ; 7.362 ; 5.836 ; 4.604 ; 4.406 ; 4.477 
Dezembro; 7.133 ; 6.283 ; 6.265 ; 7.200 ; 6.005 ; 4.877 ; 5.215 ; 5.511 ; 6.103 ; 7.177 ; 7.080 ; 6.880 ; 7.598 ; 7.573 ; 6.541 ; 5.866 ; 5.831 ;
