Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 857.973 ; 802.301 ; 727.274 ; 553.529 ; 450.580 ; 445.727 ; 385.461 ; 450.924 ; 472.680 ; 351.473 ; 401.118 ; 319.206 ; 280.243 ; 596.710 ; 442.497 ; 487.352 ; 376.536 ; 238.072 
Fevereiro; 833.110 ; 680.377 ; 562.934 ; 500.183 ; 414.915 ; 388.934 ; 373.960 ; 399.003 ; 419.450 ; 371.199 ; 379.672 ; 288.374 ; 250.956 ; 453.476 ; 490.628 ; 460.433 ; 310.704 ; 198.393 
Março; 909.600 ; 770.005 ; 607.497 ; 549.701 ; 495.124 ; 447.191 ; 408.506 ; 464.417 ; 441.126 ; 431.512 ; 447.136 ; 310.655 ; 292.279 ; 456.912 ; 499.825 ; 477.001 ; 293.143 ; 293.325 
Abril; 770.167 ; 724.183 ; 676.709 ; 524.956 ; 456.653 ; 414.386 ; 409.765 ; 408.525 ; 426.909 ; 447.263 ; 429.227 ; 301.679 ; 304.212 ; 417.513 ; 525.098 ; 390.019 ; 301.408 ; 235.540 
Maio; 811.013 ; 780.636 ; 658.735 ; 522.312 ; 414.258 ; 426.049 ; 414.354 ; 429.964 ; 419.993 ; 389.747 ; 428.928 ; 302.004 ; 298.741 ; 469.520 ; 504.196 ; 390.417 ; 249.430 ; 217.096 
Junho; 848.226 ; 791.039 ; 653.581 ; 473.518 ; 441.655 ; 464.896 ; 431.825 ; 456.407 ; 437.251 ; 399.597 ; 443.188 ; 299.397 ; 278.702 ; 449.379 ; 438.846 ; 410.366 ; 255.702 ; 210.914 
Julho; 859.642 ; 797.457 ; 613.988 ; 550.556 ; 471.754 ; 448.079 ; 446.535 ; 484.460 ; 455.640 ; 442.307 ; 445.555 ; 300.745 ; 305.345 ; 270.705 ; 470.275 ; 367.919 ; 209.955 ; 244.374 
Agosto; 968.274 ; 785.530 ; 635.662 ; 516.986 ; 450.988 ; 478.303 ; 466.674 ; 500.086 ; 447.725 ; 440.897 ; 478.948 ; 322.541 ; 317.972 ; 271.518 ; 597.155 ; 382.083 ; 233.180 ; 394.252 
Setembro; 832.250 ; 781.416 ; 610.394 ; 510.613 ; 452.885 ; 455.976 ; 448.712 ; 483.574 ; 433.770 ; 449.257 ; 436.645 ; 311.631 ; 282.207 ; 346.674 ; 592.243 ; 389.886 ; 258.089 ; 387.711 
Outubro; 837.954 ; 799.747 ; 622.068 ; 502.385 ; 439.427 ; 411.340 ; 464.536 ; 524.167 ; 445.021 ; 445.579 ; 363.083 ; 307.870 ; 369.951 ; 406.781 ; 551.815 ; 400.320 ; 318.375 ; 431.004 
Novembro; 813.952 ; 687.842 ; 601.615 ; 493.383 ; 455.925 ; 425.702 ; 458.934 ; 487.905 ; 389.772 ; 419.077 ; 321.143 ; 301.070 ; 505.686 ; 441.966 ; 532.971 ; 397.478 ; 238.647 ; 341.664 
Dezembro; 743.939 ; 692.358 ; 590.539 ; 502.235 ; 468.167 ; 430.643 ; 417.357 ; 435.626 ; 382.349 ; 416.065 ; 326.840 ; 306.730 ; 447.792 ; 409.391 ; 549.531 ; 378.490 ; 287.391 ;
