Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 2.562.815 ; 2.759.716 ; 2.899.307 ; 2.724.455 ; 2.823.292 ; 2.820.852 ; 2.935.471 ; 3.047.478 ; 3.366.103 ; 3.158.389 ; 3.349.428 ; 3.556.627 ; 3.927.755 ; 4.456.693 ; 4.566.321 ; 4.732.999 ; 3.942.870 ; 3.959.167 
Fevereiro; 2.851.462 ; 2.561.987 ; 2.733.475 ; 2.749.373 ; 2.699.474 ; 2.869.010 ; 2.824.573 ; 2.970.992 ; 3.403.057 ; 3.102.351 ; 3.544.080 ; 3.840.066 ; 4.179.451 ; 4.276.021 ; 4.679.585 ; 4.071.621 ; 4.284.567 ; 4.034.946 
Março; 2.795.766 ; 3.165.428 ; 3.252.581 ; 2.794.088 ; 3.402.615 ; 3.398.889 ; 3.421.044 ; 3.640.070 ; 3.697.486 ; 3.638.847 ; 4.275.740 ; 4.297.600 ; 4.750.773 ; 4.696.752 ; 4.815.103 ; 5.013.802 ; 4.751.359 ; 4.852.097 
Abril; 2.850.548 ; 2.941.729 ; 3.076.561 ; 2.901.616 ; 3.253.257 ; 3.269.321 ; 3.031.727 ; 3.235.435 ; 3.712.789 ; 3.568.806 ; 3.966.711 ; 4.091.091 ; 4.313.014 ; 4.943.159 ; 4.885.146 ; 4.738.923 ; 4.572.944 ; 4.146.624 
Maio; 2.917.606 ; 3.083.161 ; 3.121.720 ; 3.154.484 ; 3.090.425 ; 3.204.510 ; 3.229.794 ; 3.424.817 ; 3.738.678 ; 3.531.495 ; 4.087.652 ; 4.433.833 ; 4.669.095 ; 4.928.346 ; 5.131.919 ; 4.636.557 ; 4.499.733 ; 4.614.687 
Junho; 3.073.554 ; 3.124.514 ; 3.029.015 ; 2.930.435 ; 3.215.676 ; 3.293.996 ; 3.205.181 ; 3.447.869 ; 3.836.998 ; 3.700.802 ; 4.128.163 ; 4.385.229 ; 4.563.514 ; 4.708.673 ; 4.707.725 ; 4.863.309 ; 4.616.496 ; 4.677.454 
Julho; 2.852.406 ; 3.177.964 ; 3.231.523 ; 3.254.905 ; 3.426.627 ; 3.319.444 ; 3.262.235 ; 3.496.716 ; 3.873.327 ; 3.898.154 ; 4.329.367 ; 4.519.258 ; 4.779.889 ; 5.119.508 ; 5.186.601 ; 4.963.402 ; 4.697.057 ; 4.821.464 
Agosto; 3.182.950 ; 3.456.504 ; 3.302.889 ; 3.234.108 ; 3.600.940 ; 3.641.540 ; 3.547.416 ; 3.834.209 ; 3.885.256 ; 3.833.458 ; 4.427.263 ; 4.863.319 ; 5.218.641 ; 5.369.365 ; 5.350.987 ; 5.017.610 ; 4.903.385 ; 5.001.582 
Setembro; 3.010.823 ; 3.208.521 ; 3.265.195 ; 3.350.136 ; 3.556.588 ; 3.453.426 ; 3.460.791 ; 3.523.812 ; 4.052.905 ; 3.932.700 ; 4.328.278 ; 4.794.123 ; 4.734.886 ; 5.029.823 ; 5.355.678 ; 4.932.081 ; 4.775.598 ; 4.856.584 
Outubro; 3.150.900 ; 3.455.040 ; 3.683.701 ; 3.563.090 ; 3.488.649 ; 3.357.951 ; 3.546.455 ; 3.907.983 ; 4.134.979 ; 4.265.487 ; 4.413.446 ; 4.652.908 ; 5.259.785 ; 5.483.350 ; 5.732.737 ; 5.181.460 ; 4.631.472 ; 4.915.708 
Novembro; 3.086.397 ; 3.261.715 ; 3.124.957 ; 3.105.641 ; 3.391.549 ; 3.360.963 ; 3.400.082 ; 3.663.390 ; 3.603.928 ; 3.861.570 ; 4.297.112 ; 4.542.682 ; 5.000.417 ; 5.091.615 ; 4.910.218 ; 4.558.032 ; 4.400.046 ; 4.640.642 
Dezembro; 2.816.039 ; 2.828.623 ; 2.947.423 ; 3.090.923 ; 3.276.581 ; 3.177.253 ; 3.143.627 ; 3.365.409 ; 3.458.446 ; 3.806.404 ; 4.091.799 ; 4.287.177 ; 4.503.146 ; 4.469.189 ; 4.709.599 ; 4.501.075 ; 4.203.043 ;
