Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 363.518 ; 423.842 ; 388.977 ; 360.682 ; 338.226 ; 353.355 ; 398.849 ; 406.528 ; 457.323 ; 462.148 ; 520.360 ; 583.417 ; 644.272 ; 613.829 ; 660.927 ; 670.087 ; 654.915 ; 605.899 
Fevereiro; 342.380 ; 373.537 ; 349.305 ; 314.893 ; 317.923 ; 329.525 ; 341.946 ; 366.569 ; 415.894 ; 399.269 ; 461.137 ; 518.930 ; 586.668 ; 534.292 ; 566.886 ; 580.578 ; 565.502 ; 500.332 
Março; 351.384 ; 430.834 ; 379.104 ; 325.205 ; 363.646 ; 380.973 ; 407.539 ; 413.319 ; 444.697 ; 443.072 ; 511.420 ; 574.294 ; 623.290 ; 607.196 ; 610.055 ; 622.995 ; 571.441 ; 561.215 
Abril; 334.956 ; 394.484 ; 387.659 ; 337.589 ; 336.288 ; 352.490 ; 350.112 ; 386.876 ; 428.162 ; 421.701 ; 482.567 ; 542.471 ; 597.759 ; 582.224 ; 595.921 ; 592.116 ; 531.237 ; 515.493 
Maio; 352.383 ; 412.960 ; 373.541 ; 316.778 ; 347.383 ; 366.619 ; 394.086 ; 396.310 ; 438.389 ; 433.842 ; 504.970 ; 565.776 ; 606.645 ; 598.076 ; 617.005 ; 608.065 ; 549.056 ; 536.720 
Junho; 335.157 ; 387.799 ; 351.905 ; 308.027 ; 343.491 ; 359.214 ; 352.163 ; 388.561 ; 427.392 ; 430.595 ; 497.283 ; 551.793 ; 588.508 ; 584.282 ; 609.429 ; 591.068 ; 539.190 ; 525.071 
Julho; 385.088 ; 429.385 ; 353.007 ; 341.494 ; 369.434 ; 383.375 ; 361.039 ; 423.701 ; 455.114 ; 474.462 ; 547.121 ; 607.423 ; 636.017 ; 637.231 ; 657.505 ; 656.111 ; 584.940 ; 588.714 
Agosto; 333.390 ; 419.328 ; 369.756 ; 317.319 ; 369.585 ; 393.591 ; 356.311 ; 412.033 ; 437.652 ; 464.526 ; 540.954 ; 593.087 ; 616.502 ; 621.063 ; 635.413 ; 618.451 ; 572.162 ; 569.898 
Setembro; 346.769 ; 378.738 ; 389.968 ; 331.368 ; 348.466 ; 370.789 ; 355.446 ; 397.359 ; 420.990 ; 455.337 ; 523.562 ; 589.113 ; 591.669 ; 586.206 ; 606.073 ; 596.531 ; 538.965 ; 544.054 
Outubro; 355.536 ; 402.012 ; 367.034 ; 349.544 ; 348.106 ; 377.709 ; 368.249 ; 426.212 ; 433.514 ; 479.278 ; 542.486 ; 603.637 ; 608.510 ; 616.381 ; 631.509 ; 612.395 ; 554.820 ; 572.377 
Novembro; 410.622 ; 378.477 ; 382.133 ; 316.245 ; 361.945 ; 372.330 ; 371.804 ; 422.160 ; 424.283 ; 463.144 ; 542.948 ; 596.549 ; 585.600 ; 601.506 ; 623.657 ; 586.986 ; 528.356 ; 562.003 
Dezembro; 421.499 ; 386.856 ; 343.985 ; 353.258 ; 364.908 ; 389.506 ; 408.417 ; 450.970 ; 444.089 ; 501.009 ; 575.295 ; 628.866 ; 606.552 ; 642.539 ; 655.843 ; 619.691 ; 574.163 ;
