Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 17.346 ; 16.616 ; 17.852 ; 15.161 ; 7.618 ; 6.031 ; 4.349 ; 3.129 ; 2.622 ; 1.491 ; 1.182 ; 1.258 ; 1.196 ; 957 ; 893 ; 487 ; 507 ; 547 
Fevereiro; 15.897 ; 15.821 ; 16.350 ; 16.239 ; 7.415 ; 5.477 ; 3.476 ; 2.577 ; 2.273 ; 1.330 ; 1.278 ; 1.094 ; 950 ; 714 ; 684 ; 452 ; 564 ; 382 
Março; 9.298 ; 18.772 ; 12.527 ; 16.532 ; 9.079 ; 6.651 ; 4.133 ; 2.850 ; 2.411 ; 1.448 ; 1.562 ; 1.253 ; 1.176 ; 852 ; 557 ; 694 ; 532 ; 597 
Abril; 10.004 ; 16.617 ; 14.420 ; 11.084 ; 6.005 ; 4.675 ; 2.972 ; 2.296 ; 2.126 ; 1.399 ; 1.305 ; 1.106 ; 938 ; 1.009 ; 696 ; 552 ; 600 ; 386 
Maio; 11.323 ; 14.784 ; 14.064 ; 14.018 ; 7.491 ; 4.144 ; 3.583 ; 2.860 ; 2.115 ; 1.539 ; 1.290 ; 1.359 ; 1.210 ; 904 ; 699 ; 435 ; 605 ; 495 
Junho; 12.221 ; 12.302 ; 17.945 ; 11.847 ; 7.453 ; 4.638 ; 5.147 ; 2.249 ; 1.796 ; 1.321 ; 1.246 ; 1.054 ; 912 ; 742 ; 591 ; 423 ; 523 ; 345 
Julho; 12.778 ; 13.395 ; 18.817 ; 13.193 ; 15.099 ; 4.404 ; 3.417 ; 2.469 ; 2.048 ; 1.549 ; 1.174 ; 1.154 ; 784 ; 669 ; 703 ; 399 ; 409 ; 449 
Agosto; 14.015 ; 17.476 ; 18.161 ; 17.251 ; 12.554 ; 5.320 ; 3.411 ; 2.742 ; 1.842 ; 1.280 ; 1.367 ; 1.250 ; 1.022 ; 754 ; 506 ; 461 ; 524 ; 550 
Setembro; 12.917 ; 17.517 ; 18.315 ; 19.242 ; 10.033 ; 5.406 ; 2.730 ; 2.336 ; 2.075 ; 1.321 ; 1.131 ; 1.313 ; 853 ; 707 ; 603 ; 444 ; 369 ; 416 
Outubro; 12.865 ; 20.514 ; 21.031 ; 16.764 ; 9.993 ; 4.590 ; 3.105 ; 2.460 ; 2.098 ; 1.235 ; 1.273 ; 1.176 ; 923 ; 907 ; 550 ; 527 ; 471 ; 378 
Novembro; 14.443 ; 19.450 ; 16.045 ; 11.530 ; 12.840 ; 3.556 ; 3.287 ; 2.433 ; 1.505 ; 1.156 ; 1.446 ; 1.349 ; 894 ; 735 ; 422 ; 486 ; 414 ; 453 
Dezembro; 11.863 ; 18.402 ; 15.305 ; 14.533 ; 10.426 ; 3.877 ; 2.626 ; 2.269 ; 1.370 ; 1.261 ; 1.095 ; 910 ; 723 ; 472 ; 381 ; 415 ; 483 ;
