Dados;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Janeiro; 19.028 ; 20.870 ; 22.463 ; 22.104 ; 25.805 ; 24.142 ; 25.710 ; 26.698 ; 34.924 ; 28.713 ; 31.635 ; 32.295 ; 37.539 ; 47.672 ; 44.659 ; 47.399 ; 38.110 ; 37.512 
Fevereiro; 21.129 ; 17.884 ; 18.933 ; 18.729 ; 19.474 ; 20.957 ; 21.842 ; 22.164 ; 31.734 ; 24.983 ; 29.112 ; 29.802 ; 34.846 ; 38.109 ; 42.231 ; 38.880 ; 36.720 ; 33.135 
Março; 18.624 ; 19.354 ; 22.248 ; 17.855 ; 23.613 ; 24.432 ; 25.394 ; 26.035 ; 31.964 ; 27.967 ; 36.497 ; 33.938 ; 39.697 ; 44.143 ; 43.634 ; 44.258 ; 41.652 ; 42.732 
Abril; 17.709 ; 18.796 ; 20.531 ; 19.923 ; 25.417 ; 25.667 ; 22.911 ; 26.052 ; 29.846 ; 28.927 ; 34.840 ; 35.180 ; 40.040 ; 45.482 ; 48.537 ; 47.487 ; 41.674 ; 42.048 
Maio; 20.693 ; 20.508 ; 22.345 ; 22.082 ; 24.215 ; 25.920 ; 27.366 ; 27.184 ; 33.704 ; 27.433 ; 35.873 ; 36.128 ; 42.483 ; 47.051 ; 49.585 ; 47.583 ; 42.127 ; 43.831 
Junho; 21.158 ; 20.537 ; 20.978 ; 21.187 ; 25.362 ; 29.196 ; 26.956 ; 26.626 ; 34.591 ; 32.880 ; 36.766 ; 37.316 ; 42.195 ; 44.951 ; 46.233 ; 48.208 ; 42.413 ; 44.756 
Julho; 20.319 ; 21.815 ; 23.849 ; 24.202 ; 27.687 ; 26.619 ; 27.399 ; 29.279 ; 33.395 ; 36.690 ; 39.957 ; 39.211 ; 44.369 ; 46.647 ; 51.886 ; 51.793 ; 42.545 ; 45.394 
Agosto; 22.527 ; 23.793 ; 23.654 ; 22.550 ; 27.276 ; 28.825 ; 29.652 ; 29.637 ; 33.006 ; 34.855 ; 40.255 ; 41.377 ; 47.219 ; 47.588 ; 53.059 ; 47.195 ; 44.956 ; 46.535 
Setembro; 22.483 ; 21.165 ; 23.425 ; 24.274 ; 30.098 ; 29.509 ; 28.964 ; 26.918 ; 33.951 ; 35.549 ; 39.954 ; 39.236 ; 42.933 ; 45.231 ; 54.676 ; 46.653 ; 41.986 ; 44.058 
Outubro; 21.246 ; 23.331 ; 26.096 ; 26.295 ; 26.325 ; 26.984 ; 28.608 ; 31.119 ; 35.080 ; 37.746 ; 37.546 ; 39.096 ; 48.115 ; 49.284 ; 55.281 ; 48.667 ; 40.939 ; 44.934 
Novembro; 21.184 ; 22.992 ; 23.057 ; 22.718 ; 27.780 ; 27.382 ; 30.007 ; 29.604 ; 30.976 ; 35.421 ; 38.384 ; 40.215 ; 51.221 ; 47.868 ; 51.579 ; 45.047 ; 43.190 ; 46.549 
Dezembro; 22.113 ; 24.185 ; 25.158 ; 26.940 ; 29.082 ; 29.262 ; 28.838 ; 33.546 ; 33.690 ; 37.128 ; 38.932 ; 39.949 ; 48.078 ; 46.457 ; 52.772 ; 45.666 ; 43.746 ;
