"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Administração, saúde e educação públicas e seguridade social"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"103,02"
"Brasil";"2º trimestre 1996";"105,43"
"Brasil";"3º trimestre 1996";"105,31"
"Brasil";"4º trimestre 1996";"103,49"
"Brasil";"1º trimestre 1997";"103,75"
"Brasil";"2º trimestre 1997";"104,81"
"Brasil";"3º trimestre 1997";"104,36"
"Brasil";"4º trimestre 1997";"104,15"
"Brasil";"1º trimestre 1998";"105,33"
"Brasil";"2º trimestre 1998";"107,81"
"Brasil";"3º trimestre 1998";"108,08"
"Brasil";"4º trimestre 1998";"107,92"
"Brasil";"1º trimestre 1999";"109,51"
"Brasil";"2º trimestre 1999";"111,64"
"Brasil";"3º trimestre 1999";"111,41"
"Brasil";"4º trimestre 1999";"110,68"
"Brasil";"1º trimestre 2000";"111,01"
"Brasil";"2º trimestre 2000";"113,09"
"Brasil";"3º trimestre 2000";"113,23"
"Brasil";"4º trimestre 2000";"113,28"
"Brasil";"1º trimestre 2001";"114,44"
"Brasil";"2º trimestre 2001";"117,38"
"Brasil";"3º trimestre 2001";"117,65"
"Brasil";"4º trimestre 2001";"117,16"
"Brasil";"1º trimestre 2002";"118,08"
"Brasil";"2º trimestre 2002";"120,64"
"Brasil";"3º trimestre 2002";"120,49"
"Brasil";"4º trimestre 2002";"120,02"
"Brasil";"1º trimestre 2003";"120,62"
"Brasil";"2º trimestre 2003";"124,25"
"Brasil";"3º trimestre 2003";"124,72"
"Brasil";"4º trimestre 2003";"125,04"
"Brasil";"1º trimestre 2004";"129,72"
"Brasil";"2º trimestre 2004";"127,98"
"Brasil";"3º trimestre 2004";"128,74"
"Brasil";"4º trimestre 2004";"128,52"
"Brasil";"1º trimestre 2005";"128,87"
"Brasil";"2º trimestre 2005";"131,13"
"Brasil";"3º trimestre 2005";"130,78"
"Brasil";"4º trimestre 2005";"129,52"
"Brasil";"1º trimestre 2006";"133,43"
"Brasil";"2º trimestre 2006";"135,79"
"Brasil";"3º trimestre 2006";"135,74"
"Brasil";"4º trimestre 2006";"135,65"
"Brasil";"1º trimestre 2007";"137,43"
"Brasil";"2º trimestre 2007";"139,03"
"Brasil";"3º trimestre 2007";"138,58"
"Brasil";"4º trimestre 2007";"137,26"
"Brasil";"1º trimestre 2008";"136,90"
"Brasil";"2º trimestre 2008";"139,74"
"Brasil";"3º trimestre 2008";"139,87"
"Brasil";"4º trimestre 2008";"139,31"
"Brasil";"1º trimestre 2009";"141,20"
"Brasil";"2º trimestre 2009";"143,96"
"Brasil";"3º trimestre 2009";"144,49"
"Brasil";"4º trimestre 2009";"145,20"
"Brasil";"1º trimestre 2010";"144,68"
"Brasil";"2º trimestre 2010";"147,49"
"Brasil";"3º trimestre 2010";"147,69"
"Brasil";"4º trimestre 2010";"147,78"
"Brasil";"1º trimestre 2011";"148,11"
"Brasil";"2º trimestre 2011";"150,68"
"Brasil";"3º trimestre 2011";"150,23"
"Brasil";"4º trimestre 2011";"149,79"
"Brasil";"1º trimestre 2012";"150,14"
"Brasil";"2º trimestre 2012";"153,56"
"Brasil";"3º trimestre 2012";"151,82"
"Brasil";"4º trimestre 2012";"151,34"
"Brasil";"1º trimestre 2013";"152,49"
"Brasil";"2º trimestre 2013";"155,64"
"Brasil";"3º trimestre 2013";"156,59"
"Brasil";"4º trimestre 2013";"155,56"
"Brasil";"1º trimestre 2014";"152,90"
"Brasil";"2º trimestre 2014";"156,52"
"Brasil";"3º trimestre 2014";"156,34"
"Brasil";"4º trimestre 2014";"155,12"
"Brasil";"1º trimestre 2015";"153,46"
"Brasil";"2º trimestre 2015";"156,03"
"Brasil";"3º trimestre 2015";"156,92"
"Brasil";"4º trimestre 2015";"155,98"
"Brasil";"1º trimestre 2016";"154,67"
"Brasil";"2º trimestre 2016";"158,12"
"Brasil";"3º trimestre 2016";"158,24"
"Brasil";"4º trimestre 2016";"155,38"
"Brasil";"1º trimestre 2017";"153,61"
"Brasil";"2º trimestre 2017";"156,16"
"Brasil";"3º trimestre 2017";"156,91"
"Fonte: IBGE - Contas Nacionais Trimestrais"
