"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Agropecuária - total"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"105,32"
"Brasil";"2º trimestre 1996";"105,50"
"Brasil";"3º trimestre 1996";"108,10"
"Brasil";"4º trimestre 1996";"92,89"
"Brasil";"1º trimestre 1997";"112,67"
"Brasil";"2º trimestre 1997";"110,16"
"Brasil";"3º trimestre 1997";"109,69"
"Brasil";"4º trimestre 1997";"82,64"
"Brasil";"1º trimestre 1998";"111,07"
"Brasil";"2º trimestre 1998";"124,57"
"Brasil";"3º trimestre 1998";"115,41"
"Brasil";"4º trimestre 1998";"78,27"
"Brasil";"1º trimestre 1999";"125,05"
"Brasil";"2º trimestre 1999";"126,56"
"Brasil";"3º trimestre 1999";"119,43"
"Brasil";"4º trimestre 1999";"86,29"
"Brasil";"1º trimestre 2000";"132,75"
"Brasil";"2º trimestre 2000";"130,92"
"Brasil";"3º trimestre 2000";"121,22"
"Brasil";"4º trimestre 2000";"84,88"
"Brasil";"1º trimestre 2001";"136,59"
"Brasil";"2º trimestre 2001";"134,90"
"Brasil";"3º trimestre 2001";"128,45"
"Brasil";"4º trimestre 2001";"94,27"
"Brasil";"1º trimestre 2002";"143,03"
"Brasil";"2º trimestre 2002";"144,80"
"Brasil";"3º trimestre 2002";"143,46"
"Brasil";"4º trimestre 2002";"102,56"
"Brasil";"1º trimestre 2003";"165,01"
"Brasil";"2º trimestre 2003";"164,26"
"Brasil";"3º trimestre 2003";"145,57"
"Brasil";"4º trimestre 2003";"103,35"
"Brasil";"1º trimestre 2004";"165,03"
"Brasil";"2º trimestre 2004";"167,55"
"Brasil";"3º trimestre 2004";"152,20"
"Brasil";"4º trimestre 2004";"104,95"
"Brasil";"1º trimestre 2005";"170,28"
"Brasil";"2º trimestre 2005";"171,54"
"Brasil";"3º trimestre 2005";"149,15"
"Brasil";"4º trimestre 2005";"105,37"
"Brasil";"1º trimestre 2006";"171,13"
"Brasil";"2º trimestre 2006";"170,97"
"Brasil";"3º trimestre 2006";"165,72"
"Brasil";"4º trimestre 2006";"116,18"
"Brasil";"1º trimestre 2007";"177,74"
"Brasil";"2º trimestre 2007";"171,99"
"Brasil";"3º trimestre 2007";"173,48"
"Brasil";"4º trimestre 2007";"121,05"
"Brasil";"1º trimestre 2008";"186,20"
"Brasil";"2º trimestre 2008";"191,02"
"Brasil";"3º trimestre 2008";"182,18"
"Brasil";"4º trimestre 2008";"122,05"
"Brasil";"1º trimestre 2009";"183,59"
"Brasil";"2º trimestre 2009";"180,49"
"Brasil";"3º trimestre 2009";"168,51"
"Brasil";"4º trimestre 2009";"123,44"
"Brasil";"1º trimestre 2010";"196,20"
"Brasil";"2º trimestre 2010";"198,64"
"Brasil";"3º trimestre 2010";"177,85"
"Brasil";"4º trimestre 2010";"127,28"
"Brasil";"1º trimestre 2011";"206,74"
"Brasil";"2º trimestre 2011";"200,07"
"Brasil";"3º trimestre 2011";"191,49"
"Brasil";"4º trimestre 2011";"141,13"
"Brasil";"1º trimestre 2012";"183,53"
"Brasil";"2º trimestre 2012";"199,76"
"Brasil";"3º trimestre 2012";"200,56"
"Brasil";"4º trimestre 2012";"132,79"
"Brasil";"1º trimestre 2013";"222,98"
"Brasil";"2º trimestre 2013";"220,03"
"Brasil";"3º trimestre 2013";"195,20"
"Brasil";"4º trimestre 2013";"138,36"
"Brasil";"1º trimestre 2014";"238,50"
"Brasil";"2º trimestre 2014";"220,53"
"Brasil";"3º trimestre 2014";"197,20"
"Brasil";"4º trimestre 2014";"142,01"
"Brasil";"1º trimestre 2015";"254,83"
"Brasil";"2º trimestre 2015";"230,02"
"Brasil";"3º trimestre 2015";"197,01"
"Brasil";"4º trimestre 2015";"142,84"
"Brasil";"1º trimestre 2016";"238,26"
"Brasil";"2º trimestre 2016";"220,67"
"Brasil";"3º trimestre 2016";"189,98"
"Brasil";"4º trimestre 2016";"140,23"
"Brasil";"1º trimestre 2017";"282,42"
"Brasil";"2º trimestre 2017";"253,26"
"Brasil";"3º trimestre 2017";"207,28"
"Fonte: IBGE - Contas Nacionais Trimestrais"
