"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Atividades financeiras, de seguros e serviços relacionados"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"95,22"
"Brasil";"2º trimestre 1996";"92,43"
"Brasil";"3º trimestre 1996";"109,66"
"Brasil";"4º trimestre 1996";"106,21"
"Brasil";"1º trimestre 1997";"96,83"
"Brasil";"2º trimestre 1997";"93,50"
"Brasil";"3º trimestre 1997";"110,82"
"Brasil";"4º trimestre 1997";"115,80"
"Brasil";"1º trimestre 1998";"94,82"
"Brasil";"2º trimestre 1998";"92,06"
"Brasil";"3º trimestre 1998";"109,40"
"Brasil";"4º trimestre 1998";"114,49"
"Brasil";"1º trimestre 1999";"95,44"
"Brasil";"2º trimestre 1999";"92,50"
"Brasil";"3º trimestre 1999";"109,69"
"Brasil";"4º trimestre 1999";"114,32"
"Brasil";"1º trimestre 2000";"97,73"
"Brasil";"2º trimestre 2000";"94,41"
"Brasil";"3º trimestre 2000";"111,92"
"Brasil";"4º trimestre 2000";"116,98"
"Brasil";"1º trimestre 2001";"97,81"
"Brasil";"2º trimestre 2001";"95,18"
"Brasil";"3º trimestre 2001";"113,46"
"Brasil";"4º trimestre 2001";"119,44"
"Brasil";"1º trimestre 2002";"102,09"
"Brasil";"2º trimestre 2002";"99,39"
"Brasil";"3º trimestre 2002";"118,03"
"Brasil";"4º trimestre 2002";"122,53"
"Brasil";"1º trimestre 2003";"99,50"
"Brasil";"2º trimestre 2003";"95,60"
"Brasil";"3º trimestre 2003";"113,46"
"Brasil";"4º trimestre 2003";"119,26"
"Brasil";"1º trimestre 2004";"100,90"
"Brasil";"2º trimestre 2004";"109,41"
"Brasil";"3º trimestre 2004";"112,56"
"Brasil";"4º trimestre 2004";"121,36"
"Brasil";"1º trimestre 2005";"110,86"
"Brasil";"2º trimestre 2005";"112,08"
"Brasil";"3º trimestre 2005";"122,18"
"Brasil";"4º trimestre 2005";"124,92"
"Brasil";"1º trimestre 2006";"122,42"
"Brasil";"2º trimestre 2006";"126,50"
"Brasil";"3º trimestre 2006";"130,64"
"Brasil";"4º trimestre 2006";"128,88"
"Brasil";"1º trimestre 2007";"136,60"
"Brasil";"2º trimestre 2007";"141,82"
"Brasil";"3º trimestre 2007";"148,63"
"Brasil";"4º trimestre 2007";"158,21"
"Brasil";"1º trimestre 2008";"159,77"
"Brasil";"2º trimestre 2008";"164,32"
"Brasil";"3º trimestre 2008";"168,78"
"Brasil";"4º trimestre 2008";"169,85"
"Brasil";"1º trimestre 2009";"173,45"
"Brasil";"2º trimestre 2009";"177,04"
"Brasil";"3º trimestre 2009";"181,80"
"Brasil";"4º trimestre 2009";"189,08"
"Brasil";"1º trimestre 2010";"187,71"
"Brasil";"2º trimestre 2010";"191,07"
"Brasil";"3º trimestre 2010";"199,57"
"Brasil";"4º trimestre 2010";"210,26"
"Brasil";"1º trimestre 2011";"202,96"
"Brasil";"2º trimestre 2011";"205,76"
"Brasil";"3º trimestre 2011";"211,19"
"Brasil";"4º trimestre 2011";"217,66"
"Brasil";"1º trimestre 2012";"209,74"
"Brasil";"2º trimestre 2012";"209,97"
"Brasil";"3º trimestre 2012";"211,32"
"Brasil";"4º trimestre 2012";"219,51"
"Brasil";"1º trimestre 2013";"210,89"
"Brasil";"2º trimestre 2013";"217,58"
"Brasil";"3º trimestre 2013";"217,96"
"Brasil";"4º trimestre 2013";"219,46"
"Brasil";"1º trimestre 2014";"214,21"
"Brasil";"2º trimestre 2014";"213,83"
"Brasil";"3º trimestre 2014";"213,77"
"Brasil";"4º trimestre 2014";"219,18"
"Brasil";"1º trimestre 2015";"212,49"
"Brasil";"2º trimestre 2015";"211,34"
"Brasil";"3º trimestre 2015";"210,65"
"Brasil";"4º trimestre 2015";"216,11"
"Brasil";"1º trimestre 2016";"207,96"
"Brasil";"2º trimestre 2016";"205,14"
"Brasil";"3º trimestre 2016";"202,24"
"Brasil";"4º trimestre 2016";"207,38"
"Brasil";"1º trimestre 2017";"200,18"
"Brasil";"2º trimestre 2017";"201,70"
"Brasil";"3º trimestre 2017";"202,31"
"Fonte: IBGE - Contas Nacionais Trimestrais"
