"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Atividades imobiliárias"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"102,14"
"Brasil";"2º trimestre 1996";"102,85"
"Brasil";"3º trimestre 1996";"102,99"
"Brasil";"4º trimestre 1996";"101,56"
"Brasil";"1º trimestre 1997";"103,53"
"Brasil";"2º trimestre 1997";"104,29"
"Brasil";"3º trimestre 1997";"104,65"
"Brasil";"4º trimestre 1997";"107,34"
"Brasil";"1º trimestre 1998";"106,58"
"Brasil";"2º trimestre 1998";"107,47"
"Brasil";"3º trimestre 1998";"107,29"
"Brasil";"4º trimestre 1998";"109,26"
"Brasil";"1º trimestre 1999";"110,59"
"Brasil";"2º trimestre 1999";"110,26"
"Brasil";"3º trimestre 1999";"109,53"
"Brasil";"4º trimestre 1999";"110,22"
"Brasil";"1º trimestre 2000";"111,27"
"Brasil";"2º trimestre 2000";"112,95"
"Brasil";"3º trimestre 2000";"115,01"
"Brasil";"4º trimestre 2000";"119,10"
"Brasil";"1º trimestre 2001";"116,52"
"Brasil";"2º trimestre 2001";"117,80"
"Brasil";"3º trimestre 2001";"118,25"
"Brasil";"4º trimestre 2001";"120,29"
"Brasil";"1º trimestre 2002";"120,03"
"Brasil";"2º trimestre 2002";"121,64"
"Brasil";"3º trimestre 2002";"123,06"
"Brasil";"4º trimestre 2002";"126,36"
"Brasil";"1º trimestre 2003";"128,21"
"Brasil";"2º trimestre 2003";"127,90"
"Brasil";"3º trimestre 2003";"126,32"
"Brasil";"4º trimestre 2003";"127,68"
"Brasil";"1º trimestre 2004";"129,10"
"Brasil";"2º trimestre 2004";"133,14"
"Brasil";"3º trimestre 2004";"137,16"
"Brasil";"4º trimestre 2004";"138,72"
"Brasil";"1º trimestre 2005";"137,58"
"Brasil";"2º trimestre 2005";"138,77"
"Brasil";"3º trimestre 2005";"140,49"
"Brasil";"4º trimestre 2005";"143,73"
"Brasil";"1º trimestre 2006";"142,13"
"Brasil";"2º trimestre 2006";"145,11"
"Brasil";"3º trimestre 2006";"148,55"
"Brasil";"4º trimestre 2006";"151,07"
"Brasil";"1º trimestre 2007";"152,28"
"Brasil";"2º trimestre 2007";"155,24"
"Brasil";"3º trimestre 2007";"156,89"
"Brasil";"4º trimestre 2007";"157,66"
"Brasil";"1º trimestre 2008";"156,48"
"Brasil";"2º trimestre 2008";"157,61"
"Brasil";"3º trimestre 2008";"159,20"
"Brasil";"4º trimestre 2008";"157,40"
"Brasil";"1º trimestre 2009";"159,17"
"Brasil";"2º trimestre 2009";"161,00"
"Brasil";"3º trimestre 2009";"163,23"
"Brasil";"4º trimestre 2009";"166,17"
"Brasil";"1º trimestre 2010";"166,82"
"Brasil";"2º trimestre 2010";"169,66"
"Brasil";"3º trimestre 2010";"171,37"
"Brasil";"4º trimestre 2010";"173,46"
"Brasil";"1º trimestre 2011";"173,03"
"Brasil";"2º trimestre 2011";"172,36"
"Brasil";"3º trimestre 2011";"173,33"
"Brasil";"4º trimestre 2011";"175,76"
"Brasil";"1º trimestre 2012";"177,75"
"Brasil";"2º trimestre 2012";"182,28"
"Brasil";"3º trimestre 2012";"184,04"
"Brasil";"4º trimestre 2012";"185,75"
"Brasil";"1º trimestre 2013";"190,57"
"Brasil";"2º trimestre 2013";"191,11"
"Brasil";"3º trimestre 2013";"191,77"
"Brasil";"4º trimestre 2013";"193,75"
"Brasil";"1º trimestre 2014";"193,54"
"Brasil";"2º trimestre 2014";"192,25"
"Brasil";"3º trimestre 2014";"192,12"
"Brasil";"4º trimestre 2014";"194,93"
"Brasil";"1º trimestre 2015";"193,24"
"Brasil";"2º trimestre 2015";"191,51"
"Brasil";"3º trimestre 2015";"191,64"
"Brasil";"4º trimestre 2015";"193,49"
"Brasil";"1º trimestre 2016";"193,20"
"Brasil";"2º trimestre 2016";"192,47"
"Brasil";"3º trimestre 2016";"191,74"
"Brasil";"4º trimestre 2016";"194,03"
"Brasil";"1º trimestre 2017";"192,15"
"Brasil";"2º trimestre 2017";"194,15"
"Brasil";"3º trimestre 2017";"195,81"
"Fonte: IBGE - Contas Nacionais Trimestrais"
