"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Comércio"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"91,41"
"Brasil";"2º trimestre 1996";"100,51"
"Brasil";"3º trimestre 1996";"108,80"
"Brasil";"4º trimestre 1996";"106,53"
"Brasil";"1º trimestre 1997";"95,58"
"Brasil";"2º trimestre 1997";"105,95"
"Brasil";"3º trimestre 1997";"112,36"
"Brasil";"4º trimestre 1997";"109,05"
"Brasil";"1º trimestre 1998";"96,06"
"Brasil";"2º trimestre 1998";"106,50"
"Brasil";"3º trimestre 1998";"109,85"
"Brasil";"4º trimestre 1998";"102,63"
"Brasil";"1º trimestre 1999";"93,61"
"Brasil";"2º trimestre 1999";"102,18"
"Brasil";"3º trimestre 1999";"105,02"
"Brasil";"4º trimestre 1999";"105,02"
"Brasil";"1º trimestre 2000";"97,41"
"Brasil";"2º trimestre 2000";"103,59"
"Brasil";"3º trimestre 2000";"110,09"
"Brasil";"4º trimestre 2000";"112,98"
"Brasil";"1º trimestre 2001";"102,49"
"Brasil";"2º trimestre 2001";"108,66"
"Brasil";"3º trimestre 2001";"111,32"
"Brasil";"4º trimestre 2001";"109,41"
"Brasil";"1º trimestre 2002";"98,15"
"Brasil";"2º trimestre 2002";"105,31"
"Brasil";"3º trimestre 2002";"109,88"
"Brasil";"4º trimestre 2002";"108,34"
"Brasil";"1º trimestre 2003";"98,57"
"Brasil";"2º trimestre 2003";"103,51"
"Brasil";"3º trimestre 2003";"106,40"
"Brasil";"4º trimestre 2003";"111,55"
"Brasil";"1º trimestre 2004";"106,43"
"Brasil";"2º trimestre 2004";"113,24"
"Brasil";"3º trimestre 2004";"119,28"
"Brasil";"4º trimestre 2004";"120,02"
"Brasil";"1º trimestre 2005";"110,05"
"Brasil";"2º trimestre 2005";"118,78"
"Brasil";"3º trimestre 2005";"121,12"
"Brasil";"4º trimestre 2005";"123,31"
"Brasil";"1º trimestre 2006";"116,34"
"Brasil";"2º trimestre 2006";"121,30"
"Brasil";"3º trimestre 2006";"127,03"
"Brasil";"4º trimestre 2006";"132,14"
"Brasil";"1º trimestre 2007";"124,32"
"Brasil";"2º trimestre 2007";"132,95"
"Brasil";"3º trimestre 2007";"138,26"
"Brasil";"4º trimestre 2007";"142,32"
"Brasil";"1º trimestre 2008";"133,95"
"Brasil";"2º trimestre 2008";"142,83"
"Brasil";"3º trimestre 2008";"151,02"
"Brasil";"4º trimestre 2008";"138,71"
"Brasil";"1º trimestre 2009";"123,97"
"Brasil";"2º trimestre 2009";"134,78"
"Brasil";"3º trimestre 2009";"145,50"
"Brasil";"4º trimestre 2009";"149,03"
"Brasil";"1º trimestre 2010";"143,71"
"Brasil";"2º trimestre 2010";"151,03"
"Brasil";"3º trimestre 2010";"159,81"
"Brasil";"4º trimestre 2010";"160,41"
"Brasil";"1º trimestre 2011";"150,11"
"Brasil";"2º trimestre 2011";"157,35"
"Brasil";"3º trimestre 2011";"160,56"
"Brasil";"4º trimestre 2011";"161,34"
"Brasil";"1º trimestre 2012";"151,01"
"Brasil";"2º trimestre 2012";"158,91"
"Brasil";"3º trimestre 2012";"166,83"
"Brasil";"4º trimestre 2012";"167,50"
"Brasil";"1º trimestre 2013";"156,53"
"Brasil";"2º trimestre 2013";"165,34"
"Brasil";"3º trimestre 2013";"171,65"
"Brasil";"4º trimestre 2013";"172,79"
"Brasil";"1º trimestre 2014";"163,40"
"Brasil";"2º trimestre 2014";"162,83"
"Brasil";"3º trimestre 2014";"170,59"
"Brasil";"4º trimestre 2014";"173,19"
"Brasil";"1º trimestre 2015";"156,64"
"Brasil";"2º trimestre 2015";"153,58"
"Brasil";"3º trimestre 2015";"156,24"
"Brasil";"4º trimestre 2015";"154,62"
"Brasil";"1º trimestre 2016";"141,02"
"Brasil";"2º trimestre 2016";"143,47"
"Brasil";"3º trimestre 2016";"149,15"
"Brasil";"4º trimestre 2016";"149,25"
"Brasil";"1º trimestre 2017";"137,54"
"Brasil";"2º trimestre 2017";"144,87"
"Brasil";"3º trimestre 2017";"154,87"
"Fonte: IBGE - Contas Nacionais Trimestrais"
