"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Construção"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"97,79"
"Brasil";"2º trimestre 1996";"101,01"
"Brasil";"3º trimestre 1996";"107,36"
"Brasil";"4º trimestre 1996";"102,70"
"Brasil";"1º trimestre 1997";"100,89"
"Brasil";"2º trimestre 1997";"107,90"
"Brasil";"3º trimestre 1997";"116,96"
"Brasil";"4º trimestre 1997";"114,19"
"Brasil";"1º trimestre 1998";"107,12"
"Brasil";"2º trimestre 1998";"113,10"
"Brasil";"3º trimestre 1998";"116,98"
"Brasil";"4º trimestre 1998";"109,77"
"Brasil";"1º trimestre 1999";"100,97"
"Brasil";"2º trimestre 1999";"105,62"
"Brasil";"3º trimestre 1999";"110,71"
"Brasil";"4º trimestre 1999";"107,83"
"Brasil";"1º trimestre 2000";"102,12"
"Brasil";"2º trimestre 2000";"106,82"
"Brasil";"3º trimestre 2000";"112,74"
"Brasil";"4º trimestre 2000";"109,41"
"Brasil";"1º trimestre 2001";"105,71"
"Brasil";"2º trimestre 2001";"106,58"
"Brasil";"3º trimestre 2001";"107,37"
"Brasil";"4º trimestre 2001";"104,34"
"Brasil";"1º trimestre 2002";"103,10"
"Brasil";"2º trimestre 2002";"109,58"
"Brasil";"3º trimestre 2002";"115,02"
"Brasil";"4º trimestre 2002";"116,63"
"Brasil";"1º trimestre 2003";"102,31"
"Brasil";"2º trimestre 2003";"96,09"
"Brasil";"3º trimestre 2003";"101,19"
"Brasil";"4º trimestre 2003";"105,02"
"Brasil";"1º trimestre 2004";"103,06"
"Brasil";"2º trimestre 2004";"108,81"
"Brasil";"3º trimestre 2004";"120,65"
"Brasil";"4º trimestre 2004";"115,55"
"Brasil";"1º trimestre 2005";"105,28"
"Brasil";"2º trimestre 2005";"109,70"
"Brasil";"3º trimestre 2005";"112,19"
"Brasil";"4º trimestre 2005";"111,49"
"Brasil";"1º trimestre 2006";"105,79"
"Brasil";"2º trimestre 2006";"105,91"
"Brasil";"3º trimestre 2006";"113,98"
"Brasil";"4º trimestre 2006";"114,14"
"Brasil";"1º trimestre 2007";"111,95"
"Brasil";"2º trimestre 2007";"118,88"
"Brasil";"3º trimestre 2007";"125,88"
"Brasil";"4º trimestre 2007";"123,56"
"Brasil";"1º trimestre 2008";"117,54"
"Brasil";"2º trimestre 2008";"123,41"
"Brasil";"3º trimestre 2008";"134,97"
"Brasil";"4º trimestre 2008";"127,92"
"Brasil";"1º trimestre 2009";"116,84"
"Brasil";"2º trimestre 2009";"129,38"
"Brasil";"3º trimestre 2009";"144,49"
"Brasil";"4º trimestre 2009";"148,50"
"Brasil";"1º trimestre 2010";"139,69"
"Brasil";"2º trimestre 2010";"152,67"
"Brasil";"3º trimestre 2010";"157,98"
"Brasil";"4º trimestre 2010";"159,51"
"Brasil";"1º trimestre 2011";"151,72"
"Brasil";"2º trimestre 2011";"163,85"
"Brasil";"3º trimestre 2011";"172,81"
"Brasil";"4º trimestre 2011";"171,76"
"Brasil";"1º trimestre 2012";"164,96"
"Brasil";"2º trimestre 2012";"166,90"
"Brasil";"3º trimestre 2012";"177,78"
"Brasil";"4º trimestre 2012";"171,53"
"Brasil";"1º trimestre 2013";"166,91"
"Brasil";"2º trimestre 2013";"180,06"
"Brasil";"3º trimestre 2013";"187,62"
"Brasil";"4º trimestre 2013";"177,21"
"Brasil";"1º trimestre 2014";"180,93"
"Brasil";"2º trimestre 2014";"175,20"
"Brasil";"3º trimestre 2014";"170,70"
"Brasil";"4º trimestre 2014";"169,72"
"Brasil";"1º trimestre 2015";"161,98"
"Brasil";"2º trimestre 2015";"155,28"
"Brasil";"3º trimestre 2015";"159,24"
"Brasil";"4º trimestre 2015";"157,34"
"Brasil";"1º trimestre 2016";"152,48"
"Brasil";"2º trimestre 2016";"149,72"
"Brasil";"3º trimestre 2016";"151,26"
"Brasil";"4º trimestre 2016";"144,76"
"Brasil";"1º trimestre 2017";"142,72"
"Brasil";"2º trimestre 2017";"139,11"
"Brasil";"3º trimestre 2017";"144,14"
"Fonte: IBGE - Contas Nacionais Trimestrais"
