"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Despesa de consumo da administração pública"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"96,12"
"Brasil";"2º trimestre 1996";"100,07"
"Brasil";"3º trimestre 1996";"105,00"
"Brasil";"4º trimestre 1996";"91,51"
"Brasil";"1º trimestre 1997";"97,30"
"Brasil";"2º trimestre 1997";"99,28"
"Brasil";"3º trimestre 1997";"99,00"
"Brasil";"4º trimestre 1997";"102,02"
"Brasil";"1º trimestre 1998";"98,49"
"Brasil";"2º trimestre 1998";"101,52"
"Brasil";"3º trimestre 1998";"104,32"
"Brasil";"4º trimestre 1998";"106,07"
"Brasil";"1º trimestre 1999";"99,19"
"Brasil";"2º trimestre 1999";"102,52"
"Brasil";"3º trimestre 1999";"105,45"
"Brasil";"4º trimestre 1999";"110,16"
"Brasil";"1º trimestre 2000";"102,71"
"Brasil";"2º trimestre 2000";"103,87"
"Brasil";"3º trimestre 2000";"103,00"
"Brasil";"4º trimestre 2000";"107,11"
"Brasil";"1º trimestre 2001";"103,83"
"Brasil";"2º trimestre 2001";"106,20"
"Brasil";"3º trimestre 2001";"106,60"
"Brasil";"4º trimestre 2001";"110,97"
"Brasil";"1º trimestre 2002";"108,26"
"Brasil";"2º trimestre 2002";"110,58"
"Brasil";"3º trimestre 2002";"111,06"
"Brasil";"4º trimestre 2002";"114,02"
"Brasil";"1º trimestre 2003";"107,45"
"Brasil";"2º trimestre 2003";"110,86"
"Brasil";"3º trimestre 2003";"113,29"
"Brasil";"4º trimestre 2003";"119,41"
"Brasil";"1º trimestre 2004";"111,37"
"Brasil";"2º trimestre 2004";"118,02"
"Brasil";"3º trimestre 2004";"118,18"
"Brasil";"4º trimestre 2004";"120,91"
"Brasil";"1º trimestre 2005";"115,50"
"Brasil";"2º trimestre 2005";"118,72"
"Brasil";"3º trimestre 2005";"120,21"
"Brasil";"4º trimestre 2005";"123,48"
"Brasil";"1º trimestre 2006";"118,92"
"Brasil";"2º trimestre 2006";"121,55"
"Brasil";"3º trimestre 2006";"123,29"
"Brasil";"4º trimestre 2006";"131,16"
"Brasil";"1º trimestre 2007";"124,08"
"Brasil";"2º trimestre 2007";"129,57"
"Brasil";"3º trimestre 2007";"129,30"
"Brasil";"4º trimestre 2007";"132,10"
"Brasil";"1º trimestre 2008";"127,77"
"Brasil";"2º trimestre 2008";"130,17"
"Brasil";"3º trimestre 2008";"134,39"
"Brasil";"4º trimestre 2008";"133,26"
"Brasil";"1º trimestre 2009";"131,84"
"Brasil";"2º trimestre 2009";"132,98"
"Brasil";"3º trimestre 2009";"134,80"
"Brasil";"4º trimestre 2009";"141,45"
"Brasil";"1º trimestre 2010";"135,75"
"Brasil";"2º trimestre 2010";"139,82"
"Brasil";"3º trimestre 2010";"141,32"
"Brasil";"4º trimestre 2010";"145,40"
"Brasil";"1º trimestre 2011";"139,26"
"Brasil";"2º trimestre 2011";"144,42"
"Brasil";"3º trimestre 2011";"143,82"
"Brasil";"4º trimestre 2011";"147,19"
"Brasil";"1º trimestre 2012";"142,16"
"Brasil";"2º trimestre 2012";"147,48"
"Brasil";"3º trimestre 2012";"146,61"
"Brasil";"4º trimestre 2012";"151,52"
"Brasil";"1º trimestre 2013";"141,99"
"Brasil";"2º trimestre 2013";"149,21"
"Brasil";"3º trimestre 2013";"150,24"
"Brasil";"4º trimestre 2013";"155,20"
"Brasil";"1º trimestre 2014";"144,87"
"Brasil";"2º trimestre 2014";"151,04"
"Brasil";"3º trimestre 2014";"151,80"
"Brasil";"4º trimestre 2014";"153,79"
"Brasil";"1º trimestre 2015";"144,39"
"Brasil";"2º trimestre 2015";"148,64"
"Brasil";"3º trimestre 2015";"149,09"
"Brasil";"4º trimestre 2015";"150,73"
"Brasil";"1º trimestre 2016";"143,88"
"Brasil";"2º trimestre 2016";"149,01"
"Brasil";"3º trimestre 2016";"148,59"
"Brasil";"4º trimestre 2016";"151,05"
"Brasil";"1º trimestre 2017";"143,15"
"Brasil";"2º trimestre 2017";"147,88"
"Brasil";"3º trimestre 2017";"147,70"
"Fonte: IBGE - Contas Nacionais Trimestrais"
