"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Despesa de consumo das famílias"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"96,06"
"Brasil";"2º trimestre 1996";"99,75"
"Brasil";"3º trimestre 1996";"104,74"
"Brasil";"4º trimestre 1996";"112,39"
"Brasil";"1º trimestre 1997";"103,65"
"Brasil";"2º trimestre 1997";"105,73"
"Brasil";"3º trimestre 1997";"106,90"
"Brasil";"4º trimestre 1997";"109,20"
"Brasil";"1º trimestre 1998";"103,13"
"Brasil";"2º trimestre 1998";"104,59"
"Brasil";"3º trimestre 1998";"106,93"
"Brasil";"4º trimestre 1998";"107,76"
"Brasil";"1º trimestre 1999";"102,16"
"Brasil";"2º trimestre 1999";"103,95"
"Brasil";"3º trimestre 1999";"106,80"
"Brasil";"4º trimestre 1999";"111,09"
"Brasil";"1º trimestre 2000";"105,24"
"Brasil";"2º trimestre 2000";"108,36"
"Brasil";"3º trimestre 2000";"111,88"
"Brasil";"4º trimestre 2000";"115,63"
"Brasil";"1º trimestre 2001";"109,48"
"Brasil";"2º trimestre 2001";"111,71"
"Brasil";"3º trimestre 2001";"109,83"
"Brasil";"4º trimestre 2001";"113,49"
"Brasil";"1º trimestre 2002";"109,74"
"Brasil";"2º trimestre 2002";"112,49"
"Brasil";"3º trimestre 2002";"112,81"
"Brasil";"4º trimestre 2002";"115,33"
"Brasil";"1º trimestre 2003";"109,72"
"Brasil";"2º trimestre 2003";"110,19"
"Brasil";"3º trimestre 2003";"111,99"
"Brasil";"4º trimestre 2003";"116,01"
"Brasil";"1º trimestre 2004";"110,71"
"Brasil";"2º trimestre 2004";"113,62"
"Brasil";"3º trimestre 2004";"117,46"
"Brasil";"4º trimestre 2004";"123,69"
"Brasil";"1º trimestre 2005";"116,60"
"Brasil";"2º trimestre 2005";"119,06"
"Brasil";"3º trimestre 2005";"122,61"
"Brasil";"4º trimestre 2005";"127,80"
"Brasil";"1º trimestre 2006";"122,35"
"Brasil";"2º trimestre 2006";"125,96"
"Brasil";"3º trimestre 2006";"129,10"
"Brasil";"4º trimestre 2006";"134,35"
"Brasil";"1º trimestre 2007";"130,12"
"Brasil";"2º trimestre 2007";"133,74"
"Brasil";"3º trimestre 2007";"136,57"
"Brasil";"4º trimestre 2007";"143,95"
"Brasil";"1º trimestre 2008";"139,44"
"Brasil";"2º trimestre 2008";"143,15"
"Brasil";"3º trimestre 2008";"147,99"
"Brasil";"4º trimestre 2008";"149,00"
"Brasil";"1º trimestre 2009";"142,61"
"Brasil";"2º trimestre 2009";"148,83"
"Brasil";"3º trimestre 2009";"154,60"
"Brasil";"4º trimestre 2009";"159,36"
"Brasil";"1º trimestre 2010";"153,25"
"Brasil";"2º trimestre 2010";"156,86"
"Brasil";"3º trimestre 2010";"162,77"
"Brasil";"4º trimestre 2010";"170,24"
"Brasil";"1º trimestre 2011";"163,07"
"Brasil";"2º trimestre 2011";"167,26"
"Brasil";"3º trimestre 2011";"169,21"
"Brasil";"4º trimestre 2011";"174,56"
"Brasil";"1º trimestre 2012";"167,93"
"Brasil";"2º trimestre 2012";"170,97"
"Brasil";"3º trimestre 2012";"175,85"
"Brasil";"4º trimestre 2012";"182,94"
"Brasil";"1º trimestre 2013";"174,39"
"Brasil";"2º trimestre 2013";"178,01"
"Brasil";"3º trimestre 2013";"181,96"
"Brasil";"4º trimestre 2013";"187,55"
"Brasil";"1º trimestre 2014";"180,58"
"Brasil";"2º trimestre 2014";"180,71"
"Brasil";"3º trimestre 2014";"183,97"
"Brasil";"4º trimestre 2014";"192,89"
"Brasil";"1º trimestre 2015";"179,59"
"Brasil";"2º trimestre 2015";"176,90"
"Brasil";"3º trimestre 2015";"176,76"
"Brasil";"4º trimestre 2015";"181,17"
"Brasil";"1º trimestre 2016";"168,94"
"Brasil";"2º trimestre 2016";"168,15"
"Brasil";"3º trimestre 2016";"170,67"
"Brasil";"4º trimestre 2016";"175,64"
"Brasil";"1º trimestre 2017";"166,08"
"Brasil";"2º trimestre 2017";"169,20"
"Brasil";"3º trimestre 2017";"174,46"
"Fonte: IBGE - Contas Nacionais Trimestrais"
