"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Eletricidade e gás, água, esgoto, atividades de gestão de resíduos"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"102,70"
"Brasil";"2º trimestre 1996";"101,00"
"Brasil";"3º trimestre 1996";"102,19"
"Brasil";"4º trimestre 1996";"106,58"
"Brasil";"1º trimestre 1997";"108,54"
"Brasil";"2º trimestre 1997";"106,34"
"Brasil";"3º trimestre 1997";"109,12"
"Brasil";"4º trimestre 1997";"112,83"
"Brasil";"1º trimestre 1998";"112,67"
"Brasil";"2º trimestre 1998";"108,88"
"Brasil";"3º trimestre 1998";"109,69"
"Brasil";"4º trimestre 1998";"111,00"
"Brasil";"1º trimestre 1999";"110,44"
"Brasil";"2º trimestre 1999";"110,27"
"Brasil";"3º trimestre 1999";"110,84"
"Brasil";"4º trimestre 1999";"113,11"
"Brasil";"1º trimestre 2000";"116,85"
"Brasil";"2º trimestre 2000";"114,10"
"Brasil";"3º trimestre 2000";"113,96"
"Brasil";"4º trimestre 2000";"118,23"
"Brasil";"1º trimestre 2001";"117,95"
"Brasil";"2º trimestre 2001";"111,78"
"Brasil";"3º trimestre 2001";"98,21"
"Brasil";"4º trimestre 2001";"99,67"
"Brasil";"1º trimestre 2002";"106,33"
"Brasil";"2º trimestre 2002";"112,23"
"Brasil";"3º trimestre 2002";"111,55"
"Brasil";"4º trimestre 2002";"115,73"
"Brasil";"1º trimestre 2003";"116,85"
"Brasil";"2º trimestre 2003";"112,34"
"Brasil";"3º trimestre 2003";"115,13"
"Brasil";"4º trimestre 2003";"118,10"
"Brasil";"1º trimestre 2004";"117,13"
"Brasil";"2º trimestre 2004";"122,86"
"Brasil";"3º trimestre 2004";"123,38"
"Brasil";"4º trimestre 2004";"126,80"
"Brasil";"1º trimestre 2005";"124,80"
"Brasil";"2º trimestre 2005";"125,80"
"Brasil";"3º trimestre 2005";"126,02"
"Brasil";"4º trimestre 2005";"128,96"
"Brasil";"1º trimestre 2006";"128,12"
"Brasil";"2º trimestre 2006";"129,17"
"Brasil";"3º trimestre 2006";"133,42"
"Brasil";"4º trimestre 2006";"135,79"
"Brasil";"1º trimestre 2007";"135,95"
"Brasil";"2º trimestre 2007";"139,89"
"Brasil";"3º trimestre 2007";"139,84"
"Brasil";"4º trimestre 2007";"143,07"
"Brasil";"1º trimestre 2008";"140,07"
"Brasil";"2º trimestre 2008";"141,16"
"Brasil";"3º trimestre 2008";"144,90"
"Brasil";"4º trimestre 2008";"147,04"
"Brasil";"1º trimestre 2009";"136,77"
"Brasil";"2º trimestre 2009";"143,00"
"Brasil";"3º trimestre 2009";"145,52"
"Brasil";"4º trimestre 2009";"152,13"
"Brasil";"1º trimestre 2010";"148,34"
"Brasil";"2º trimestre 2010";"153,46"
"Brasil";"3º trimestre 2010";"154,37"
"Brasil";"4º trimestre 2010";"157,50"
"Brasil";"1º trimestre 2011";"155,09"
"Brasil";"2º trimestre 2011";"162,73"
"Brasil";"3º trimestre 2011";"163,69"
"Brasil";"4º trimestre 2011";"166,55"
"Brasil";"1º trimestre 2012";"165,53"
"Brasil";"2º trimestre 2012";"161,25"
"Brasil";"3º trimestre 2012";"167,26"
"Brasil";"4º trimestre 2012";"158,44"
"Brasil";"1º trimestre 2013";"160,62"
"Brasil";"2º trimestre 2013";"164,71"
"Brasil";"3º trimestre 2013";"167,02"
"Brasil";"4º trimestre 2013";"170,59"
"Brasil";"1º trimestre 2014";"169,10"
"Brasil";"2º trimestre 2014";"158,99"
"Brasil";"3º trimestre 2014";"157,10"
"Brasil";"4º trimestre 2014";"164,85"
"Brasil";"1º trimestre 2015";"160,42"
"Brasil";"2º trimestre 2015";"157,58"
"Brasil";"3º trimestre 2015";"161,50"
"Brasil";"4º trimestre 2015";"168,00"
"Brasil";"1º trimestre 2016";"171,38"
"Brasil";"2º trimestre 2016";"175,02"
"Brasil";"3º trimestre 2016";"171,94"
"Brasil";"4º trimestre 2016";"175,20"
"Brasil";"1º trimestre 2017";"178,48"
"Brasil";"2º trimestre 2017";"174,11"
"Brasil";"3º trimestre 2017";"172,31"
"Fonte: IBGE - Contas Nacionais Trimestrais"
