"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Exportação de bens e serviços"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"95,16"
"Brasil";"2º trimestre 1996";"104,64"
"Brasil";"3º trimestre 1996";"106,67"
"Brasil";"4º trimestre 1996";"91,85"
"Brasil";"1º trimestre 1997";"94,70"
"Brasil";"2º trimestre 1997";"119,64"
"Brasil";"3º trimestre 1997";"125,34"
"Brasil";"4º trimestre 1997";"102,54"
"Brasil";"1º trimestre 1998";"104,57"
"Brasil";"2º trimestre 1998";"125,39"
"Brasil";"3º trimestre 1998";"125,17"
"Brasil";"4º trimestre 1998";"108,79"
"Brasil";"1º trimestre 1999";"104,47"
"Brasil";"2º trimestre 1999";"124,12"
"Brasil";"3º trimestre 1999";"129,29"
"Brasil";"4º trimestre 1999";"132,51"
"Brasil";"1º trimestre 2000";"126,08"
"Brasil";"2º trimestre 2000";"138,00"
"Brasil";"3º trimestre 2000";"153,32"
"Brasil";"4º trimestre 2000";"136,06"
"Brasil";"1º trimestre 2001";"140,18"
"Brasil";"2º trimestre 2001";"157,08"
"Brasil";"3º trimestre 2001";"157,94"
"Brasil";"4º trimestre 2001";"149,34"
"Brasil";"1º trimestre 2002";"133,77"
"Brasil";"2º trimestre 2002";"139,69"
"Brasil";"3º trimestre 2002";"189,75"
"Brasil";"4º trimestre 2002";"180,49"
"Brasil";"1º trimestre 2003";"153,39"
"Brasil";"2º trimestre 2003";"177,97"
"Brasil";"3º trimestre 2003";"192,73"
"Brasil";"4º trimestre 2003";"190,52"
"Brasil";"1º trimestre 2004";"181,37"
"Brasil";"2º trimestre 2004";"201,17"
"Brasil";"3º trimestre 2004";"219,15"
"Brasil";"4º trimestre 2004";"216,35"
"Brasil";"1º trimestre 2005";"199,30"
"Brasil";"2º trimestre 2005";"223,56"
"Brasil";"3º trimestre 2005";"243,05"
"Brasil";"4º trimestre 2005";"231,03"
"Brasil";"1º trimestre 2006";"216,22"
"Brasil";"2º trimestre 2006";"219,70"
"Brasil";"3º trimestre 2006";"261,66"
"Brasil";"4º trimestre 2006";"242,74"
"Brasil";"1º trimestre 2007";"228,19"
"Brasil";"2º trimestre 2007";"247,91"
"Brasil";"3º trimestre 2007";"264,74"
"Brasil";"4º trimestre 2007";"257,56"
"Brasil";"1º trimestre 2008";"224,18"
"Brasil";"2º trimestre 2008";"262,52"
"Brasil";"3º trimestre 2008";"273,57"
"Brasil";"4º trimestre 2008";"242,22"
"Brasil";"1º trimestre 2009";"192,54"
"Brasil";"2º trimestre 2009";"236,47"
"Brasil";"3º trimestre 2009";"247,75"
"Brasil";"4º trimestre 2009";"233,02"
"Brasil";"1º trimestre 2010";"222,31"
"Brasil";"2º trimestre 2010";"253,13"
"Brasil";"3º trimestre 2010";"276,31"
"Brasil";"4º trimestre 2010";"264,67"
"Brasil";"1º trimestre 2011";"231,93"
"Brasil";"2º trimestre 2011";"269,77"
"Brasil";"3º trimestre 2011";"288,53"
"Brasil";"4º trimestre 2011";"274,87"
"Brasil";"1º trimestre 2012";"243,20"
"Brasil";"2º trimestre 2012";"265,31"
"Brasil";"3º trimestre 2012";"276,87"
"Brasil";"4º trimestre 2012";"282,61"
"Brasil";"1º trimestre 2013";"231,58"
"Brasil";"2º trimestre 2013";"282,31"
"Brasil";"3º trimestre 2013";"285,74"
"Brasil";"4º trimestre 2013";"293,93"
"Brasil";"1º trimestre 2014";"238,77"
"Brasil";"2º trimestre 2014";"281,16"
"Brasil";"3º trimestre 2014";"298,58"
"Brasil";"4º trimestre 2014";"262,65"
"Brasil";"1º trimestre 2015";"248,45"
"Brasil";"2º trimestre 2015";"305,42"
"Brasil";"3º trimestre 2015";"304,81"
"Brasil";"4º trimestre 2015";"296,20"
"Brasil";"1º trimestre 2016";"280,85"
"Brasil";"2º trimestre 2016";"316,98"
"Brasil";"3º trimestre 2016";"305,39"
"Brasil";"4º trimestre 2016";"273,80"
"Brasil";"1º trimestre 2017";"285,79"
"Brasil";"2º trimestre 2017";"324,86"
"Brasil";"3º trimestre 2017";"328,65"
"Fonte: IBGE - Contas Nacionais Trimestrais"
