"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Formação bruta de capital fixo"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"92,91"
"Brasil";"2º trimestre 1996";"101,18"
"Brasil";"3º trimestre 1996";"105,26"
"Brasil";"4º trimestre 1996";"105,43"
"Brasil";"1º trimestre 1997";"103,37"
"Brasil";"2º trimestre 1997";"112,01"
"Brasil";"3º trimestre 1997";"114,22"
"Brasil";"4º trimestre 1997";"109,26"
"Brasil";"1º trimestre 1998";"106,98"
"Brasil";"2º trimestre 1998";"114,41"
"Brasil";"3º trimestre 1998";"112,84"
"Brasil";"4º trimestre 1998";"103,91"
"Brasil";"1º trimestre 1999";"98,00"
"Brasil";"2º trimestre 1999";"102,51"
"Brasil";"3º trimestre 1999";"100,03"
"Brasil";"4º trimestre 1999";"98,71"
"Brasil";"1º trimestre 2000";"97,70"
"Brasil";"2º trimestre 2000";"106,51"
"Brasil";"3º trimestre 2000";"106,83"
"Brasil";"4º trimestre 2000";"107,43"
"Brasil";"1º trimestre 2001";"107,70"
"Brasil";"2º trimestre 2001";"108,68"
"Brasil";"3º trimestre 2001";"108,10"
"Brasil";"4º trimestre 2001";"99,44"
"Brasil";"1º trimestre 2002";"99,17"
"Brasil";"2º trimestre 2002";"104,04"
"Brasil";"3º trimestre 2002";"107,62"
"Brasil";"4º trimestre 2002";"106,99"
"Brasil";"1º trimestre 2003";"102,26"
"Brasil";"2º trimestre 2003";"96,93"
"Brasil";"3º trimestre 2003";"100,21"
"Brasil";"4º trimestre 2003";"101,76"
"Brasil";"1º trimestre 2004";"103,19"
"Brasil";"2º trimestre 2004";"108,51"
"Brasil";"3º trimestre 2004";"114,41"
"Brasil";"4º trimestre 2004";"109,09"
"Brasil";"1º trimestre 2005";"104,60"
"Brasil";"2º trimestre 2005";"111,81"
"Brasil";"3º trimestre 2005";"115,40"
"Brasil";"4º trimestre 2005";"111,90"
"Brasil";"1º trimestre 2006";"113,80"
"Brasil";"2º trimestre 2006";"115,85"
"Brasil";"3º trimestre 2006";"122,05"
"Brasil";"4º trimestre 2006";"121,58"
"Brasil";"1º trimestre 2007";"122,00"
"Brasil";"2º trimestre 2007";"130,25"
"Brasil";"3º trimestre 2007";"139,41"
"Brasil";"4º trimestre 2007";"138,18"
"Brasil";"1º trimestre 2008";"136,67"
"Brasil";"2º trimestre 2008";"148,01"
"Brasil";"3º trimestre 2008";"164,44"
"Brasil";"4º trimestre 2008";"145,82"
"Brasil";"1º trimestre 2009";"123,70"
"Brasil";"2º trimestre 2009";"135,75"
"Brasil";"3º trimestre 2009";"158,10"
"Brasil";"4º trimestre 2009";"164,70"
"Brasil";"1º trimestre 2010";"159,58"
"Brasil";"2º trimestre 2010";"166,86"
"Brasil";"3º trimestre 2010";"182,23"
"Brasil";"4º trimestre 2010";"177,54"
"Brasil";"1º trimestre 2011";"172,70"
"Brasil";"2º trimestre 2011";"180,43"
"Brasil";"3º trimestre 2011";"192,72"
"Brasil";"4º trimestre 2011";"187,24"
"Brasil";"1º trimestre 2012";"178,14"
"Brasil";"2º trimestre 2012";"182,45"
"Brasil";"3º trimestre 2012";"189,86"
"Brasil";"4º trimestre 2012";"188,36"
"Brasil";"1º trimestre 2013";"183,36"
"Brasil";"2º trimestre 2013";"197,89"
"Brasil";"3º trimestre 2013";"203,81"
"Brasil";"4º trimestre 2013";"196,79"
"Brasil";"1º trimestre 2014";"191,18"
"Brasil";"2º trimestre 2014";"185,39"
"Brasil";"3º trimestre 2014";"188,62"
"Brasil";"4º trimestre 2014";"183,64"
"Brasil";"1º trimestre 2015";"172,42"
"Brasil";"2º trimestre 2015";"162,13"
"Brasil";"3º trimestre 2015";"160,57"
"Brasil";"4º trimestre 2015";"149,27"
"Brasil";"1º trimestre 2016";"142,60"
"Brasil";"2º trimestre 2016";"148,11"
"Brasil";"3º trimestre 2016";"146,96"
"Brasil";"4º trimestre 2016";"140,53"
"Brasil";"1º trimestre 2017";"137,31"
"Brasil";"2º trimestre 2017";"138,15"
"Brasil";"3º trimestre 2017";"146,28"
"Fonte: IBGE - Contas Nacionais Trimestrais"
