"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Importação de bens e serviços (-)"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"82,07"
"Brasil";"2º trimestre 1996";"98,20"
"Brasil";"3º trimestre 1996";"114,44"
"Brasil";"4º trimestre 1996";"127,67"
"Brasil";"1º trimestre 1997";"104,68"
"Brasil";"2º trimestre 1997";"121,60"
"Brasil";"3º trimestre 1997";"132,62"
"Brasil";"4º trimestre 1997";"125,13"
"Brasil";"1º trimestre 1998";"112,90"
"Brasil";"2º trimestre 1998";"118,86"
"Brasil";"3º trimestre 1998";"129,85"
"Brasil";"4º trimestre 1998";"122,14"
"Brasil";"1º trimestre 1999";"92,73"
"Brasil";"2º trimestre 1999";"101,07"
"Brasil";"3º trimestre 1999";"105,48"
"Brasil";"4º trimestre 1999";"111,45"
"Brasil";"1º trimestre 2000";"96,52"
"Brasil";"2º trimestre 2000";"108,46"
"Brasil";"3º trimestre 2000";"124,19"
"Brasil";"4º trimestre 2000";"125,92"
"Brasil";"1º trimestre 2001";"119,95"
"Brasil";"2º trimestre 2001";"122,37"
"Brasil";"3º trimestre 2001";"117,73"
"Brasil";"4º trimestre 2001";"110,19"
"Brasil";"1º trimestre 2002";"97,66"
"Brasil";"2º trimestre 2002";"102,14"
"Brasil";"3º trimestre 2002";"107,59"
"Brasil";"4º trimestre 2002";"100,28"
"Brasil";"1º trimestre 2003";"93,13"
"Brasil";"2º trimestre 2003";"97,94"
"Brasil";"3º trimestre 2003";"103,62"
"Brasil";"4º trimestre 2003";"111,01"
"Brasil";"1º trimestre 2004";"102,70"
"Brasil";"2º trimestre 2004";"109,95"
"Brasil";"3º trimestre 2004";"117,07"
"Brasil";"4º trimestre 2004";"118,02"
"Brasil";"1º trimestre 2005";"111,86"
"Brasil";"2º trimestre 2005";"119,10"
"Brasil";"3º trimestre 2005";"126,11"
"Brasil";"4º trimestre 2005";"124,08"
"Brasil";"1º trimestre 2006";"128,41"
"Brasil";"2º trimestre 2006";"134,68"
"Brasil";"3º trimestre 2006";"151,72"
"Brasil";"4º trimestre 2006";"151,81"
"Brasil";"1º trimestre 2007";"153,26"
"Brasil";"2º trimestre 2007";"158,36"
"Brasil";"3º trimestre 2007";"181,12"
"Brasil";"4º trimestre 2007";"184,69"
"Brasil";"1º trimestre 2008";"176,97"
"Brasil";"2º trimestre 2008";"195,71"
"Brasil";"3º trimestre 2008";"219,98"
"Brasil";"4º trimestre 2008";"200,11"
"Brasil";"1º trimestre 2009";"154,04"
"Brasil";"2º trimestre 2009";"171,07"
"Brasil";"3º trimestre 2009";"194,54"
"Brasil";"4º trimestre 2009";"212,87"
"Brasil";"1º trimestre 2010";"213,97"
"Brasil";"2º trimestre 2010";"232,84"
"Brasil";"3º trimestre 2010";"267,03"
"Brasil";"4º trimestre 2010";"265,07"
"Brasil";"1º trimestre 2011";"239,26"
"Brasil";"2º trimestre 2011";"265,98"
"Brasil";"3º trimestre 2011";"282,93"
"Brasil";"4º trimestre 2011";"282,99"
"Brasil";"1º trimestre 2012";"253,93"
"Brasil";"2º trimestre 2012";"271,13"
"Brasil";"3º trimestre 2012";"266,33"
"Brasil";"4º trimestre 2012";"287,53"
"Brasil";"1º trimestre 2013";"271,83"
"Brasil";"2º trimestre 2013";"290,57"
"Brasil";"3º trimestre 2013";"298,24"
"Brasil";"4º trimestre 2013";"296,39"
"Brasil";"1º trimestre 2014";"273,25"
"Brasil";"2º trimestre 2014";"279,59"
"Brasil";"3º trimestre 2014";"301,08"
"Brasil";"4º trimestre 2014";"280,96"
"Brasil";"1º trimestre 2015";"258,61"
"Brasil";"2º trimestre 2015";"248,31"
"Brasil";"3º trimestre 2015";"241,32"
"Brasil";"4º trimestre 2015";"225,60"
"Brasil";"1º trimestre 2016";"203,57"
"Brasil";"2º trimestre 2016";"223,06"
"Brasil";"3º trimestre 2016";"225,02"
"Brasil";"4º trimestre 2016";"223,23"
"Brasil";"1º trimestre 2017";"223,60"
"Brasil";"2º trimestre 2017";"215,97"
"Brasil";"3º trimestre 2017";"237,76"
"Fonte: IBGE - Contas Nacionais Trimestrais"
