"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Impostos líquidos sobre produtos"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"93,66"
"Brasil";"2º trimestre 1996";"99,97"
"Brasil";"3º trimestre 1996";"108,13"
"Brasil";"4º trimestre 1996";"112,97"
"Brasil";"1º trimestre 1997";"102,07"
"Brasil";"2º trimestre 1997";"111,08"
"Brasil";"3º trimestre 1997";"116,66"
"Brasil";"4º trimestre 1997";"112,96"
"Brasil";"1º trimestre 1998";"103,65"
"Brasil";"2º trimestre 1998";"109,43"
"Brasil";"3º trimestre 1998";"113,68"
"Brasil";"4º trimestre 1998";"108,31"
"Brasil";"1º trimestre 1999";"98,06"
"Brasil";"2º trimestre 1999";"105,00"
"Brasil";"3º trimestre 1999";"108,67"
"Brasil";"4º trimestre 1999";"109,66"
"Brasil";"1º trimestre 2000";"108,17"
"Brasil";"2º trimestre 2000";"112,70"
"Brasil";"3º trimestre 2000";"115,97"
"Brasil";"4º trimestre 2000";"115,54"
"Brasil";"1º trimestre 2001";"115,98"
"Brasil";"2º trimestre 2001";"114,16"
"Brasil";"3º trimestre 2001";"113,93"
"Brasil";"4º trimestre 2001";"111,19"
"Brasil";"1º trimestre 2002";"108,74"
"Brasil";"2º trimestre 2002";"113,88"
"Brasil";"3º trimestre 2002";"116,64"
"Brasil";"4º trimestre 2002";"116,15"
"Brasil";"1º trimestre 2003";"113,02"
"Brasil";"2º trimestre 2003";"112,92"
"Brasil";"3º trimestre 2003";"115,22"
"Brasil";"4º trimestre 2003";"117,18"
"Brasil";"1º trimestre 2004";"116,17"
"Brasil";"2º trimestre 2004";"120,70"
"Brasil";"3º trimestre 2004";"125,10"
"Brasil";"4º trimestre 2004";"125,58"
"Brasil";"1º trimestre 2005";"120,73"
"Brasil";"2º trimestre 2005";"127,20"
"Brasil";"3º trimestre 2005";"129,73"
"Brasil";"4º trimestre 2005";"130,66"
"Brasil";"1º trimestre 2006";"129,40"
"Brasil";"2º trimestre 2006";"133,47"
"Brasil";"3º trimestre 2006";"137,57"
"Brasil";"4º trimestre 2006";"135,90"
"Brasil";"1º trimestre 2007";"136,76"
"Brasil";"2º trimestre 2007";"143,29"
"Brasil";"3º trimestre 2007";"146,56"
"Brasil";"4º trimestre 2007";"150,55"
"Brasil";"1º trimestre 2008";"148,00"
"Brasil";"2º trimestre 2008";"155,68"
"Brasil";"3º trimestre 2008";"162,71"
"Brasil";"4º trimestre 2008";"154,11"
"Brasil";"1º trimestre 2009";"143,29"
"Brasil";"2º trimestre 2009";"150,78"
"Brasil";"3º trimestre 2009";"160,09"
"Brasil";"4º trimestre 2009";"164,59"
"Brasil";"1º trimestre 2010";"162,67"
"Brasil";"2º trimestre 2010";"167,89"
"Brasil";"3º trimestre 2010";"176,18"
"Brasil";"4º trimestre 2010";"178,73"
"Brasil";"1º trimestre 2011";"173,80"
"Brasil";"2º trimestre 2011";"179,56"
"Brasil";"3º trimestre 2011";"183,78"
"Brasil";"4º trimestre 2011";"184,56"
"Brasil";"1º trimestre 2012";"179,05"
"Brasil";"2º trimestre 2012";"183,71"
"Brasil";"3º trimestre 2012";"190,12"
"Brasil";"4º trimestre 2012";"195,34"
"Brasil";"1º trimestre 2013";"184,47"
"Brasil";"2º trimestre 2013";"192,99"
"Brasil";"3º trimestre 2013";"198,47"
"Brasil";"4º trimestre 2013";"200,25"
"Brasil";"1º trimestre 2014";"191,67"
"Brasil";"2º trimestre 2014";"191,67"
"Brasil";"3º trimestre 2014";"197,02"
"Brasil";"4º trimestre 2014";"201,69"
"Brasil";"1º trimestre 2015";"186,99"
"Brasil";"2º trimestre 2015";"183,37"
"Brasil";"3º trimestre 2015";"183,10"
"Brasil";"4º trimestre 2015";"181,78"
"Brasil";"1º trimestre 2016";"169,02"
"Brasil";"2º trimestre 2016";"170,80"
"Brasil";"3º trimestre 2016";"173,99"
"Brasil";"4º trimestre 2016";"174,92"
"Brasil";"1º trimestre 2017";"167,86"
"Brasil";"2º trimestre 2017";"170,86"
"Brasil";"3º trimestre 2017";"178,39"
"Fonte: IBGE - Contas Nacionais Trimestrais"
