"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Indústria - total"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"93,19"
"Brasil";"2º trimestre 1996";"97,90"
"Brasil";"3º trimestre 1996";"111,62"
"Brasil";"4º trimestre 1996";"101,19"
"Brasil";"1º trimestre 1997";"96,25"
"Brasil";"2º trimestre 1997";"105,77"
"Brasil";"3º trimestre 1997";"111,85"
"Brasil";"4º trimestre 1997";"107,70"
"Brasil";"1º trimestre 1998";"96,31"
"Brasil";"2º trimestre 1998";"105,47"
"Brasil";"3º trimestre 1998";"108,83"
"Brasil";"4º trimestre 1998";"102,15"
"Brasil";"1º trimestre 1999";"92,23"
"Brasil";"2º trimestre 1999";"100,81"
"Brasil";"3º trimestre 1999";"105,00"
"Brasil";"4º trimestre 1999";"103,95"
"Brasil";"1º trimestre 2000";"96,45"
"Brasil";"2º trimestre 2000";"104,78"
"Brasil";"3º trimestre 2000";"109,67"
"Brasil";"4º trimestre 2000";"108,83"
"Brasil";"1º trimestre 2001";"100,42"
"Brasil";"2º trimestre 2001";"105,23"
"Brasil";"3º trimestre 2001";"106,79"
"Brasil";"4º trimestre 2001";"104,59"
"Brasil";"1º trimestre 2002";"98,08"
"Brasil";"2º trimestre 2002";"107,66"
"Brasil";"3º trimestre 2002";"112,93"
"Brasil";"4º trimestre 2002";"114,21"
"Brasil";"1º trimestre 2003";"98,15"
"Brasil";"2º trimestre 2003";"105,52"
"Brasil";"3º trimestre 2003";"115,09"
"Brasil";"4º trimestre 2003";"114,59"
"Brasil";"1º trimestre 2004";"105,39"
"Brasil";"2º trimestre 2004";"114,92"
"Brasil";"3º trimestre 2004";"125,25"
"Brasil";"4º trimestre 2004";"123,38"
"Brasil";"1º trimestre 2005";"109,82"
"Brasil";"2º trimestre 2005";"120,94"
"Brasil";"3º trimestre 2005";"123,86"
"Brasil";"4º trimestre 2005";"123,68"
"Brasil";"1º trimestre 2006";"113,45"
"Brasil";"2º trimestre 2006";"118,69"
"Brasil";"3º trimestre 2006";"127,01"
"Brasil";"4º trimestre 2006";"128,74"
"Brasil";"1º trimestre 2007";"118,14"
"Brasil";"2º trimestre 2007";"129,07"
"Brasil";"3º trimestre 2007";"135,84"
"Brasil";"4º trimestre 2007";"135,12"
"Brasil";"1º trimestre 2008";"126,58"
"Brasil";"2º trimestre 2008";"135,83"
"Brasil";"3º trimestre 2008";"145,04"
"Brasil";"4º trimestre 2008";"131,97"
"Brasil";"1º trimestre 2009";"112,91"
"Brasil";"2º trimestre 2009";"125,01"
"Brasil";"3º trimestre 2009";"136,69"
"Brasil";"4º trimestre 2009";"139,44"
"Brasil";"1º trimestre 2010";"130,20"
"Brasil";"2º trimestre 2010";"141,25"
"Brasil";"3º trimestre 2010";"148,05"
"Brasil";"4º trimestre 2010";"146,99"
"Brasil";"1º trimestre 2011";"137,68"
"Brasil";"2º trimestre 2011";"148,49"
"Brasil";"3º trimestre 2011";"153,92"
"Brasil";"4º trimestre 2011";"149,71"
"Brasil";"1º trimestre 2012";"140,97"
"Brasil";"2º trimestre 2012";"143,76"
"Brasil";"3º trimestre 2012";"153,21"
"Brasil";"4º trimestre 2012";"147,60"
"Brasil";"1º trimestre 2013";"138,95"
"Brasil";"2º trimestre 2013";"150,14"
"Brasil";"3º trimestre 2013";"157,60"
"Brasil";"4º trimestre 2013";"151,53"
"Brasil";"1º trimestre 2014";"144,39"
"Brasil";"2º trimestre 2014";"144,86"
"Brasil";"3º trimestre 2014";"152,00"
"Brasil";"4º trimestre 2014";"147,95"
"Brasil";"1º trimestre 2015";"138,25"
"Brasil";"2º trimestre 2015";"137,84"
"Brasil";"3º trimestre 2015";"143,27"
"Brasil";"4º trimestre 2015";"135,90"
"Brasil";"1º trimestre 2016";"128,72"
"Brasil";"2º trimestre 2016";"133,39"
"Brasil";"3º trimestre 2016";"139,27"
"Brasil";"4º trimestre 2016";"131,89"
"Brasil";"1º trimestre 2017";"127,40"
"Brasil";"2º trimestre 2017";"130,79"
"Brasil";"3º trimestre 2017";"139,78"
"Fonte: IBGE - Contas Nacionais Trimestrais"
