"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Indústrias de transformação"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"89,57"
"Brasil";"2º trimestre 1996";"96,06"
"Brasil";"3º trimestre 1996";"115,21"
"Brasil";"4º trimestre 1996";"99,48"
"Brasil";"1º trimestre 1997";"92,02"
"Brasil";"2º trimestre 1997";"104,88"
"Brasil";"3º trimestre 1997";"109,88"
"Brasil";"4º trimestre 1997";"103,53"
"Brasil";"1º trimestre 1998";"88,11"
"Brasil";"2º trimestre 1998";"101,19"
"Brasil";"3º trimestre 1998";"104,56"
"Brasil";"4º trimestre 1998";"96,58"
"Brasil";"1º trimestre 1999";"84,37"
"Brasil";"2º trimestre 1999";"97,05"
"Brasil";"3º trimestre 1999";"101,34"
"Brasil";"4º trimestre 1999";"100,40"
"Brasil";"1º trimestre 2000";"89,91"
"Brasil";"2º trimestre 2000";"102,20"
"Brasil";"3º trimestre 2000";"107,10"
"Brasil";"4º trimestre 2000";"105,76"
"Brasil";"1º trimestre 2001";"94,24"
"Brasil";"2º trimestre 2001";"102,97"
"Brasil";"3º trimestre 2001";"106,93"
"Brasil";"4º trimestre 2001";"103,72"
"Brasil";"1º trimestre 2002";"92,07"
"Brasil";"2º trimestre 2002";"103,65"
"Brasil";"3º trimestre 2002";"110,06"
"Brasil";"4º trimestre 2002";"110,61"
"Brasil";"1º trimestre 2003";"89,66"
"Brasil";"2º trimestre 2003";"105,80"
"Brasil";"3º trimestre 2003";"118,54"
"Brasil";"4º trimestre 2003";"113,47"
"Brasil";"1º trimestre 2004";"102,38"
"Brasil";"2º trimestre 2004";"114,16"
"Brasil";"3º trimestre 2004";"126,03"
"Brasil";"4º trimestre 2004";"123,72"
"Brasil";"1º trimestre 2005";"107,01"
"Brasil";"2º trimestre 2005";"121,15"
"Brasil";"3º trimestre 2005";"124,74"
"Brasil";"4º trimestre 2005";"123,86"
"Brasil";"1º trimestre 2006";"109,69"
"Brasil";"2º trimestre 2006";"117,60"
"Brasil";"3º trimestre 2006";"126,82"
"Brasil";"4º trimestre 2006";"128,52"
"Brasil";"1º trimestre 2007";"113,08"
"Brasil";"2º trimestre 2007";"127,60"
"Brasil";"3º trimestre 2007";"136,37"
"Brasil";"4º trimestre 2007";"135,21"
"Brasil";"1º trimestre 2008";"123,83"
"Brasil";"2º trimestre 2008";"135,84"
"Brasil";"3º trimestre 2008";"145,75"
"Brasil";"4º trimestre 2008";"128,12"
"Brasil";"1º trimestre 2009";"103,72"
"Brasil";"2º trimestre 2009";"117,49"
"Brasil";"3º trimestre 2009";"130,49"
"Brasil";"4º trimestre 2009";"132,40"
"Brasil";"1º trimestre 2010";"120,23"
"Brasil";"2º trimestre 2010";"131,68"
"Brasil";"3º trimestre 2010";"139,80"
"Brasil";"4º trimestre 2010";"136,89"
"Brasil";"1º trimestre 2011";"126,14"
"Brasil";"2º trimestre 2011";"137,45"
"Brasil";"3º trimestre 2011";"142,38"
"Brasil";"4º trimestre 2011";"134,50"
"Brasil";"1º trimestre 2012";"124,16"
"Brasil";"2º trimestre 2012";"129,29"
"Brasil";"3º trimestre 2012";"140,52"
"Brasil";"4º trimestre 2012";"133,64"
"Brasil";"1º trimestre 2013";"124,19"
"Brasil";"2º trimestre 2013";"137,00"
"Brasil";"3º trimestre 2013";"145,45"
"Brasil";"4º trimestre 2013";"136,88"
"Brasil";"1º trimestre 2014";"124,90"
"Brasil";"2º trimestre 2014";"126,43"
"Brasil";"3º trimestre 2014";"138,02"
"Brasil";"4º trimestre 2014";"128,69"
"Brasil";"1º trimestre 2015";"117,27"
"Brasil";"2º trimestre 2015";"118,46"
"Brasil";"3º trimestre 2015";"124,43"
"Brasil";"4º trimestre 2015";"113,92"
"Brasil";"1º trimestre 2016";"105,54"
"Brasil";"2º trimestre 2016";"112,25"
"Brasil";"3º trimestre 2016";"119,79"
"Brasil";"4º trimestre 2016";"110,08"
"Brasil";"1º trimestre 2017";"104,58"
"Brasil";"2º trimestre 2017";"111,26"
"Brasil";"3º trimestre 2017";"122,69"
"Fonte: IBGE - Contas Nacionais Trimestrais"
