"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Indústrias extrativas"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"100,38"
"Brasil";"2º trimestre 1996";"99,93"
"Brasil";"3º trimestre 1996";"101,47"
"Brasil";"4º trimestre 1996";"107,97"
"Brasil";"1º trimestre 1997";"99,45"
"Brasil";"2º trimestre 1997";"103,57"
"Brasil";"3º trimestre 1997";"112,84"
"Brasil";"4º trimestre 1997";"114,37"
"Brasil";"1º trimestre 1998";"107,10"
"Brasil";"2º trimestre 1998";"108,73"
"Brasil";"3º trimestre 1998";"114,86"
"Brasil";"4º trimestre 1998";"115,10"
"Brasil";"1º trimestre 1999";"105,89"
"Brasil";"2º trimestre 1999";"100,59"
"Brasil";"3º trimestre 1999";"107,86"
"Brasil";"4º trimestre 1999";"112,00"
"Brasil";"1º trimestre 2000";"105,22"
"Brasil";"2º trimestre 2000";"107,07"
"Brasil";"3º trimestre 2000";"120,16"
"Brasil";"4º trimestre 2000";"132,64"
"Brasil";"1º trimestre 2001";"114,63"
"Brasil";"2º trimestre 2001";"116,29"
"Brasil";"3º trimestre 2001";"126,31"
"Brasil";"4º trimestre 2001";"132,98"
"Brasil";"1º trimestre 2002";"130,55"
"Brasil";"2º trimestre 2002";"140,46"
"Brasil";"3º trimestre 2002";"146,30"
"Brasil";"4º trimestre 2002";"147,58"
"Brasil";"1º trimestre 2003";"134,30"
"Brasil";"2º trimestre 2003";"137,61"
"Brasil";"3º trimestre 2003";"149,99"
"Brasil";"4º trimestre 2003";"168,87"
"Brasil";"1º trimestre 2004";"137,30"
"Brasil";"2º trimestre 2004";"143,12"
"Brasil";"3º trimestre 2004";"152,61"
"Brasil";"4º trimestre 2004";"154,97"
"Brasil";"1º trimestre 2005";"139,95"
"Brasil";"2º trimestre 2005";"159,96"
"Brasil";"3º trimestre 2005";"162,91"
"Brasil";"4º trimestre 2005";"165,22"
"Brasil";"1º trimestre 2006";"159,11"
"Brasil";"2º trimestre 2006";"162,18"
"Brasil";"3º trimestre 2006";"171,56"
"Brasil";"4º trimestre 2006";"176,16"
"Brasil";"1º trimestre 2007";"166,62"
"Brasil";"2º trimestre 2007";"172,04"
"Brasil";"3º trimestre 2007";"174,66"
"Brasil";"4º trimestre 2007";"175,02"
"Brasil";"1º trimestre 2008";"173,06"
"Brasil";"2º trimestre 2008";"180,88"
"Brasil";"3º trimestre 2008";"188,01"
"Brasil";"4º trimestre 2008";"174,71"
"Brasil";"1º trimestre 2009";"163,34"
"Brasil";"2º trimestre 2009";"172,60"
"Brasil";"3º trimestre 2009";"181,30"
"Brasil";"4º trimestre 2009";"184,22"
"Brasil";"1º trimestre 2010";"188,47"
"Brasil";"2º trimestre 2010";"199,59"
"Brasil";"3º trimestre 2010";"207,49"
"Brasil";"4º trimestre 2010";"210,34"
"Brasil";"1º trimestre 2011";"196,54"
"Brasil";"2º trimestre 2011";"206,73"
"Brasil";"3º trimestre 2011";"213,19"
"Brasil";"4º trimestre 2011";"217,39"
"Brasil";"1º trimestre 2012";"202,51"
"Brasil";"2º trimestre 2012";"201,72"
"Brasil";"3º trimestre 2012";"205,41"
"Brasil";"4º trimestre 2012";"208,04"
"Brasil";"1º trimestre 2013";"185,49"
"Brasil";"2º trimestre 2013";"194,87"
"Brasil";"3º trimestre 2013";"203,88"
"Brasil";"4º trimestre 2013";"207,39"
"Brasil";"1º trimestre 2014";"197,20"
"Brasil";"2º trimestre 2014";"210,04"
"Brasil";"3º trimestre 2014";"225,44"
"Brasil";"4º trimestre 2014";"230,60"
"Brasil";"1º trimestre 2015";"223,25"
"Brasil";"2º trimestre 2015";"228,75"
"Brasil";"3º trimestre 2015";"236,77"
"Brasil";"4º trimestre 2015";"223,69"
"Brasil";"1º trimestre 2016";"204,75"
"Brasil";"2º trimestre 2016";"216,32"
"Brasil";"3º trimestre 2016";"234,08"
"Brasil";"4º trimestre 2016";"233,11"
"Brasil";"1º trimestre 2017";"224,43"
"Brasil";"2º trimestre 2017";"229,30"
"Brasil";"3º trimestre 2017";"239,77"
"Fonte: IBGE - Contas Nacionais Trimestrais"
