"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Informação e comunicação"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"100,89"
"Brasil";"2º trimestre 1996";"103,64"
"Brasil";"3º trimestre 1996";"107,49"
"Brasil";"4º trimestre 1996";"111,83"
"Brasil";"1º trimestre 1997";"105,60"
"Brasil";"2º trimestre 1997";"109,74"
"Brasil";"3º trimestre 1997";"110,38"
"Brasil";"4º trimestre 1997";"120,34"
"Brasil";"1º trimestre 1998";"110,34"
"Brasil";"2º trimestre 1998";"110,92"
"Brasil";"3º trimestre 1998";"123,69"
"Brasil";"4º trimestre 1998";"136,54"
"Brasil";"1º trimestre 1999";"131,00"
"Brasil";"2º trimestre 1999";"135,50"
"Brasil";"3º trimestre 1999";"132,37"
"Brasil";"4º trimestre 1999";"145,26"
"Brasil";"1º trimestre 2000";"145,77"
"Brasil";"2º trimestre 2000";"155,23"
"Brasil";"3º trimestre 2000";"163,20"
"Brasil";"4º trimestre 2000";"170,17"
"Brasil";"1º trimestre 2001";"161,09"
"Brasil";"2º trimestre 2001";"166,59"
"Brasil";"3º trimestre 2001";"169,18"
"Brasil";"4º trimestre 2001";"178,76"
"Brasil";"1º trimestre 2002";"172,38"
"Brasil";"2º trimestre 2002";"173,67"
"Brasil";"3º trimestre 2002";"179,90"
"Brasil";"4º trimestre 2002";"191,95"
"Brasil";"1º trimestre 2003";"177,55"
"Brasil";"2º trimestre 2003";"182,01"
"Brasil";"3º trimestre 2003";"183,18"
"Brasil";"4º trimestre 2003";"191,39"
"Brasil";"1º trimestre 2004";"179,59"
"Brasil";"2º trimestre 2004";"186,73"
"Brasil";"3º trimestre 2004";"192,45"
"Brasil";"4º trimestre 2004";"206,97"
"Brasil";"1º trimestre 2005";"193,23"
"Brasil";"2º trimestre 2005";"200,91"
"Brasil";"3º trimestre 2005";"202,91"
"Brasil";"4º trimestre 2005";"213,02"
"Brasil";"1º trimestre 2006";"195,30"
"Brasil";"2º trimestre 2006";"197,99"
"Brasil";"3º trimestre 2006";"208,46"
"Brasil";"4º trimestre 2006";"214,51"
"Brasil";"1º trimestre 2007";"206,40"
"Brasil";"2º trimestre 2007";"211,60"
"Brasil";"3º trimestre 2007";"216,54"
"Brasil";"4º trimestre 2007";"234,14"
"Brasil";"1º trimestre 2008";"225,51"
"Brasil";"2º trimestre 2008";"232,55"
"Brasil";"3º trimestre 2008";"239,98"
"Brasil";"4º trimestre 2008";"255,48"
"Brasil";"1º trimestre 2009";"231,01"
"Brasil";"2º trimestre 2009";"234,99"
"Brasil";"3º trimestre 2009";"238,06"
"Brasil";"4º trimestre 2009";"249,58"
"Brasil";"1º trimestre 2010";"237,87"
"Brasil";"2º trimestre 2010";"246,71"
"Brasil";"3º trimestre 2010";"253,25"
"Brasil";"4º trimestre 2010";"266,84"
"Brasil";"1º trimestre 2011";"252,50"
"Brasil";"2º trimestre 2011";"264,32"
"Brasil";"3º trimestre 2011";"268,84"
"Brasil";"4º trimestre 2011";"284,24"
"Brasil";"1º trimestre 2012";"269,56"
"Brasil";"2º trimestre 2012";"276,89"
"Brasil";"3º trimestre 2012";"289,33"
"Brasil";"4º trimestre 2012";"309,00"
"Brasil";"1º trimestre 2013";"283,81"
"Brasil";"2º trimestre 2013";"292,63"
"Brasil";"3º trimestre 2013";"292,51"
"Brasil";"4º trimestre 2013";"321,70"
"Brasil";"1º trimestre 2014";"302,72"
"Brasil";"2º trimestre 2014";"308,57"
"Brasil";"3º trimestre 2014";"311,48"
"Brasil";"4º trimestre 2014";"330,53"
"Brasil";"1º trimestre 2015";"312,04"
"Brasil";"2º trimestre 2015";"306,44"
"Brasil";"3º trimestre 2015";"305,04"
"Brasil";"4º trimestre 2015";"317,95"
"Brasil";"1º trimestre 2016";"297,48"
"Brasil";"2º trimestre 2016";"297,39"
"Brasil";"3º trimestre 2016";"301,16"
"Brasil";"4º trimestre 2016";"305,25"
"Brasil";"1º trimestre 2017";"295,67"
"Brasil";"2º trimestre 2017";"289,88"
"Brasil";"3º trimestre 2017";"292,25"
"Fonte: IBGE - Contas Nacionais Trimestrais"
