"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Outras atividades de serviços"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"96,85"
"Brasil";"2º trimestre 1996";"98,46"
"Brasil";"3º trimestre 1996";"101,39"
"Brasil";"4º trimestre 1996";"103,20"
"Brasil";"1º trimestre 1997";"97,69"
"Brasil";"2º trimestre 1997";"100,69"
"Brasil";"3º trimestre 1997";"104,09"
"Brasil";"4º trimestre 1997";"108,69"
"Brasil";"1º trimestre 1998";"98,68"
"Brasil";"2º trimestre 1998";"102,81"
"Brasil";"3º trimestre 1998";"105,77"
"Brasil";"4º trimestre 1998";"108,41"
"Brasil";"1º trimestre 1999";"100,27"
"Brasil";"2º trimestre 1999";"103,24"
"Brasil";"3º trimestre 1999";"106,56"
"Brasil";"4º trimestre 1999";"110,56"
"Brasil";"1º trimestre 2000";"105,14"
"Brasil";"2º trimestre 2000";"106,98"
"Brasil";"3º trimestre 2000";"109,78"
"Brasil";"4º trimestre 2000";"112,46"
"Brasil";"1º trimestre 2001";"103,46"
"Brasil";"2º trimestre 2001";"107,99"
"Brasil";"3º trimestre 2001";"109,13"
"Brasil";"4º trimestre 2001";"112,19"
"Brasil";"1º trimestre 2002";"107,97"
"Brasil";"2º trimestre 2002";"111,27"
"Brasil";"3º trimestre 2002";"114,28"
"Brasil";"4º trimestre 2002";"118,63"
"Brasil";"1º trimestre 2003";"110,51"
"Brasil";"2º trimestre 2003";"110,66"
"Brasil";"3º trimestre 2003";"114,19"
"Brasil";"4º trimestre 2003";"116,57"
"Brasil";"1º trimestre 2004";"109,04"
"Brasil";"2º trimestre 2004";"114,83"
"Brasil";"3º trimestre 2004";"119,24"
"Brasil";"4º trimestre 2004";"125,36"
"Brasil";"1º trimestre 2005";"115,93"
"Brasil";"2º trimestre 2005";"120,91"
"Brasil";"3º trimestre 2005";"125,38"
"Brasil";"4º trimestre 2005";"129,00"
"Brasil";"1º trimestre 2006";"121,01"
"Brasil";"2º trimestre 2006";"124,91"
"Brasil";"3º trimestre 2006";"129,55"
"Brasil";"4º trimestre 2006";"134,30"
"Brasil";"1º trimestre 2007";"126,87"
"Brasil";"2º trimestre 2007";"129,82"
"Brasil";"3º trimestre 2007";"133,19"
"Brasil";"4º trimestre 2007";"138,07"
"Brasil";"1º trimestre 2008";"131,59"
"Brasil";"2º trimestre 2008";"136,95"
"Brasil";"3º trimestre 2008";"141,37"
"Brasil";"4º trimestre 2008";"143,07"
"Brasil";"1º trimestre 2009";"135,81"
"Brasil";"2º trimestre 2009";"139,20"
"Brasil";"3º trimestre 2009";"145,10"
"Brasil";"4º trimestre 2009";"149,48"
"Brasil";"1º trimestre 2010";"139,42"
"Brasil";"2º trimestre 2010";"143,86"
"Brasil";"3º trimestre 2010";"149,62"
"Brasil";"4º trimestre 2010";"155,27"
"Brasil";"1º trimestre 2011";"147,16"
"Brasil";"2º trimestre 2011";"152,62"
"Brasil";"3º trimestre 2011";"156,40"
"Brasil";"4º trimestre 2011";"159,17"
"Brasil";"1º trimestre 2012";"151,60"
"Brasil";"2º trimestre 2012";"156,39"
"Brasil";"3º trimestre 2012";"161,44"
"Brasil";"4º trimestre 2012";"168,11"
"Brasil";"1º trimestre 2013";"154,48"
"Brasil";"2º trimestre 2013";"158,79"
"Brasil";"3º trimestre 2013";"164,50"
"Brasil";"4º trimestre 2013";"169,98"
"Brasil";"1º trimestre 2014";"160,30"
"Brasil";"2º trimestre 2014";"163,74"
"Brasil";"3º trimestre 2014";"166,43"
"Brasil";"4º trimestre 2014";"169,38"
"Brasil";"1º trimestre 2015";"157,90"
"Brasil";"2º trimestre 2015";"159,48"
"Brasil";"3º trimestre 2015";"157,78"
"Brasil";"4º trimestre 2015";"160,13"
"Brasil";"1º trimestre 2016";"151,24"
"Brasil";"2º trimestre 2016";"152,91"
"Brasil";"3º trimestre 2016";"154,39"
"Brasil";"4º trimestre 2016";"156,27"
"Brasil";"1º trimestre 2017";"148,93"
"Brasil";"2º trimestre 2017";"154,01"
"Brasil";"3º trimestre 2017";"156,32"
"Fonte: IBGE - Contas Nacionais Trimestrais"
