"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - PIB a preços de mercado"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"96,84"
"Brasil";"2º trimestre 1996";"100,12"
"Brasil";"3º trimestre 1996";"107,56"
"Brasil";"4º trimestre 1996";"104,31"
"Brasil";"1º trimestre 1997";"100,13"
"Brasil";"2º trimestre 1997";"104,88"
"Brasil";"3º trimestre 1997";"109,49"
"Brasil";"4º trimestre 1997";"108,21"
"Brasil";"1º trimestre 1998";"101,14"
"Brasil";"2º trimestre 1998";"106,46"
"Brasil";"3º trimestre 1998";"109,88"
"Brasil";"4º trimestre 1998";"106,66"
"Brasil";"1º trimestre 1999";"101,92"
"Brasil";"2º trimestre 1999";"106,04"
"Brasil";"3º trimestre 1999";"109,20"
"Brasil";"4º trimestre 1999";"108,97"
"Brasil";"1º trimestre 2000";"106,40"
"Brasil";"2º trimestre 2000";"110,25"
"Brasil";"3º trimestre 2000";"114,19"
"Brasil";"4º trimestre 2000";"113,98"
"Brasil";"1º trimestre 2001";"110,10"
"Brasil";"2º trimestre 2001";"112,82"
"Brasil";"3º trimestre 2001";"114,71"
"Brasil";"4º trimestre 2001";"113,38"
"Brasil";"1º trimestre 2002";"110,63"
"Brasil";"2º trimestre 2002";"115,41"
"Brasil";"3º trimestre 2002";"119,50"
"Brasil";"4º trimestre 2002";"119,24"
"Brasil";"1º trimestre 2003";"113,58"
"Brasil";"2º trimestre 2003";"116,31"
"Brasil";"3º trimestre 2003";"120,25"
"Brasil";"4º trimestre 2003";"119,94"
"Brasil";"1º trimestre 2004";"117,98"
"Brasil";"2º trimestre 2004";"123,65"
"Brasil";"3º trimestre 2004";"128,14"
"Brasil";"4º trimestre 2004";"127,39"
"Brasil";"1º trimestre 2005";"122,92"
"Brasil";"2º trimestre 2005";"129,18"
"Brasil";"3º trimestre 2005";"130,85"
"Brasil";"4º trimestre 2005";"130,13"
"Brasil";"1º trimestre 2006";"128,18"
"Brasil";"2º trimestre 2006";"132,13"
"Brasil";"3º trimestre 2006";"136,72"
"Brasil";"4º trimestre 2006";"136,37"
"Brasil";"1º trimestre 2007";"134,84"
"Brasil";"2º trimestre 2007";"140,77"
"Brasil";"3º trimestre 2007";"144,75"
"Brasil";"4º trimestre 2007";"145,43"
"Brasil";"1º trimestre 2008";"143,14"
"Brasil";"2º trimestre 2008";"149,69"
"Brasil";"3º trimestre 2008";"154,86"
"Brasil";"4º trimestre 2008";"146,92"
"Brasil";"1º trimestre 2009";"139,67"
"Brasil";"2º trimestre 2009";"146,39"
"Brasil";"3º trimestre 2009";"153,06"
"Brasil";"4º trimestre 2009";"154,75"
"Brasil";"1º trimestre 2010";"152,53"
"Brasil";"2º trimestre 2010";"158,86"
"Brasil";"3º trimestre 2010";"163,63"
"Brasil";"4º trimestre 2010";"163,55"
"Brasil";"1º trimestre 2011";"160,45"
"Brasil";"2º trimestre 2011";"166,33"
"Brasil";"3º trimestre 2011";"169,41"
"Brasil";"4º trimestre 2011";"167,75"
"Brasil";"1º trimestre 2012";"163,19"
"Brasil";"2º trimestre 2012";"167,97"
"Brasil";"3º trimestre 2012";"173,63"
"Brasil";"4º trimestre 2012";"171,92"
"Brasil";"1º trimestre 2013";"167,63"
"Brasil";"2º trimestre 2013";"174,73"
"Brasil";"3º trimestre 2013";"178,42"
"Brasil";"4º trimestre 2013";"176,26"
"Brasil";"1º trimestre 2014";"173,44"
"Brasil";"2º trimestre 2014";"173,95"
"Brasil";"3º trimestre 2014";"177,27"
"Brasil";"4º trimestre 2014";"175,88"
"Brasil";"1º trimestre 2015";"170,68"
"Brasil";"2º trimestre 2015";"169,24"
"Brasil";"3º trimestre 2015";"169,72"
"Brasil";"4º trimestre 2015";"166,06"
"Brasil";"1º trimestre 2016";"161,72"
"Brasil";"2º trimestre 2016";"163,49"
"Brasil";"3º trimestre 2016";"165,17"
"Brasil";"4º trimestre 2016";"161,92"
"Brasil";"1º trimestre 2017";"161,71"
"Brasil";"2º trimestre 2017";"164,17"
"Brasil";"3º trimestre 2017";"167,51"
"Fonte: IBGE - Contas Nacionais Trimestrais"
