"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Serviços - total"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"98,31"
"Brasil";"2º trimestre 1996";"100,58"
"Brasil";"3º trimestre 1996";"105,75"
"Brasil";"4º trimestre 1996";"104,55"
"Brasil";"1º trimestre 1997";"100,20"
"Brasil";"2º trimestre 1997";"102,85"
"Brasil";"3º trimestre 1997";"107,10"
"Brasil";"4º trimestre 1997";"109,43"
"Brasil";"1º trimestre 1998";"101,60"
"Brasil";"2º trimestre 1998";"104,76"
"Brasil";"3º trimestre 1998";"109,02"
"Brasil";"4º trimestre 1998";"110,15"
"Brasil";"1º trimestre 1999";"104,41"
"Brasil";"2º trimestre 1999";"106,51"
"Brasil";"3º trimestre 1999";"109,99"
"Brasil";"4º trimestre 1999";"112,37"
"Brasil";"1º trimestre 2000";"107,68"
"Brasil";"2º trimestre 2000";"110,04"
"Brasil";"3º trimestre 2000";"114,74"
"Brasil";"4º trimestre 2000";"117,48"
"Brasil";"1º trimestre 2001";"110,29"
"Brasil";"2º trimestre 2001";"113,54"
"Brasil";"3º trimestre 2001";"116,73"
"Brasil";"4º trimestre 2001";"118,66"
"Brasil";"1º trimestre 2002";"113,53"
"Brasil";"2º trimestre 2002";"116,37"
"Brasil";"3º trimestre 2002";"120,69"
"Brasil";"4º trimestre 2002";"122,97"
"Brasil";"1º trimestre 2003";"115,61"
"Brasil";"2º trimestre 2003";"117,40"
"Brasil";"3º trimestre 2003";"121,26"
"Brasil";"4º trimestre 2003";"123,99"
"Brasil";"1º trimestre 2004";"119,45"
"Brasil";"2º trimestre 2004";"123,94"
"Brasil";"3º trimestre 2004";"127,59"
"Brasil";"4º trimestre 2004";"131,24"
"Brasil";"1º trimestre 2005";"124,87"
"Brasil";"2º trimestre 2005";"129,18"
"Brasil";"3º trimestre 2005";"132,10"
"Brasil";"4º trimestre 2005";"134,46"
"Brasil";"1º trimestre 2006";"130,62"
"Brasil";"2º trimestre 2006";"134,21"
"Brasil";"3º trimestre 2006";"137,86"
"Brasil";"4º trimestre 2006";"140,46"
"Brasil";"1º trimestre 2007";"138,04"
"Brasil";"2º trimestre 2007";"142,25"
"Brasil";"3º trimestre 2007";"145,27"
"Brasil";"4º trimestre 2007";"149,24"
"Brasil";"1º trimestre 2008";"145,34"
"Brasil";"2º trimestre 2008";"150,48"
"Brasil";"3º trimestre 2008";"154,29"
"Brasil";"4º trimestre 2008";"152,43"
"Brasil";"1º trimestre 2009";"146,77"
"Brasil";"2º trimestre 2009";"151,51"
"Brasil";"3º trimestre 2009";"156,47"
"Brasil";"4º trimestre 2009";"160,24"
"Brasil";"1º trimestre 2010";"155,88"
"Brasil";"2º trimestre 2010";"160,64"
"Brasil";"3º trimestre 2010";"165,43"
"Brasil";"4º trimestre 2010";"168,73"
"Brasil";"1º trimestre 2011";"163,22"
"Brasil";"2º trimestre 2011";"167,63"
"Brasil";"3º trimestre 2011";"170,09"
"Brasil";"4º trimestre 2011";"172,24"
"Brasil";"1º trimestre 2012";"166,76"
"Brasil";"2º trimestre 2012";"171,66"
"Brasil";"3º trimestre 2012";"175,68"
"Brasil";"4º trimestre 2012";"178,62"
"Brasil";"1º trimestre 2013";"171,41"
"Brasil";"2º trimestre 2013";"176,98"
"Brasil";"3º trimestre 2013";"180,49"
"Brasil";"4º trimestre 2013";"182,91"
"Brasil";"1º trimestre 2014";"176,19"
"Brasil";"2º trimestre 2014";"178,12"
"Brasil";"3º trimestre 2014";"181,20"
"Brasil";"4º trimestre 2014";"183,30"
"Brasil";"1º trimestre 2015";"174,20"
"Brasil";"2º trimestre 2015";"174,29"
"Brasil";"3º trimestre 2015";"175,03"
"Brasil";"4º trimestre 2015";"175,63"
"Brasil";"1º trimestre 2016";"168,05"
"Brasil";"2º trimestre 2016";"169,81"
"Brasil";"3º trimestre 2016";"171,43"
"Brasil";"4º trimestre 2016";"171,65"
"Brasil";"1º trimestre 2017";"165,40"
"Brasil";"2º trimestre 2017";"169,51"
"Brasil";"3º trimestre 2017";"173,17"
"Fonte: IBGE - Contas Nacionais Trimestrais"
