"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Transporte, armazenagem e correio"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"96,93"
"Brasil";"2º trimestre 1996";"102,96"
"Brasil";"3º trimestre 1996";"113,86"
"Brasil";"4º trimestre 1996";"108,72"
"Brasil";"1º trimestre 1997";"97,93"
"Brasil";"2º trimestre 1997";"111,54"
"Brasil";"3º trimestre 1997";"118,86"
"Brasil";"4º trimestre 1997";"120,07"
"Brasil";"1º trimestre 1998";"100,68"
"Brasil";"2º trimestre 1998";"113,30"
"Brasil";"3º trimestre 1998";"121,41"
"Brasil";"4º trimestre 1998";"116,07"
"Brasil";"1º trimestre 1999";"98,64"
"Brasil";"2º trimestre 1999";"103,71"
"Brasil";"3º trimestre 1999";"113,16"
"Brasil";"4º trimestre 1999";"117,86"
"Brasil";"1º trimestre 2000";"105,00"
"Brasil";"2º trimestre 2000";"114,00"
"Brasil";"3º trimestre 2000";"119,57"
"Brasil";"4º trimestre 2000";"119,62"
"Brasil";"1º trimestre 2001";"105,52"
"Brasil";"2º trimestre 2001";"113,50"
"Brasil";"3º trimestre 2001";"119,47"
"Brasil";"4º trimestre 2001";"120,75"
"Brasil";"1º trimestre 2002";"110,38"
"Brasil";"2º trimestre 2002";"118,50"
"Brasil";"3º trimestre 2002";"125,35"
"Brasil";"4º trimestre 2002";"123,17"
"Brasil";"1º trimestre 2003";"104,35"
"Brasil";"2º trimestre 2003";"115,15"
"Brasil";"3º trimestre 2003";"122,76"
"Brasil";"4º trimestre 2003";"124,42"
"Brasil";"1º trimestre 2004";"114,84"
"Brasil";"2º trimestre 2004";"122,54"
"Brasil";"3º trimestre 2004";"126,01"
"Brasil";"4º trimestre 2004";"128,72"
"Brasil";"1º trimestre 2005";"120,90"
"Brasil";"2º trimestre 2005";"128,52"
"Brasil";"3º trimestre 2005";"128,79"
"Brasil";"4º trimestre 2005";"131,65"
"Brasil";"1º trimestre 2006";"125,68"
"Brasil";"2º trimestre 2006";"129,51"
"Brasil";"3º trimestre 2006";"131,88"
"Brasil";"4º trimestre 2006";"135,44"
"Brasil";"1º trimestre 2007";"129,62"
"Brasil";"2º trimestre 2007";"135,81"
"Brasil";"3º trimestre 2007";"138,21"
"Brasil";"4º trimestre 2007";"145,38"
"Brasil";"1º trimestre 2008";"141,00"
"Brasil";"2º trimestre 2008";"150,30"
"Brasil";"3º trimestre 2008";"153,53"
"Brasil";"4º trimestre 2008";"145,80"
"Brasil";"1º trimestre 2009";"131,08"
"Brasil";"2º trimestre 2009";"137,36"
"Brasil";"3º trimestre 2009";"145,22"
"Brasil";"4º trimestre 2009";"151,16"
"Brasil";"1º trimestre 2010";"148,21"
"Brasil";"2º trimestre 2010";"155,60"
"Brasil";"3º trimestre 2010";"161,42"
"Brasil";"4º trimestre 2010";"162,80"
"Brasil";"1º trimestre 2011";"158,07"
"Brasil";"2º trimestre 2011";"162,85"
"Brasil";"3º trimestre 2011";"166,78"
"Brasil";"4º trimestre 2011";"167,20"
"Brasil";"1º trimestre 2012";"158,07"
"Brasil";"2º trimestre 2012";"163,12"
"Brasil";"3º trimestre 2012";"175,57"
"Brasil";"4º trimestre 2012";"171,51"
"Brasil";"1º trimestre 2013";"159,24"
"Brasil";"2º trimestre 2013";"173,19"
"Brasil";"3º trimestre 2013";"178,57"
"Brasil";"4º trimestre 2013";"174,83"
"Brasil";"1º trimestre 2014";"167,12"
"Brasil";"2º trimestre 2014";"169,73"
"Brasil";"3º trimestre 2014";"180,92"
"Brasil";"4º trimestre 2014";"178,28"
"Brasil";"1º trimestre 2015";"163,76"
"Brasil";"2º trimestre 2015";"164,72"
"Brasil";"3º trimestre 2015";"172,03"
"Brasil";"4º trimestre 2015";"165,45"
"Brasil";"1º trimestre 2016";"152,18"
"Brasil";"2º trimestre 2016";"155,52"
"Brasil";"3º trimestre 2016";"159,28"
"Brasil";"4º trimestre 2016";"154,00"
"Brasil";"1º trimestre 2017";"148,99"
"Brasil";"2º trimestre 2017";"154,79"
"Brasil";"3º trimestre 2017";"162,34"
"Fonte: IBGE - Contas Nacionais Trimestrais"
