"Tabela 1620 - Série encadeada do índice de volume trimestral (Base: média 1995 = 100)"
"Variável - Série encadeada do índice de volume trimestral (Base: média 1995 = 100) (Número-índice)"
"Setores e subsetores - Valor adicionado a preços básicos"
"";"Trimestre";""
"Brasil";"1º trimestre 1996";"97,33"
"Brasil";"2º trimestre 1996";"100,14"
"Brasil";"3º trimestre 1996";"107,47"
"Brasil";"4º trimestre 1996";"102,97"
"Brasil";"1º trimestre 1997";"99,84"
"Brasil";"2º trimestre 1997";"103,98"
"Brasil";"3º trimestre 1997";"108,45"
"Brasil";"4º trimestre 1997";"107,52"
"Brasil";"1º trimestre 1998";"100,74"
"Brasil";"2º trimestre 1998";"106,00"
"Brasil";"3º trimestre 1998";"109,30"
"Brasil";"4º trimestre 1998";"106,37"
"Brasil";"1º trimestre 1999";"102,36"
"Brasil";"2º trimestre 1999";"106,10"
"Brasil";"3º trimestre 1999";"109,20"
"Brasil";"4º trimestre 1999";"108,81"
"Brasil";"1º trimestre 2000";"106,03"
"Brasil";"2º trimestre 2000";"109,77"
"Brasil";"3º trimestre 2000";"113,80"
"Brasil";"4º trimestre 2000";"113,63"
"Brasil";"1º trimestre 2001";"109,07"
"Brasil";"2º trimestre 2001";"112,51"
"Brasil";"3º trimestre 2001";"114,73"
"Brasil";"4º trimestre 2001";"113,63"
"Brasil";"1º trimestre 2002";"110,86"
"Brasil";"2º trimestre 2002";"115,59"
"Brasil";"3º trimestre 2002";"119,90"
"Brasil";"4º trimestre 2002";"119,68"
"Brasil";"1º trimestre 2003";"113,58"
"Brasil";"2º trimestre 2003";"116,81"
"Brasil";"3º trimestre 2003";"121,03"
"Brasil";"4º trimestre 2003";"120,33"
"Brasil";"1º trimestre 2004";"118,20"
"Brasil";"2º trimestre 2004";"124,07"
"Brasil";"3º trimestre 2004";"128,56"
"Brasil";"4º trimestre 2004";"127,61"
"Brasil";"1º trimestre 2005";"123,20"
"Brasil";"2º trimestre 2005";"129,42"
"Brasil";"3º trimestre 2005";"130,93"
"Brasil";"4º trimestre 2005";"129,91"
"Brasil";"1º trimestre 2006";"127,84"
"Brasil";"2º trimestre 2006";"131,77"
"Brasil";"3º trimestre 2006";"136,45"
"Brasil";"4º trimestre 2006";"136,33"
"Brasil";"1º trimestre 2007";"134,37"
"Brasil";"2º trimestre 2007";"140,20"
"Brasil";"3º trimestre 2007";"144,30"
"Brasil";"4º trimestre 2007";"144,40"
"Brasil";"1º trimestre 2008";"142,16"
"Brasil";"2º trimestre 2008";"148,52"
"Brasil";"3º trimestre 2008";"153,37"
"Brasil";"4º trimestre 2008";"145,55"
"Brasil";"1º trimestre 2009";"138,92"
"Brasil";"2º trimestre 2009";"145,51"
"Brasil";"3º trimestre 2009";"151,70"
"Brasil";"4º trimestre 2009";"152,90"
"Brasil";"1º trimestre 2010";"150,68"
"Brasil";"2º trimestre 2010";"157,19"
"Brasil";"3º trimestre 2010";"161,38"
"Brasil";"4º trimestre 2010";"160,88"
"Brasil";"1º trimestre 2011";"158,08"
"Brasil";"2º trimestre 2011";"163,97"
"Brasil";"3º trimestre 2011";"166,86"
"Brasil";"4º trimestre 2011";"164,80"
"Brasil";"1º trimestre 2012";"160,41"
"Brasil";"2º trimestre 2012";"165,20"
"Brasil";"3º trimestre 2012";"170,73"
"Brasil";"4º trimestre 2012";"167,91"
"Brasil";"1º trimestre 2013";"164,69"
"Brasil";"2º trimestre 2013";"171,55"
"Brasil";"3º trimestre 2013";"174,95"
"Brasil";"4º trimestre 2013";"172,17"
"Brasil";"1º trimestre 2014";"170,25"
"Brasil";"2º trimestre 2014";"170,85"
"Brasil";"3º trimestre 2014";"173,85"
"Brasil";"4º trimestre 2014";"171,55"
"Brasil";"1º trimestre 2015";"167,76"
"Brasil";"2º trimestre 2015";"166,64"
"Brasil";"3º trimestre 2015";"167,23"
"Brasil";"4º trimestre 2015";"163,24"
"Brasil";"1º trimestre 2016";"160,15"
"Brasil";"2º trimestre 2016";"161,91"
"Brasil";"3º trimestre 2016";"163,37"
"Brasil";"4º trimestre 2016";"159,52"
"Brasil";"1º trimestre 2017";"160,31"
"Brasil";"2º trimestre 2017";"162,68"
"Brasil";"3º trimestre 2017";"165,39"
"Fonte: IBGE - Contas Nacionais Trimestrais"
