Data;IPA-M (Número Índice)(1417086)
09/1994;101,937
10/1994;103,951
11/1994;106,819
12/1994;107,052
01/1995;107,599
02/1995;108,542
03/1995;108,673
04/1995;110,428
05/1995;109,627
06/1995;110,245
07/1995;111,240
08/1995;114,422
09/1995;112,612
10/1995;112,980
11/1995;114,577
12/1995;114,811
01/1996;116,525
02/1996;117,081
03/1996;117,228
04/1996;117,174
05/1996;118,832
06/1996;119,318
07/1996;121,217
08/1996;121,488
09/1996;121,911
10/1996;122,361
11/1996;122,384
12/1996;123,890
01/1997;126,281
02/1997;126,621
03/1997;128,671
04/1997;129,457
05/1997;129,710
06/1997;130,122
07/1997;129,752
08/1997;129,869
09/1997;130,823
10/1997;131,396
11/1997;132,596
12/1997;133,888
01/1998;135,215
02/1998;135,146
03/1998;135,311
04/1998;135,584
05/1998;135,571
06/1998;136,087
07/1998;135,630
08/1998;135,546
09/1998;135,643
10/1998;135,760
11/1998;135,052
12/1998;136,320
01/1999;137,748
02/1999;145,765
03/1999;151,824
04/1999;152,974
05/1999;151,904
06/1999;152,404
07/1999;155,463
08/1999;158,940
09/1999;162,368
10/1999;166,428
11/1999;171,846
12/1999;176,313
01/2000;178,582
02/2000;179,316
03/2000;179,215
04/2000;179,293
05/2000;179,644
06/2000;181,890
07/2000;185,494
08/2000;191,250
09/2000;194,706
10/2000;195,855
11/2000;196,556
12/2000;197,859
01/2001;199,167
02/2001;199,321
03/2001;200,609
04/2001;203,102
05/2001;204,706
06/2001;207,386
07/2001;210,981
08/2001;214,673
09/2001;215,406
10/2001;218,705
11/2001;221,544
12/2001;221,371
01/2002;221,687
02/2002;221,485
03/2002;221,177
04/2002;222,319
05/2002;224,120
06/2002;229,292
07/2002;235,380
08/2002;242,915
09/2002;251,255
10/2002;265,383
11/2002;283,248
12/2002;295,849
01/2003;303,402
02/2003;311,401
03/2003;316,763
04/2003;319,305
05/2003;315,749
06/2003;310,470
07/2003;308,141
08/2003;308,752
09/2003;313,511
10/2003;314,646
11/2003;316,450
12/2003;318,475
01/2004;321,590
02/2004;324,128
03/2004;328,441
04/2004;333,871
05/2004;338,955
06/2004;344,816
07/2004;350,256
08/2004;355,227
09/2004;358,427
10/2004;360,011
11/2004;363,584
12/2004;366,533
01/2005;367,257
02/2005;368,001
03/2005;371,460
04/2005;375,009
05/2005;372,106
06/2005;368,376
07/2005;365,968
08/2005;362,739
09/2005;359,967
10/2005;362,566
11/2005;364,002
12/2005;363,028
01/2006;367,039
02/2006;366,804
03/2006;365,058
04/2006;362,265
05/2006;363,827
06/2006;367,852
07/2006;368,638
08/2006;370,351
09/2006;371,698
10/2006;374,104
11/2006;377,909
12/2006;379,000
01/2007;380,498
02/2007;381,281
03/2007;382,520
04/2007;381,978
05/2007;381,623
06/2007;381,652
07/2007;382,663
08/2007;387,684
09/2007;394,796
10/2007;400,413
11/2007;404,293
12/2007;413,838
01/2008;418,951
02/2008;421,637
03/2008;425,692
04/2008;428,446
05/2008;437,076
06/2008;446,997
07/2008;456,843
08/2008;453,457
09/2008;453,642
10/2008;459,286
11/2008;460,656
12/2008;458,704
01/2009;454,348
02/2009;455,254
03/2009;449,612
04/2009;447,644
05/2009;446,296
06/2009;444,299
07/2009;440,538
08/2009;437,834
09/2009;440,137
10/2009;440,301
11/2009;440,633
12/2009;438,409
01/2010;440,644
02/2010;446,906
03/2010;451,673
04/2010;454,912
05/2010;461,683
06/2010;466,708
07/2010;467,647
08/2010;473,428
09/2010;480,998
10/2010;487,261
11/2010;496,219
12/2010;499,341
01/2011;503,115
02/2011;509,166
03/2011;512,468
04/2011;513,934
05/2011;514,071
06/2011;511,759
07/2011;510,627
08/2011;513,523
09/2011;517,344
10/2011;520,849
11/2011;523,561
12/2011;521,035
01/2012;520,647
02/2012;519,308
03/2012;521,478
04/2012;526,519
05/2012;532,689
06/2012;536,606
07/2012;546,315
08/2012;557,180
09/2012;564,133
10/2012;563,007
11/2012;561,939
12/2012;566,018
01/2013;566,622
02/2013;567,808
03/2013;567,892
04/2013;567,204
05/2013;565,478
06/2013;569,345
07/2013;571,066
08/2013;571,858
09/2013;583,926
10/2013;590,309
11/2013;591,291
12/2013;595,000
01/2014;596,851
02/2014;598,439
03/2014;611,583
04/2014;616,426
05/2014;612,413
06/2014;603,594
07/2014;596,893
08/2014;594,223
09/2014;594,970
10/2014;596,362
11/2014;603,849
12/2014;607,656
01/2015;611,074
02/2015;610,537
03/2015;616,157
04/2015;624,833
05/2015;626,699
06/2015;629,294
07/2015;633,876
08/2015;635,144
09/2015;643,419
10/2015;660,312
11/2015;673,085
12/2015;675,712
01/2016;683,436
02/2016;693,340
03/2016;696,424
04/2016;698,462
05/2016;705,311
06/2016;720,875
07/2016;720,819
08/2016;721,104
09/2016;722,424
10/2016;723,496
11/2016;722,330
12/2016;727,325
01/2017;732,383
02/2017;731,691
03/2017;730,425
04/2017;717,493
05/2017;706,335
06/2017;697,723
07/2017;689,617
08/2017;689,288
09/2017;694,397
10/2017;695,539
11/2017;700,120
12/2017;708,797
