IPC - Índice Mensal - Número Índice;
2017;
Mês;Aliment.
dez;452,4823
nov;451,0781
out;454,1495
set;450,1517
ago;453,8277
jul;459,9585
jun;461,1654
mai;465,0195
abr;466,0074
mar;460,83
fev;459,2831
jan;462,4826
2016;
Mês;Aliment.
dez;461,7502
nov;460,5142
out;464,7696
set;466,0274
ago;471,1569
jul;467,6876
jun;464,0555
mai;458,6965
abr;455,6002
mar;452,2922
fev;443,9713
jan;439,5007
2015;
Mês;Aliment.
dez;429,3865
nov;422,828
out;413,4651
set;408,1376
ago;408,3194
jul;410,4694
jun;407,3455
mai;404,9767
abr;401,456
mar;398,1663
fev;395,3161
jan;391,4133
2014;
Mês;Aliment.
dez;385,3517
nov;383,5502
out;377,6874
set;374,4937
ago;371,8251
jul;373,4155
jun;375,5807
mai;376,9725
abr;374,2279
mar;369,6764
fev;362,4165
jan;360,5783
2013;
Mês;Aliment.
dez;358,0583
nov;355,742
out;352,925
set;348,7373
ago;348,767
jul;348,8221
jun;350,2399
mai;350,4266
abr;351,4014
mar;350,6916
fev;348,0037
jan;346,8155
2012;
Mês;Aliment.
dez;339,6525
nov;334,9789
out;332,0236
set;325,3984
ago;319,8472
jul;316,4366
jun;314,7655
mai;311,5654
abr;309,2642
mar;307,8904
fev;306,4525
jan;309,4908
2011;
Mês;Aliment.
dez;307,9624
nov;303,6032
out;301,3674
set;299,7801
ago;298,6637
jul;295,9489
jun;295,3408
mai;297,0713
abr;296,4934
mar;295,1325
fev;294,8636
jan;295,3734
2010;
Mês;Aliment.
dez;293,2445
nov;289,2457
out;283,51
set;275,6839
ago;271,4233
jul;271,827
jun;272,9304
mai;275,8208
abr;275,5075
mar;271,8141
fev;267,9878
jan;265,3287
2009;
Mês;Aliment.
dez;261,3661
nov;261,9983
out;261,2193
set;262,4125
ago;264,0664
jul;263,4751
jun;261,1255
mai;260,6267
abr;260,4491
mar;261,1254
fev;259,3115
jan;258,4694
2008;
Mês;Aliment.
dez;256,7114
nov;258,1101
out;256,5646
set;255,6119
ago;256,4348
jul;257,6986
jun;254,959
mai;247,8492
abr;240,2282
mar;238,229
fev;237,5975
jan;237,9527
2007;
Mês;Aliment.
dez;235,4949
nov;230,8343
out;226,8551
set;226,3031
ago;224,7764
jul;221,545
jun;219,2163
mai;215,1318
abr;213,8825
mar;214,1654
fev;212,8445
jan;211,5979
2006;
Mês;Aliment.
dez;208,8953
nov;209,0491
out;206,8153
set;204,3246
ago;202,5505
jul;201,6192
jun;201,0025
mai;203,7532
abr;205,5829
mar;206,9071
fev;207,8632
jan;208,3215
2005;
Mês;Aliment.
dez;208,7599
nov;208,6139
out;207,0815
set;206,1538
ago;206,4222
jul;208,9505
jun;210,5082
mai;213,4755
abr;212,0337
mar;208,7973
fev;208,1936
jan;207,8818
2004;
Mês;Aliment.
dez;207,7571
nov;206,7852
out;207,2619
set;206,6832
ago;207,8681
jul;205,6878
jun;204,8887
mai;202,0798
abr;199,98
mar;200,5817
fev;200,3814
jan;200,1412
2003;
Mês;Aliment.
dez;199,0662
nov;198,0562
out;198,4729
set;196,8587
ago;194,9868
jul;195,5932
jun;196,9918
mai;199,6876
abr;199,1499
mar;197,6674
fev;195,4201
jan;191,8516
2002;
Mês;Aliment.
dez;188,3114
nov;182,1898
out;171,4405
set;166,6736
ago;164,34
jul;161,9113
jun;160,118
mai;159,5436
abr;160,104
mar;161,3789
fev;161,8158
jan;160,4201
2001;
Mês;Aliment.
dez;158,9892
nov;159,1324
out;158,3092
set;155,8622
ago;156,0026
jul;155,5205
jun;154,3015
mai;154,5643
abr;155,7009
mar;151,8737
fev;149,5408
jan;149,6456
2000;
Mês;Aliment.
dez;149,0049
nov;150,1762
out;151,7698
set;152,6399
ago;152,6399
jul;149,1061
jun;145,4551
mai;145,7758
abr;146,6115
mar;147,452
fev;148,059
jan;150,1308
1999;
Mês;Aliment.
dez;149,2354
nov;147,5096
out;143,968
set;141,464
ago;140,23
jul;139,1033
jun;139,5218
mai;141,2164
abr;144,0396
mar;145,7596
fev;144,6315
jan;140,3235
1998;
Mês;Aliment.
dez;139,2237
nov;139,7407
out;140,4712
set;140,0231
ago;140,2194
jul;142,1671
jun;144,3028
mai;144,5775
abr;143,5297
mar;143,0148
fev;141,8939
jan;141,4413
1997;
Mês;Aliment.
dez;140,027
nov;138,9019
out;137,8132
set;136,8824
ago;136,9097
jul;138,8819
jun;139,2718
mai;137,9885
abr;139,9052
mar;140,4248
fev;138,227
jan;137,1844
1996;
Mês;Aliment.
dez;135,1437
nov;137,0765
out;136,9259
set;136,0551
ago;136,6427
jul;137,0401
jun;135,5759
mai;135,1165
abr;135,049
mar;134,1635
fev;134,4593
jan;134,6748
1995;
Mês;Aliment.
dez;132,3455
nov;131,9233
out;129,1846
set;128,3631
ago;128,7106
jul;127,0463
jun;124,202
mai;124,289
abr;125,9644
mar;124,9523
fev;124,0345
jan;123,3069
1994;
Mês;Aliment.
dez;124,3264
nov;124,2022
out;118,5701
set;111,4486
ago;111,7503
jul;108,77
jun;100
