IPC - Índice Mensal - Número Índice;
2017;
Mês;Geral
dez;489,404
nov;486,7352
out;485,3331
set;483,7734
ago;483,6844
jul;483,2172
jun;483,2776
mai;483,0312
abr;483,2671
mar;480,3518
fev;479,6999
jan;480,0955
2016;
Mês;Geral
dez;478,5498
nov;475,1425
out;474,4261
set;473,1293
ago;473,7898
jul;473,2886
jun;471,651
mai;468,6144
abr;465,9626
mar;463,8322
fev;459,3617
jan;455,3144
2015;
Mês;Geral
dez;449,1791
nov;445,5275
out;440,8645
set;437,0244
ago;434,1382
jul;431,7047
jun;428,0831
mai;426,0992
abr;423,4943
mar;418,8778
fev;415,9809
jan;410,9663
2014;
Mês;Geral
dez;404,4088
nov;403,2181
out;400,4486
set;398,9657
ago;398,1471
jul;396,8078
jun;396,1641
mai;396,0088
abr;395,0185
mar;392,9196
fev;390,0352
jan;388,016
2013;
Mês;Geral
dez;384,4068
nov;381,9304
out;380,1778
set;378,3537
ago;377,4117
jul;376,5663
jun;377,061
mai;375,8703
abr;375,5045
mar;374,4732
fev;375,1286
jan;374,3002
2012;
Mês;Geral
dez;370,0506
nov;367,1923
out;364,7253
set;361,8235
ago;359,8551
jul;358,8944
jun;358,413
mai;357,5977
abr;356,3608
mar;354,705
fev;354,1854
jan;354,42
2011;
Mês;Geral
dez;352,0976
nov;349,9632
out;347,8693
set;346,5348
ago;345,6713
jul;344,3161
jun;343,2719
mai;343,23
abr;342,1587
mar;339,7759
fev;338,5948
jan;336,5874
2010;
Mês;Geral
dez;332,7742
nov;330,9908
out;328,641
set;325,267
ago;323,5483
jul;323,0021
jun;322,4495
mai;322,3173
abr;321,612
mar;320,3588
fev;319,2882
jan;316,9384
2009;
Mês;Geral
dez;312,7615
nov;312,2145
out;311,3247
set;310,5369
ago;310,0349
jul;308,5671
jun;307,5479
mai;307,1624
abr;306,1435
mar;305,1916
fev;303,9727
jan;303,1463
2008;
Mês;Geral
dez;301,7444
nov;301,2615
out;300,0971
set;298,6104
ago;297,4817
jul;296,3573
jun;295,0282
mai;292,233
abr;288,6862
mar;287,1425
fev;286,246
jan;285,7038
2007;
Mês;Geral
dez;284,2269
nov;281,9149
out;280,5919
set;280,3657
ago;279,7072
jul;279,5152
jun;278,7492
mai;277,2319
abr;276,2287
mar;275,3289
fev;275,0206
jan;274,1054
2006;
Mês;Geral
dez;272,2949
nov;269,4876
out;268,3674
set;267,3353
ago;266,6739
jul;266,3532
jun;265,7871
mai;266,6136
abr;267,2015
mar;267,1748
fev;266,8012
jan;266,8813
2005;
Mês;Geral
dez;265,5535
nov;264,7857
out;264,02
set;262,3671
ago;261,2177
jul;261,7412
jun;260,9583
mai;261,4813
abr;260,5693
mar;258,4244
fev;256,3988
jan;255,4791
2004;
Mês;Geral
dez;254,0564
nov;252,3656
out;250,9602
set;249,4138
ago;248,8911
jul;246,4513
jun;245,0057
mai;242,7722
abr;241,3963
mar;240,6982
fev;240,4098
jan;239,9538
2003;
Mês;Geral
dez;238,4042
nov;237,4071
out;236,7678
set;235,2855
ago;233,3256
jul;231,8649
jun;232,0505
mai;232,4224
abr;231,7041
mar;230,3909
fev;228,8575
jan;225,2313
2002;
Mês;Geral
dez;220,4044
nov;216,4435
out;210,8558
set;208,191
ago;206,6207
jul;204,5547
jun;203,1933
mai;202,5653
abr;202,4439
mar;202,3225
fev;202,1809
jan;201,6566
2001;
Mês;Geral
dez;200,5137
nov;200,0137
out;198,801
set;197,3407
ago;196,7112
jul;194,4747
jun;192,1497
mai;190,5302
abr;190,2069
mar;189,0536
fev;188,0943
jan;187,8877
2000;
Mês;Geral
dez;187,1764
nov;186,691
out;186,7844
set;186,7657
ago;186,2628
jul;183,4198
jun;180,8874
mai;180,5624
abr;180,5082
mar;180,3459
fev;179,9321
jan;180,3469
1999;
Mês;Geral
dez;179,3247
nov;178,4503
out;175,8478
set;173,8829
ago;172,3148
jul;171,0491
jun;169,2047
mai;169,3402
abr;169,9691
mar;169,174
fev;168,2319
jan;165,8928
1998;
Mês;Geral
dez;165,0674
nov;165,2658
out;165,9961
set;165,9629
ago;167,0656
jul;168,7531
jun;170,0626
mai;169,7401
abr;168,862
mar;167,8215
fev;168,2084
jan;168,478
1997;
Mês;Geral
dez;168,0746
nov;167,122
out;166,2409
set;165,876
ago;165,8594
jul;167,1296
jun;166,9459
mai;164,6085
abr;163,7081
mar;162,667
fev;162,3261
jan;162,3099
1996;
Mês;Geral
dez;160,3378
nov;160,0656
out;159,5233
set;158,6034
ago;158,4924
jul;157,9554
jun;155,9129
mai;153,7451
abr;151,7122
mar;149,2936
fev;148,951
jan;148,3576
1995;
Mês;Geral
dez;145,7057
nov;143,9638
out;142,2989
set;140,2236
ago;139,1935
jul;137,2311
jun;132,3092
mai;128,881
abr;126,3911
mar;123,1402
fev;120,8204
jan;119,2464
1994;
Mês;Geral
dez;118,3
nov;116,8395
out;113,4144
set;109,9296
ago;109,0355
jul;106,95
jun;100
