IPC - Índice Mensal - Número Índice;
2017;
Mês;Transp.
dez;657,3134
nov;652,329
out;646,5802
set;644,4921
ago;640,2994
jul;630,3319
jun;629,2515
mai;631,3552
abr;629,421
mar;628,3967
fev;631,4796
jan;632,5632
2016;
Mês;Transp.
dez;629,4292
nov;626,104
out;623,4928
set;619,0861
ago;617,5866
jul;617,7022
jun;617,433
mai;616,8753
abr;620,6301
mar;621,331
fev;619,0202
jan;612,3438
2015;
Mês;Transp.
dez;599,2285
nov;597,1022
out;590,595
set;581,5908
ago;580,7847
jul;580,5049
jun;579,5324
mai;579,2816
abr;577,5691
mar;576,2593
fev;574,9759
jan;561,5509
2014;
Mês;Transp.
dez;539,1653
nov;537,5125
out;536,4086
set;536,0215
ago;535,3497
jul;534,7444
jun;534,5145
mai;534,6514
abr;534,8418
mar;534,0007
fev;529,7148
jan;527,1549
2013;
Mês;Transp.
dez;524,0025
nov;519,3214
out;519,4461
set;518,723
ago;518,1152
jul;518,6754
jun;525,4984
mai;520,7048
abr;520,494
mar;519,0537
fev;517,5806
jan;513,2697
2012;
Mês;Transp.
dez;512,0704
nov;510,5907
out;509,9288
set;507,9898
ago;507,1804
jul;508,398
jun;510,2353
mai;513,9626
abr;513,9888
mar;513,0545
fev;511,7904
jan;512,5901
2011;
Mês;Transp.
dez;511,0049
nov;509,843
out;508,638
set;509,2292
ago;508,9239
jul;508,3342
jun;507,0574
mai;511,6805
abr;510,732
mar;503,5047
fev;498,3237
jan;492,6036
2010;
Mês;Transp.
dez;477,4428
nov;475,5762
out;473,8736
set;469,7361
ago;469,8339
jul;468,1807
jun;467,0234
mai;466,7574
abr;467,1054
mar;469,3484
fev;471,6865
jan;466,3907
2009;
Mês;Transp.
dez;445,9757
nov;444,0808
out;442,5121
set;438,8612
ago;437,7677
jul;438,0064
jun;437,1963
mai;438,274
abr;438,7948
mar;438,9023
fev;438,5073
jan;437,0327
2008;
Mês;Transp.
dez;438,3671
nov;437,5615
out;436,4151
set;434,8332
ago;433,6662
jul;432,4113
jun;431,0458
mai;430,4113
abr;429,0961
mar;428,0304
fev;427,0009
jan;425,4259
2007;
Mês;Transp.
dez;424,1865
nov;421,9501
out;419,8467
set;419,6553
ago;419,7111
jul;419,9165
jun;421,5348
mai;422,1934
abr;421,08
mar;417,9152
fev;417,3642
jan;415,5318
2006;
Mês;Transp.
dez;412,3402
nov;393,7039
out;392,8733
set;393,5877
ago;394,0326
jul;393,4522
jun;391,8
mai;393,0577
abr;395,4701
mar;395,6284
fev;390,5898
jan;388,6852
2005;
Mês;Transp.
dez;384,4562
nov;381,7458
out;380,4902
set;375,867
ago;370,2758
jul;368,1406
jun;365,9813
mai;366,3844
abr;366,3477
mar;361,5749
fev;347,1008
jan;343,4262
2004;
Mês;Transp.
dez;339,9249
nov;335,3971
out;330,2453
set;325,9428
ago;324,5149
jul;321,1429
jun;317,5232
mai;311,0228
abr;309,1985
mar;306,8054
fev;308,0685
jan;307,6378
2003;
Mês;Transp.
dez;305,8334
nov;304,6757
out;303,8855
set;303,279
ago;301,0811
jul;299,8816
jun;301,3582
mai;304,2486
abr;306,27
mar;305,8418
fev;304,5626
jan;291,5591
2002;
Mês;Transp.
dez;274,6412
nov;272,6779
out;262,7714
set;260,4534
ago;259,8298
jul;261,2668
jun;259,5022
mai;259,4243
abr;258,031
mar;253,4685
fev;251,1081
jan;252,1419
2001;
Mês;Transp.
dez;254,6631
nov;254,0533
out;253,3692
set;251,9583
ago;251,4303
jul;250,1545
jun;245,6348
mai;235,6435
abr;232,3671
mar;231,9033
fev;230,6807
jan;230,4733
2000;
Mês;Transp.
dez;229,0987
nov;225,0257
out;223,4837
set;222,9931
ago;222,5924
jul;217,3118
jun;211,3311
mai;210,7831
abr;210,3833
mar;210,2782
fev;207,2319
jan;206,4885
1999;
Mês;Transp.
dez;206,0969
nov;204,644
out;195,1034
set;189,4392
ago;186,8605
jul;185,0471
jun;177,5713
mai;176,3545
abr;176,6194
mar;175,8282
fev;173,2126
jan;168,6753
1998;
Mês;Transp.
dez;164,5452
nov;163,3852
out;164,8025
set;165,5142
ago;166,7313
jul;169,9086
jun;170,8998
mai;170,934
abr;171,4828
mar;171,8781
fev;171,4666
jan;168,4016
1997;
Mês;Transp.
dez;167,4805
nov;165,6255
out;164,3273
set;164,7887
ago;165,1521
jul;165,649
jun;163,6848
mai;159,0872
abr;159,0554
mar;159,1668
fev;159,2464
jan;159,5975
1996;
Mês;Transp.
dez;155,326
nov;151,6856
out;151,3073
set;149,6019
ago;149,4076
jul;149,8121
jun;143,5394
mai;136,1596
abr;135,7523
mar;129,7079
fev;129,5007
jan;128,7156
1995;
Mês;Transp.
dez;129,4404
nov;128,6812
out;128,707
set;124,5471
ago;124,2489
jul;124,3982
jun;117,6453
mai;112,4824
abr;111,8449
mar;110,8473
fev;110,6923
jan;111,0254
1994;
Mês;Transp.
dez;111,2925
nov;111,4373
out;111,5936
set;111,3819
ago;110,5308
jul;109,97
jun;100
