IPC - Índice Mensal - Número Índice;
2017;
Mês;Habit.
dez;576,8951
nov;572,7228
out;570,797
set;571,6293
ago;570,6164
jul;566,561
jun;567,6708
mai;562,7149
abr;564,7543
mar;562,2836
fev;561,2038
jan;559,1729
2016;
Mês;Habit.
dez;559,0969
nov;554,306
out;552,4377
set;551,3482
ago;550,4548
jul;553,5909
jun;552,4909
mai;548,0832
abr;545,2929
mar;544,8266
fev;542,1413
jan;537,2481
2015;
Mês;Habit.
dez;533,8279
nov;531,264
out;528,663
set;526,8249
ago;519,6398
jul;511,8963
jun;505,1625
mai;502,0892
abr;498,404
mar;487,2142
fev;481,3784
jan;472,7879
2014;
Mês;Habit.
dez;470,8386
nov;471,2486
out;470,3371
set;468,5589
ago;469,5694
jul;463,9858
jun;461,9063
mai;460,5978
abr;461,7165
mar;461,5503
fev;461,6048
jan;459,3453
2013;
Mês;Habit.
dez;456,7337
nov;454,1898
out;452,214
set;451,4642
ago;450,2099
jul;448,2207
jun;446,422
mai;444,9408
abr;444,9631
mar;443,8486
fev;448,553
jan;449,4992
2012;
Mês;Habit.
dez;447,9488
nov;445,8604
out;444,4506
set;442,1998
ago;441,6032
jul;442,1652
jun;441,754
mai;441,6338
abr;441,2442
mar;441,257
fev;441,5281
jan;439,7515
2011;
Mês;Habit.
dez;438,3969
nov;437,6323
out;435,8493
set;432,9829
ago;432,2451
jul;430,8126
jun;428,8997
mai;427,3855
abr;426,3652
mar;424,8752
fev;423,7383
jan;420,6991
2010;
Mês;Habit.
dez;418,9888
nov;418,1108
out;417,2775
set;415,2556
ago;413,8448
jul;412,7267
jun;411,2012
mai;410,0984
abr;409,2541
mar;409,1281
fev;408,7562
jan;405,6203
2009;
Mês;Habit.
dez;405,0176
nov;404,5722
out;403,7256
set;401,5967
ago;399,732
jul;394,882
jun;393,9912
mai;393,6531
abr;392,9179
mar;393,0634
fev;392,0902
jan;390,6452
2008;
Mês;Habit.
dez;389,8437
nov;388,9425
out;387,6555
set;384,7384
ago;381,9896
jul;378,0889
jun;378,4223
mai;377,2919
abr;374,5264
mar;372,7758
fev;371,141
jan;369,8505
2007;
Mês;Habit.
dez;369,9031
nov;369,2222
out;369,7739
set;369,9015
ago;369,0796
jul;372,1266
jun;372,4711
mai;371,9786
abr;370,9237
mar;369,974
fev;369,8652
jan;369,2504
2006;
Mês;Habit.
dez;368,8676
nov;368,2588
out;368,0483
set;366,4695
ago;366,4956
jul;367,12
jun;366,8834
mai;366,2608
abr;366,2974
mar;366,4806
fev;365,9683
jan;366,0415
2005;
Mês;Habit.
dez;365,2015
nov;364,946
out;364,7637
set;362,6242
ago;361,8282
jul;361,3945
jun;360,5652
mai;359,8096
abr;359,3066
mar;358,7684
fev;358,3742
jan;356,5558
2004;
Mês;Habit.
dez;355,3476
nov;354,3201
out;352,5222
set;350,1065
ago;348,1222
jul;342,034
jun;340,1969
mai;339,4162
abr;338,0977
mar;337,7599
fev;336,8504
jan;335,709
2003;
Mês;Habit.
dez;335,5748
nov;335,2395
out;334,4035
set;330,5689
ago;327,5229
jul;321,0694
jun;320,3966
mai;318,8978
abr;317,5008
mar;316,0784
fev;314,4121
jan;312,3816
2002;
Mês;Habit.
dez;310,3642
nov;307,1696
out;304,008
set;302,315
ago;299,7075
jul;294,0327
jun;292,6281
mai;291,5784
abr;291,8411
mar;293,1603
fev;293,6301
jan;292,8686
2001;
Mês;Habit.
dez;291,1508
nov;290,9763
out;289,9903
set;288,4041
ago;286,1719
jul;279,6286
jun;274,7113
mai;274,0262
abr;273,6978
mar;273,6978
fev;273,3424
jan;272,6608
2000;
Mês;Habit.
dez;272,4156
nov;271,3844
out;271,2216
set;270,7343
ago;269,0928
jul;264,9073
jun;263,6418
mai;263,1156
abr;263,063
mar;262,9052
fev;261,9361
jan;260,7886
1999;
Mês;Habit.
dez;259,7496
nov;259,4901
out;258,9463
set;258,1718
ago;256,072
jul;250,8788
jun;247,1226
mai;247,0731
abr;246,8263
mar;245,5983
fev;244,4738
jan;242,6779
1998;
Mês;Habit.
dez;242,2419
nov;242,0966
out;242,947
set;243,2632
ago;243,7019
jul;243,5801
jun;244,215
mai;243,6546
abr;244,2408
mar;244,07
fev;244,5591
jan;244,8039
1997;
Mês;Habit.
dez;245,1716
nov;244,3409
out;243,2221
set;242,9305
ago;242,0591
jul;240,783
jun;238,9905
mai;234,5344
abr;230,0259
mar;228,9498
fev;228,0377
jan;227,0613
1996;
Mês;Habit.
dez;226,3145
nov;225,323
out;224,0683
set;222,6876
ago;220,2211
jul;215,6705
jun;212,7347
mai;210,1084
abr;207,8018
mar;205,3783
fev;200,7412
jan;196,4969
1995;
Mês;Habit.
dez;191,3868
nov;184,4159
out;181,476
set;178,1972
ago;174,0377
jul;167,1671
jun;158,0926
mai;151,2558
abr;145,6764
mar;141,0363
fev;135,4686
jan;131,2298
1994;
Mês;Habit.
dez;127,7673
nov;122,8296
out;118,3329
set;113,4762
ago;109,2377
jul;105,33
jun;100
