IPC - Índice Mensal - Número Índice;
2017;
Mês;Desp.
dez;465,1408
nov;461,8923
out;455,9787
set;454,1336
ago;452,1171
jul;454,4658
jun;454,3186
mai;453,1685
abr;452,6239
mar;450,4689
fev;449,7228
jan;450,3168
2016;
Mês;Desp.
dez;449,7946
nov;444,534
out;441,0405
set;437,2599
ago;438,7706
jul;438,5632
jun;437,4263
mai;435,9458
abr;430,3602
mar;428,3116
fev;423,3382
jan;419,7968
2015;
Mês;Desp.
dez;419,1965
nov;413,7785
out;410,4005
set;406,6838
ago;402,6839
jul;398,8826
jun;395,2553
mai;391,9834
abr;390,947
mar;390,745
fev;389,3678
jan;389,0962
2014;
Mês;Desp.
dez;384,6212
nov;381,2989
out;376,6436
set;377,1108
ago;376,0129
jul;375,0711
jun;371,2641
mai;371,7076
abr;369,5303
mar;365,8705
fev;363,4272
jan;360,4331
2013;
Mês;Desp.
dez;353,4902
nov;350,7184
out;348,1557
set;345,1994
ago;344,388
jul;342,2408
jun;340,7113
mai;339,6438
abr;338,6225
mar;339,0362
fev;342,5345
jan;342,888
2012;
Mês;Desp.
dez;334,7996
nov;328,2156
out;322,9178
set;320,0955
ago;319,6448
jul;318,4706
jun;317,4329
mai;315,9234
abr;313,3881
mar;307,4271
fev;308,075
jan;307,2969
2011;
Mês;Desp.
dez;304,6616
nov;300,9015
out;297,0083
set;294,6479
ago;294,1969
jul;295,0422
jun;293,4768
mai;291,3242
abr;290,1349
mar;287,6844
fev;287,0988
jan;283,5725
2010;
Mês;Desp.
dez;281,1736
nov;280,2982
out;278,6597
set;276,8898
ago;276,3647
jul;276,1419
jun;274,4321
mai;272,2976
abr;271,6283
mar;270,7945
fev;270,2343
jan;269,3224
2009;
Mês;Desp.
dez;267,7363
nov;266,3277
out;265,1513
set;264,5312
ago;264,0454
jul;263,6875
jun;263,6656
mai;263,1126
abr;258,7681
mar;253,8976
fev;251,8918
jan;251,1537
2008;
Mês;Desp.
dez;249,6892
nov;247,5043
out;246,3962
set;245,758
ago;243,7853
jul;241,9652
jun;239,1303
mai;237,2381
abr;235,3835
mar;234,4917
fev;233,7859
jan;233,7876
2007;
Mês;Desp.
dez;231,9395
nov;229,2386
out;229,8161
set;229,5398
ago;229,4909
jul;229,0614
jun;227,0941
mai;225,7264
abr;224,6716
mar;223,6989
fev;225,07
jan;224,2346
2006;
Mês;Desp.
dez;222,7274
nov;219,379
out;217,7228
set;217,9315
ago;217,4225
jul;217,0696
jun;216,2903
mai;216,9411
abr;216,8977
mar;216,3352
fev;216,7036
jan;217,4211
2005;
Mês;Desp.
dez;215,5031
nov;214,1114
out;213,9189
set;212,2001
ago;211,692
jul;213,7439
jun;210,8968
mai;210,581
abr;209,3875
mar;208,574
fev;208,6992
jan;208,5741
2004;
Mês;Desp.
dez;207,4332
nov;204,7308
out;202,2831
set;201,658
ago;201,3158
jul;202,2258
jun;200,8799
mai;199,801
abr;199,1438
mar;198,667
fev;198,0333
jan;197,8552
2003;
Mês;Desp.
dez;196,1682
nov;193,5361
out;191,6199
set;191,7541
ago;190,2889
jul;190,6893
jun;189,5143
mai;189,0794
abr;187,4672
mar;186,0717
fev;185,793
jan;183,8624
2002;
Mês;Desp.
dez;179,8869
nov;174,5628
out;172,0678
set;169,4248
ago;168,247
jul;167,5267
jun;166,3456
mai;165,4851
abr;164,9079
mar;163,9407
fev;164,533
jan;165,2104
2001;
Mês;Desp.
dez;163,7367
nov;162,2762
out;159,8151
set;158,7514
ago;158,3714
jul;156,6482
jun;155,2664
mai;154,0188
abr;152,9937
mar;153,5619
fev;154,0086
jan;153,6398
2000;
Mês;Desp.
dez;153,4863
nov;153,2717
out;152,7524
set;152,5693
ago;152,5083
jul;152,8905
jun;151,1075
mai;150,9565
abr;150,8208
mar;150,0853
fev;150,0703
jan;150,4766
1999;
Mês;Desp.
dez;150,4616
nov;150,2662
out;149,5186
set;148,7896
ago;146,36
jul;146,1554
jun;145,8637
mai;145,9512
abr;145,7763
mar;145,5289
fev;144,031
jan;142,9304
1998;
Mês;Desp.
dez;142,6024
nov;142,6738
out;143,1318
set;143,2894
ago;143,8071
jul;144,2543
jun;144,4421
mai;144,7025
abr;145,2253
mar;145,2689
fev;145,5017
jan;148,2442
1997;
Mês;Desp.
dez;148,8844
nov;148,4984
out;148,3945
set;147,2606
ago;146,1934
jul;145,7852
jun;145,9749
mai;146,1503
abr;146,752
mar;146,8989
fev;147,1196
jan;146,9726
1996;
Mês;Desp.
dez;145,0292
nov;144,3077
out;144,25
set;144,3077
ago;143,4042
jul;142,8898
jun;142,9756
mai;141,9677
abr;139,6357
mar;138,3902
fev;138,6815
jan;137,6218
1995;
Mês;Desp.
dez;137,3745
nov;136,8136
out;135,3384
set;132,0761
ago;130,4198
jul;127,2512
jun;122,7938
mai;121,218
abr;118,8062
mar;114,6557
fev;113,498
jan;110,9571
1994;
Mês;Desp.
dez;109,285
nov;108,1173
out;107,1848
set;106,6622
ago;107,479
jul;107,77
jun;100
