IPC - Índice Mensal - Número Índice;
2017;
Mês;Saúde
dez;806,5211
nov;802,8968
out;799,5491
set;796,0061
ago;793,6291
jul;786,5315
jun;777,3786
mai;777,0499
abr;771,4898
mar;758,8705
fev;753,4383
jan;748,2454
2016;
Mês;Saúde
dez;743,0279
nov;740,3965
out;736,8713
set;732,7722
ago;728,6589
jul;718,5114
jun;708,1853
mai;705,222
abr;694,5892
mar;678,8348
fev;674,0618
jan;669,2864
2015;
Mês;Saúde
dez;665,4547
nov;663,106
out;658,9494
set;653,5854
ago;648,5398
jul;641,4917
jun;630,9336
mai;628,2748
abr;621,5588
mar;612,5132
fev;609,3738
jan;608,0252
2014;
Mês;Saúde
dez;605,1459
nov;601,904
out;597,679
set;595,0679
ago;592,3
jul;590,2789
jun;586,8832
mai;585,3163
abr;580,7245
mar;574,1346
fev;571,2816
jan;567,3961
2013;
Mês;Saúde
dez;565,4515
nov;563,4732
out;560,7373
set;558,1648
ago;554,1758
jul;549,632
jun;547,8416
mai;546,7929
abr;541,6773
mar;534,6662
fev;533,3084
jan;530,2483
2012;
Mês;Saúde
dez;528,089
nov;526,812
out;524,2808
set;523,204
ago;520,2775
jul;517,4553
jun;515,4306
mai;512,5338
abr;508,6563
mar;504,9806
fev;503,0719
jan;500,5546
2011;
Mês;Saúde
dez;498,5375
nov;497,3613
out;495,1006
set;493,6075
ago;490,6069
jul;487,38
jun;484,7767
mai;483,2906
abr;479,9764
mar;472,6335
fev;469,8077
jan;466,4631
2010;
Mês;Saúde
dez;464,6709
nov;463,6273
out;462,5366
set;460,82
ago;459,9618
jul;457,8656
jun;455,7119
mai;452,4866
abr;447,3347
mar;442,9828
fev;442,3529
jan;440,1241
2009;
Mês;Saúde
dez;438,988
nov;438,1092
out;437,116
set;435,8873
ago;433,0568
jul;432,4332
jun;429,0327
mai;425,3239
abr;422,1393
mar;414,4488
fev;413,5155
jan;412,6654
2008;
Mês;Saúde
dez;410,9595
nov;410,7804
out;409,5166
set;406,9366
ago;404,5888
jul;402,8305
jun;400,5955
mai;397,3389
abr;395,0017
mar;391,0846
fev;389,7769
jan;387,5616
2007;
Mês;Saúde
dez;386,1768
nov;385,0893
out;382,6689
set;380,9167
ago;380,3967
jul;377,8537
jun;375,5662
mai;374,689
abr;373,107
mar;370,6496
fev;370,0036
jan;366,7284
2006;
Mês;Saúde
dez;365,3004
nov;363,6451
out;362,5791
set;361,9894
ago;360,8153
jul;359,1163
jun;356,1588
mai;355,9452
abr;353,1203
mar;348,7263
fev;347,1295
jan;345,2651
2005;
Mês;Saúde
dez;343,5815
nov;343,1012
out;342,2114
set;340,475
ago;335,708
jul;332,5487
jun;328,8654
mai;326,3849
abr;323,6661
mar;317,9744
fev;316,1722
jan;315,4467
2004;
Mês;Saúde
dez;314,4405
nov;312,534
out;311,4129
set;310,234
ago;309,2753
jul;307,4001
jun;301,2841
mai;298,804
abr;296,4914
mar;289,8537
fev;288,7564
jan;286,8062
2003;
Mês;Saúde
dez;286,1195
nov;286,7503
out;284,531
set;283,9631
ago;281,6256
jul;280,7272
jun;279,9713
mai;277,7218
abr;276,4226
mar;273,388
fev;269,4539
jan;266,6277
2002;
Mês;Saúde
dez;264,8269
nov;257,8394
out;256,0217
set;254,5453
ago;254,1133
jul;251,722
jun;250,1958
mai;249,5967
abr;248,875
mar;248,4774
fev;246,4076
jan;242,9337
2001;
Mês;Saúde
dez;242,2312
nov;240,4757
out;238,4725
set;238,8069
ago;238,354
jul;237,4517
jun;236,7651
mai;236,6231
abr;237,7405
mar;236,6754
fev;234,7272
jan;232,6796
2000;
Mês;Saúde
dez;232,1688
nov;231,798
out;232,1694
set;231,7986
ago;231,4976
jul;228,1439
jun;226,1537
mai;224,1587
abr;222,7111
mar;221,868
fev;221,868
jan;222,5579
1999;
Mês;Saúde
dez;221,8259
nov;221,4273
out;221,76
set;221,6049
ago;222,0935
jul;219,4599
jun;217,2226
mai;215,9699
abr;213,3879
mar;210,6287
fev;210,924
jan;210,9873
1998;
Mês;Saúde
dez;210,9029
nov;210,0208
out;209,4762
set;209,1833
ago;208,9326
jul;208,9535
jun;208,87
mai;208,3283
abr;208,5577
mar;209,8377
fev;208,8561
jan;206,2165
1997;
Mês;Saúde
dez;205,8666
nov;204,9035
out;204,3722
set;204,0253
ago;203,0305
jul;201,3792
jun;200,3773
mai;198,5113
abr;196,1186
mar;194,1
fev;193,3652
jan;192,883
1996;
Mês;Saúde
dez;190,5958
nov;187,9643
out;187,9643
set;187,3648
ago;186,2658
jul;183,4589
jun;175,7437
mai;173,4028
abr;170,1696
mar;169,441
fev;167,4318
jan;165,9055
1995;
Mês;Saúde
dez;161,4337
nov;156,9146
out;156,2117
set;154,2222
ago;153,2872
jul;149,8701
jun;141,1339
mai;133,7636
abr;130,5647
mar;127,0703
fev;123,8985
jan;120,5825
1994;
Mês;Saúde
dez;116,471
nov;113,9973
out;111,9706
set;110,6976
ago;109,6124
jul;107,95
jun;100
