IPC - Índice Mensal - Número Índice;
2017;
Mês;Educ.
dez;829,8176
nov;829,1841
out;828,3781
set;827,0069
ago;826,9829
jul;826,6704
jun;823,8405
mai;822,6493
abr;821,9055
mar;820,4296
fev;819,9523
jan;818,8641
2016;
Mês;Educ.
dez;768,7839
nov;768,538
out;767,5578
set;767,126
ago;767,0707
jul;767,4621
jun;760,7546
mai;759,5097
abr;758,0452
mar;757,3817
fev;756,2307
jan;753,2884
2015;
Mês;Educ.
dez;699,9833
nov;699,1003
out;697,9208
set;696,461
ago;694,4257
jul;693,6751
jun;692,6956
mai;692,5287
abr;691,9378
mar;691,3916
fev;690,5505
jan;688,4624
2014;
Mês;Educ.
dez;644,2435
nov;643,9556
out;643,6062
set;642,2363
ago;641,5722
jul;641,519
jun;639,3624
mai;639,147
abr;638,2567
mar;637,7165
fev;637,3246
jan;634,7058
2013;
Mês;Educ.
dez;593,4847
nov;593,0607
out;592,3356
set;591,6499
ago;591,1055
jul;590,5687
jun;590,2157
mai;590,1709
abr;589,9785
mar;588,922
fev;588,1762
jan;586,5702
2012;
Mês;Educ.
dez;552,9513
nov;552,1507
out;551,5418
set;551,3565
ago;551,1052
jul;550,2254
jun;548,5184
mai;547,9113
abr;547,6353
mar;547,4344
fev;547,2265
jan;544,6855
2011;
Mês;Educ.
dez;511,8147
nov;511,6208
out;511,4065
set;511,4955
ago;511,2169
jul;511,1903
jun;509,7432
mai;509,4594
abr;508,9723
mar;508,7592
fev;508,0763
jan;506,4794
2010;
Mês;Educ.
dez;479,5838
nov;479,0822
out;478,9563
set;478,6002
ago;478,307
jul;478,0101
jun;477,2775
mai;476,9213
abr;476,6315
mar;476,0664
fev;475,6297
jan;474,6198
2009;
Mês;Educ.
dez;454,5104
nov;454,0368
out;453,6172
set;453,4812
ago;453,0549
jul;452,8543
jun;451,9806
mai;451,7412
abr;451,4707
mar;451,3728
fev;450,9876
jan;450,4134
2008;
Mês;Educ.
dez;425,118
nov;424,7807
out;424,4887
set;424,3372
ago;424,0183
jul;423,5253
jun;423,3175
mai;422,9833
abr;422,8155
mar;422,6388
fev;422,1188
jan;421,3986
2007;
Mês;Educ.
dez;403,6745
nov;403,2736
out;403,1595
set;403,0817
ago;402,8944
jul;402,631
jun;401,5525
mai;401,292
abr;401,0189
mar;400,6399
fev;400,3237
jan;399,8515
2006;
Mês;Educ.
dez;387,346
nov;387,1427
out;386,761
set;386,4325
ago;386,0245
jul;385,935
jun;385,7984
mai;385,6441
abr;385,2588
mar;384,7587
fev;384,7202
jan;383,8757
2005;
Mês;Educ.
dez;367,31
nov;366,6866
out;366,6499
set;366,2837
ago;366,1006
jul;365,9908
jun;365,7348
mai;364,932
abr;364,6402
mar;364,4944
fev;363,9849
jan;363,5123
2004;
Mês;Educ.
dez;344,7575
nov;344,4131
out;344,069
set;344,0002
ago;343,6909
jul;343,279
jun;342,6964
mai;342,1831
abr;342,0805
mar;341,7729
fev;341,6704
jan;340,6824
2003;
Mês;Educ.
dez;311,7518
nov;311,0675
out;310,8809
set;310,7877
ago;310,4152
jul;310,2911
jun;310,2291
mai;309,548
abr;309,1462
mar;308,5599
fev;307,6983
jan;306,2894
2002;
Mês;Educ.
dez;283,9431
nov;283,4329
out;282,3599
set;281,9933
ago;282,2474
jul;281,8528
jun;280,8697
mai;280,6452
abr;280,3648
mar;280,1967
fev;279,8609
jan;278,857
2001;
Mês;Educ.
dez;266,5682
nov;265,93
out;266,1695
set;265,8771
ago;265,9303
jul;265,32
jun;264,1051
mai;263,6832
abr;263,2095
mar;262,4484
fev;262,4221
jan;262,4221
2000;
Mês;Educ.
dez;252,1835
nov;251,7806
out;251,5542
set;251,0521
ago;251,2028
jul;251,0271
jun;250,8014
mai;250,5258
abr;249,8263
mar;249,3277
fev;248,5324
jan;248,3585
1999;
Mês;Educ.
dez;231,3755
nov;230,9137
out;229,9479
set;229,6723
ago;229,2825
jul;228,962
jun;228,7104
mai;228,1856
abr;228,2084
mar;227,5939
fev;229,4293
jan;229,04
1998;
Mês;Educ.
dez;226,1676
nov;226,3034
out;226,4166
set;226,0324
ago;225,5137
jul;225,7394
jun;225,2664
mai;224,7719
abr;224,5025
mar;224,8172
fev;224,3461
jan;224,9084
1997;
Mês;Educ.
dez;215,4501
nov;215,3855
out;214,3566
set;214,5282
ago;214,1427
jul;214,8518
jun;215,1314
mai;215,1099
abr;214,8521
mar;214,4018
fev;213,9312
jan;214,317
1996;
Mês;Educ.
dez;196,9282
nov;195,4622
out;195,2865
set;195,5407
ago;196,0701
jul;196,5615
jun;196,3455
mai;195,2521
abr;194,0104
mar;194,0492
fev;185,3206
jan;180,6948
1995;
Mês;Educ.
dez;155,4498
nov;154,5688
out;153,6163
set;152,7305
ago;152,0312
jul;150,4068
jun;145,3065
mai;139,0626
abr;130,1597
mar;121,1013
fev;105,4246
jan;104,4222
1994;
Mês;Educ.
dez;102,8385
nov;101,7196
out;101,0225
set;100,8309
ago;100,9016
jul;101,48
jun;100
