"";"Mês";"IPCA - Variação mensal (%)"
"Brasil";"janeiro 2012";"0,21"
"Brasil";"fevereiro 2012";"-0,17"
"Brasil";"março 2012";"-0,36"
"Brasil";"abril 2012";"0,46"
"Brasil";"maio 2012";"-0,19"
"Brasil";"junho 2012";"-0,01"
"Brasil";"julho 2012";"0,15"
"Brasil";"agosto 2012";"-0,01"
"Brasil";"setembro 2012";"0,03"
"Brasil";"outubro 2012";"0,31"
"Brasil";"novembro 2012";"0,31"
"Brasil";"dezembro 2012";"0,03"
"Brasil";"janeiro 2013";"-0,08"
"Brasil";"fevereiro 2013";"0,10"
"Brasil";"março 2013";"0,13"
"Brasil";"abril 2013";"-0,32"
"Brasil";"maio 2013";"0,08"
"Brasil";"junho 2013";"0,19"
"Brasil";"julho 2013";"0,20"
"Brasil";"agosto 2013";"0,02"
"Brasil";"setembro 2013";"-0,04"
"Brasil";"outubro 2013";"0,08"
"Brasil";"novembro 2013";"0,40"
"Brasil";"dezembro 2013";"0,74"
"Brasil";"janeiro 2014";"0,03"
"Brasil";"fevereiro 2014";"0,14"
"Brasil";"março 2014";"-1,26"
"Brasil";"abril 2014";"0,02"
"Brasil";"maio 2014";"0,11"
"Brasil";"junho 2014";"-0,02"
"Brasil";"julho 2014";"-0,79"
"Brasil";"agosto 2014";"0,10"
"Brasil";"setembro 2014";"0,13"
"Brasil";"outubro 2014";"-0,05"
"Brasil";"novembro 2014";"0,08"
"Brasil";"dezembro 2014";"0,00"
"Brasil";"janeiro 2015";"0,15"
"Brasil";"fevereiro 2015";"-0,02"
"Brasil";"março 2015";"-1,16"
"Brasil";"abril 2015";"0,31"
"Brasil";"maio 2015";"0,17"
"Brasil";"junho 2015";"0,34"
"Brasil";"julho 2015";"0,30"
"Brasil";"agosto 2015";"0,14"
"Brasil";"setembro 2015";"0,01"
"Brasil";"outubro 2015";"0,39"
"Brasil";"novembro 2015";"1,03"
"Brasil";"dezembro 2015";"0,43"
"Brasil";"janeiro 2016";"0,22"
"Brasil";"fevereiro 2016";"0,66"
"Brasil";"março 2016";"-1,65"
"Brasil";"abril 2016";"1,47"
"Brasil";"maio 2016";"0,01"
"Brasil";"junho 2016";"0,04"
"Brasil";"julho 2016";"0,02"
"Brasil";"agosto 2016";"-0,02"
"Brasil";"setembro 2016";"0,18"
"Brasil";"outubro 2016";"0,07"
"Brasil";"novembro 2016";"0,27"
"Brasil";"dezembro 2016";"0,02"
"Brasil";"janeiro 2017";"0,63"
"Brasil";"fevereiro 2017";"0,66"
"Brasil";"março 2017";"-0,63"
"Brasil";"abril 2017";"0,55"
"Brasil";"maio 2017";"0,09"
"Brasil";"junho 2017";"0,09"
"Brasil";"julho 2017";"-0,02"
"Brasil";"agosto 2017";"-0,56"
"Brasil";"setembro 2017";"0,50"
"Brasil";"outubro 2017";"0,40"
"Brasil";"novembro 2017";"0,15"
"Brasil";"dezembro 2017";"-0,11"
