"Tabela 1419 - IPCA - Variação mensal, acumulada no ano, acumulada em 12 meses e peso mensal, para o índice geral, grupos, subgrupos, itens e subitens de produtos e serviços (a partir de janeiro/2012)"
"Geral, grupo, subgrupo, item e subitem - 5.Transportes"
"";"Mês";"Variável"
"";"Mês";"IPCA - Variação mensal (%)"
"Brasil";"janeiro 2012";"0,69"
"Brasil";"fevereiro 2012";"-0,33"
"Brasil";"março 2012";"0,16"
"Brasil";"abril 2012";"0,10"
"Brasil";"maio 2012";"-0,58"
"Brasil";"junho 2012";"-1,18"
"Brasil";"julho 2012";"-0,03"
"Brasil";"agosto 2012";"0,06"
"Brasil";"setembro 2012";"-0,08"
"Brasil";"outubro 2012";"0,24"
"Brasil";"novembro 2012";"0,68"
"Brasil";"dezembro 2012";"0,75"
"Brasil";"janeiro 2013";"0,75"
"Brasil";"fevereiro 2013";"0,81"
"Brasil";"março 2013";"-0,09"
"Brasil";"abril 2013";"-0,19"
"Brasil";"maio 2013";"-0,25"
"Brasil";"junho 2013";"0,14"
"Brasil";"julho 2013";"-0,66"
"Brasil";"agosto 2013";"-0,06"
"Brasil";"setembro 2013";"0,44"
"Brasil";"outubro 2013";"0,17"
"Brasil";"novembro 2013";"0,36"
"Brasil";"dezembro 2013";"1,85"
"Brasil";"janeiro 2014";"-0,03"
"Brasil";"fevereiro 2014";"-0,05"
"Brasil";"março 2014";"1,38"
"Brasil";"abril 2014";"0,32"
"Brasil";"maio 2014";"-0,45"
"Brasil";"junho 2014";"0,37"
"Brasil";"julho 2014";"-0,98"
"Brasil";"agosto 2014";"0,33"
"Brasil";"setembro 2014";"0,63"
"Brasil";"outubro 2014";"0,39"
"Brasil";"novembro 2014";"0,43"
"Brasil";"dezembro 2014";"1,38"
"Brasil";"janeiro 2015";"1,83"
"Brasil";"fevereiro 2015";"2,20"
"Brasil";"março 2015";"0,46"
"Brasil";"abril 2015";"0,11"
"Brasil";"maio 2015";"-0,29"
"Brasil";"junho 2015";"0,70"
"Brasil";"julho 2015";"0,15"
"Brasil";"agosto 2015";"-0,27"
"Brasil";"setembro 2015";"0,71"
"Brasil";"outubro 2015";"1,72"
"Brasil";"novembro 2015";"1,08"
"Brasil";"dezembro 2015";"1,36"
"Brasil";"janeiro 2016";"1,77"
"Brasil";"fevereiro 2016";"0,62"
"Brasil";"março 2016";"0,16"
"Brasil";"abril 2016";"0,03"
"Brasil";"maio 2016";"-0,58"
"Brasil";"junho 2016";"-0,53"
"Brasil";"julho 2016";"0,40"
"Brasil";"agosto 2016";"0,27"
"Brasil";"setembro 2016";"-0,10"
"Brasil";"outubro 2016";"0,75"
"Brasil";"novembro 2016";"0,28"
"Brasil";"dezembro 2016";"1,11"
"Brasil";"janeiro 2017";"0,77"
"Brasil";"fevereiro 2017";"0,24"
"Brasil";"março 2017";"-0,86"
"Brasil";"abril 2017";"-0,06"
"Brasil";"maio 2017";"-0,42"
"Brasil";"junho 2017";"-0,52"
"Brasil";"julho 2017";"0,34"
"Brasil";"agosto 2017";"1,53"
"Brasil";"setembro 2017";"0,79"
"Brasil";"outubro 2017";"0,49"
"Brasil";"novembro 2017";"0,52"
"Brasil";"dezembro 2017";"1,23"
"Fonte: IBGE - Índice Nacional de Preços ao Consumidor Amplo"

"Notas"
"1 - Com a atualização das Estruturas de Ponderação, obtidas a partir da Pesquisa de Orçamentos Familiares - POF - 2008-2009, foram introduzidos aperfeiçoamentos na classificação dos produtos e serviços que compõem as estruturas dos índices de preços. Com isso, foram criadas novas tabelas, a partir de janeiro de 2012 para o IPCA e INPC e fevereiro de 2012 para o IPCA-15, contendo os dados com as estruturas atualizadas. Os dados de períodos anteriores são disponibilizados em outras tabelas."
"2 - A variação acumulada em 12 meses está disponível a partir de fevereiro de 2017."
