"";"Mês";"IPCA - Variação mensal (%)"
"Brasil";"janeiro 2012";"0,30"
"Brasil";"fevereiro 2012";"0,70"
"Brasil";"março 2012";"0,38"
"Brasil";"abril 2012";"0,96"
"Brasil";"maio 2012";"0,66"
"Brasil";"junho 2012";"0,38"
"Brasil";"julho 2012";"0,36"
"Brasil";"agosto 2012";"0,53"
"Brasil";"setembro 2012";"0,32"
"Brasil";"outubro 2012";"0,48"
"Brasil";"novembro 2012";"0,32"
"Brasil";"dezembro 2012";"0,40"
"Brasil";"janeiro 2013";"0,73"
"Brasil";"fevereiro 2013";"0,65"
"Brasil";"março 2013";"0,32"
"Brasil";"abril 2013";"1,28"
"Brasil";"maio 2013";"0,94"
"Brasil";"junho 2013";"0,36"
"Brasil";"julho 2013";"0,34"
"Brasil";"agosto 2013";"0,45"
"Brasil";"setembro 2013";"0,46"
"Brasil";"outubro 2013";"0,39"
"Brasil";"novembro 2013";"0,41"
"Brasil";"dezembro 2013";"0,41"
"Brasil";"janeiro 2014";"0,48"
"Brasil";"fevereiro 2014";"0,74"
"Brasil";"março 2014";"0,43"
"Brasil";"abril 2014";"1,01"
"Brasil";"maio 2014";"0,98"
"Brasil";"junho 2014";"0,60"
"Brasil";"julho 2014";"0,50"
"Brasil";"agosto 2014";"0,41"
"Brasil";"setembro 2014";"0,33"
"Brasil";"outubro 2014";"0,39"
"Brasil";"novembro 2014";"0,42"
"Brasil";"dezembro 2014";"0,47"
"Brasil";"janeiro 2015";"0,32"
"Brasil";"fevereiro 2015";"0,60"
"Brasil";"março 2015";"0,69"
"Brasil";"abril 2015";"1,32"
"Brasil";"maio 2015";"1,10"
"Brasil";"junho 2015";"0,91"
"Brasil";"julho 2015";"0,84"
"Brasil";"agosto 2015";"0,62"
"Brasil";"setembro 2015";"0,55"
"Brasil";"outubro 2015";"0,55"
"Brasil";"novembro 2015";"0,64"
"Brasil";"dezembro 2015";"0,70"
"Brasil";"janeiro 2016";"0,81"
"Brasil";"fevereiro 2016";"0,94"
"Brasil";"março 2016";"0,78"
"Brasil";"abril 2016";"2,33"
"Brasil";"maio 2016";"1,62"
"Brasil";"junho 2016";"0,83"
"Brasil";"julho 2016";"0,61"
"Brasil";"agosto 2016";"0,80"
"Brasil";"setembro 2016";"0,33"
"Brasil";"outubro 2016";"0,43"
"Brasil";"novembro 2016";"0,57"
"Brasil";"dezembro 2016";"0,49"
"Brasil";"janeiro 2017";"0,55"
"Brasil";"fevereiro 2017";"0,65"
"Brasil";"março 2017";"0,69"
"Brasil";"abril 2017";"1,00"
"Brasil";"maio 2017";"0,62"
"Brasil";"junho 2017";"0,46"
"Brasil";"julho 2017";"0,37"
"Brasil";"agosto 2017";"0,41"
"Brasil";"setembro 2017";"0,32"
"Brasil";"outubro 2017";"0,52"
"Brasil";"novembro 2017";"0,34"
"Brasil";"dezembro 2017";"0,40"
