"Tabela 289 - Quantidade produzida e valor da produção na extração vegetal, por tipo de produto extrativo"
"Variável - Quantidade produzida na extração vegetal"
"";"Ano";"Tipo de produto extrativo"
"";"Ano";"1 - Alimentícios (Toneladas)";"1.1 - Açaí (fruto) (Toneladas)";"1.2 - Castanha-de-caju (Toneladas)";"1.3 - Castanha-do-pará (Toneladas)";"1.4 - Erva-mate (Toneladas)";"1.5 - Mangaba (fruto) (Toneladas)";"1.6 - Palmito (Toneladas)";"1.7 - Pequi (fruto) (Toneladas)";"1.8 - Pinhão (Toneladas)";"1.9 - Umbu (fruto) (Toneladas)";"1.10 - Outros (Toneladas)";"2 - Aromáticos, medicinais, tóxicos e corantes (Toneladas)";"2.1 - Ipecacuanha ou poaia (raiz) (Toneladas)";"2.2 - Jaborandi (folha) (Toneladas)";"2.3 - Urucum (semente) (Toneladas)";"2.4 - Outros (Toneladas)";"3 - Borrachas (Toneladas)";"3.1 - Caucho (Toneladas)";"3.2 - Hevea (látex coagulado) (Toneladas)";"3.3 - Hevea (látex líquido) (Toneladas)";"3.4 - Mangabeira (Toneladas)";"4 - Ceras (Toneladas)";"4.1 - Carnaúba (cera) (Toneladas)";"4.2 - Carnaúba (pó) (Toneladas)";"4.3 - Outras (Toneladas)";"5 - Fibras (Toneladas)";"5.1 - Buriti (Toneladas)";"5.2 - Carnaúba (Toneladas)";"5.3 - Piaçava (Toneladas)";"5.4 - Outras (Toneladas)";"6 - Gomas não elásticas (Toneladas)";"6.1 - Balata (Toneladas)";"6.2 - Maçaranduba (Toneladas)";"6.3 - Sorva (Toneladas)";"7.1 - Carvão vegetal (Toneladas)";"7.2 - Lenha (Metros cúbicos)";"7.3 - Madeira em tora (Metros cúbicos)";"8 - Oleaginosos (Toneladas)";"8.1 - Babaçu (amêndoa) (Toneladas)";"8.2 - Copaíba (óleo) (Toneladas)";"8.3 - Cumaru (amêndoa) (Toneladas)";"8.4 - Licuri (coquilho) (Toneladas)";"8.5 - Oiticica (semente) (Toneladas)";"8.6 - Pequi (amêndoa) (Toneladas)";"8.7 - Tucum (amêndoa) (Toneladas)";"8.8 - Outros (Toneladas)";"9.1 - Pinheiro brasileiro (nó de pinho) (Metros cúbicos)";"9.2 - Pinheiro brasileiro (árvores abatidas) (Mil árvores)";"9.3 - Pinheiro brasileiro (madeira em tora) (Metros cúbicos)";"10 - Tanantes (Toneladas)";"10.1 - Angico (casca) (Toneladas)";"10.2 - Barbatimão (casca) (Toneladas)";"10.3 - Outros (Toneladas)"
"Brasil";"1986";"464561";"137595";"13257";"36136";"121908";"889";"131013";"...";"4800";"18964";"...";"4319";"19";"1784";"897";"1620";"28741";"200";"27019";"1520";"2";"16725";"8267";"8458";"-";"69048";"1157";"2058";"64979";"855";"3401";"22";"376";"3002";"3364773";"126136230";"44670152";"234121";"189097";"43";"457";"13427";"22799";"815";"7016";"466";"1199472";"1201";"2248200";"3814";"2054";"1738";"22"
"Brasil";"1987";"502370";"145881";"13742";"36241";"139991";"904";"142060";"...";"4524";"19027";"...";"6254";"17";"1788";"1209";"3240";"26555";"92";"24928";"1513";"22";"17426";"7143";"10283";"-";"71356";"1155";"2089";"67232";"880";"1841";"19";"298";"1524";"3582277";"120929898";"45743867";"229235";"197396";"99";"333";"12073";"8096";"1054";"5453";"4731";"152297";"901";"1704636";"3479";"1807";"1596";"76"
"Brasil";"1988";"518216";"117119";"12716";"29391";"145064";"939";"190314";"...";"3118";"19555";"...";"4963";"17";"1765";"793";"2388";"26385";"39";"23935";"2409";"2";"18107";"7373";"10734";"-";"80276";"972";"2544";"74737";"2023";"1272";"21";"192";"1059";"3726555";"118012732";"52172243";"294544";"200031";"54";"15";"13632";"10277";"1394";"5190";"63952";"151496";"772";"1642743";"3103";"1557";"1527";"19"
"Brasil";"1989";"519841";"114304";"8870";"25672";"145649";"988";"202439";"...";"2919";"18999";"...";"3466";"2";"1676";"845";"943";"24817";"42";"22990";"1784";"1";"18383";"7372";"11011";"-";"71810";"991";"2876";"67579";"364";"1254";"21";"127";"1106";"3590990";"115251924";"65850417";"233802";"195379";"49";"9";"12421";"15968";"1593";"5092";"3291";"135367";"679";"1407572";"2587";"1185";"1387";"15"
"Brasil";"1990";"382030";"120795";"8584";"51195";"150823";"972";"27031";"...";"2771";"19859";"...";"3512";"2";"1374";"739";"1396";"24014";"9";"22896";"1109";"...";"18192";"6581";"11611";"...";"63706";"990";"2876";"59381";"458";"870";"18";"116";"736";"2792941";"108549219";"97514108";"211290";"188718";"93";"32";"11446";"2479";"1965";"5343";"1214";"105711";"542";"1050713";"2187";"1009";"1173";"6"
"Brasil";"1991";"418955";"116559";"9107";"35838";"209327";"580";"23687";"...";"5071";"18787";"...";"3907";"3";"1260";"910";"1733";"21564";"5";"20429";"1130";"...";"19062";"6883";"12178";"...";"74978";"992";"2754";"70845";"388";"490";"17";"104";"370";"2489252";"99762686";"46232854";"204829";"181657";"76";"54";"12146";"2986";"2201";"4930";"778";"91526";"415";"832664";"2026";"914";"1106";"7"
"Brasil";"1992";"415242";"124555";"9827";"25303";"208298";"541";"21003";"...";"6429";"19285";"...";"4624";"3";"1257";"504";"2861";"19580";"4";"18468";"1108";"...";"19392";"6531";"12861";"...";"81670";"899";"2667";"77716";"388";"333";"14";"71";"248";"2318321";"95610742";"53067737";"193654";"168717";"34";"14";"10958";"6898";"2149";"3860";"1022";"97358";"326";"645662";"1941";"923";"1012";"6"
"Brasil";"1993";"404670";"85286";"6950";"26505";"243690";"281";"21596";"...";"6412";"13950";"...";"6177";"2";"2422";"486";"3267";"18826";"4";"17768";"1053";"...";"16726";"5188";"11538";"...";"75345";"385";"2121";"72628";"211";"172";"3";"29";"141";"1937930";"94154132";"62840016";"142135";"127392";"101";"10";"8202";"740";"2263";"3101";"326";"89987";"282";"600064";"1766";"846";"914";"6"
"Brasil";"1994";"391322";"98857";"6601";"38882";"207980";"305";"21903";"...";"5155";"11639";"...";"5669";"2";"2280";"288";"3100";"15652";"4";"14810";"838";"...";"17053";"4916";"12137";"...";"83867";"383";"1938";"81348";"198";"157";"-";"19";"138";"1886782";"89747722";"62526820";"121171";"107515";"65";"44";"7716";"1113";"2412";"1977";"328";"80715";"207";"498072";"671";"651";"14";"7"
"Brasil";"1995";"396694";"108922";"6239";"40216";"204065";"310";"20653";"...";"5319";"10969";"...";"4634";"2";"2155";"230";"2247";"14385";"4";"13627";"755";"...";"17392";"5228";"12164";"...";"87554";"387";"2078";"84990";"99";"170";"-";"21";"149";"1805151";"84795387";"61588270";"124727";"99263";"72";"48";"6696";"13613";"2454";"2257";"325";"70850";"196";"497860";"595";"577";"12";"6"
"Brasil";"1996";"341753";"111438";"5041";"21469";"169031";"1364";"18155";"...";"4538";"10717";"...";"3183";"2";"723";"41";"2418";"7580";"-";"6686";"895";"...";"10374";"2592";"7782";"...";"96704";"399";"1820";"93965";"520";"54";"-";"27";"27";"1461363";"67377486";"49855821";"138752";"127308";"279";"23";"6249";"844";"2992";"913";"144";"349944";"157";"437255";"484";"466";"12";"7"
"Brasil";"1997";"372350";"100214";"5327";"22786";"189469";"1279";"36449";"...";"5237";"11590";"...";"3484";"2";"1415";"36";"2032";"6699";"-";"5912";"787";"...";"10143";"2203";"7940";"...";"98343";"396";"2488";"95380";"79";"58";"-";"29";"29";"1650835";"62461750";"26303849";"135210";"122519";"313";"43";"6019";"1445";"4040";"778";"54";"19846";"142";"349594";"455";"438";"11";"6"
"Brasil";"1998";"372302";"119074";"4911";"23111";"183504";"1231";"24188";"...";"5351";"10932";"...";"3811";"1";"1313";"78";"2418";"6108";"-";"5449";"659";"...";"10219";"1959";"8260";"...";"98959";"385";"1904";"96413";"257";"41";"-";"4";"37";"1284032";"58347879";"22149783";"132649";"122077";"398";"12";"5640";"172";"3440";"845";"65";"279570";"146";"356255";"438";"421";"12";"5"
"Brasil";"1999";"361052";"116132";"5919";"26856";"176922";"1212";"18575";"...";"5230";"10206";"...";"3659";"2";"1613";"98";"1946";"5815";"-";"5131";"685";"...";"13038";"2264";"10774";"...";"98197";"387";"1419";"96037";"354";"41";"-";"4";"37";"1281125";"54672259";"21310243";"129717";"119664";"408";"16";"5278";"139";"3365";"783";"64";"499415";"157";"351230";"387";"372";"12";"4"
"Brasil";"2000";"368760";"121800";"5881";"33431";"174481";"1222";"17154";"...";"4702";"10090";"...";"3785";"2";"1235";"252";"2296";"5649";"-";"5167";"482";"...";"14471";"2399";"12072";"...";"96836";"381";"1428";"94870";"157";"42";"-";"4";"37";"1429180";"50395399";"21918527";"127706";"116889";"408";"10";"5055";"911";"3580";"792";"61";"314513";"158";"295953";"396";"380";"12";"5"
"Brasil";"2001";"371160";"123135";"6266";"28467";"182177";"1181";"15596";"...";"4417";"9919";"...";"6772";"1";"1146";"178";"5446";"4499";"-";"4368";"131";"...";"15198";"2883";"12315";"...";"97258";"356";"1384";"95447";"71";"44";"-";"4";"39";"1729319";"49001583";"20069287";"124895";"114563";"414";"38";"5106";"249";"3338";"796";"392";"305479";"172";"320625";"363";"347";"12";"5"
"Brasil";"2002";"424493";"131958";"5752";"27389";"229701";"1147";"14529";"...";"4403";"9613";"...";"3414";"1";"1088";"185";"2141";"4034";"-";"3959";"74";"...";"18199";"3120";"15079";"...";"96583";"389";"1383";"94705";"106";"48";"-";"5";"43";"1955377";"49502542";"21374527";"124383";"113935";"453";"18";"5060";"167";"3607";"791";"352";"33260";"117";"43914";"359";"343";"11";"4"
"Brasil";"2003";"422549";"144531";"4705";"24894";"220189";"999";"13704";"...";"4396";"9132";"...";"3049";"0";"800";"198";"2051";"4154";"-";"4084";"70";"...";"19973";"3418";"16556";"...";"97917";"360";"1984";"95507";"66";"48";"-";"5";"43";"2227206";"47232026";"20663328";"126250";"113395";"463";"97";"5093";"1077";"4941";"782";"402";"26485";"91";"177945";"332";"316";"12";"4"
"Brasil";"2004";"407297";"101041";"5692";"27059";"246837";"790";"12124";"...";"4518";"9237";"...";"3819";"0";"243";"160";"3415";"4279";"-";"4206";"73";"...";"21158";"3600";"17559";"...";"98910";"492";"2165";"96173";"80";"48";"-";"5";"43";"2185950";"47168345";"19102794";"130267";"118723";"459";"89";"5052";"102";"4923";"747";"172";"20268";"98";"140365";"291";"280";"7";"4"
"Brasil";"2005";"402749";"104874";"5677";"30975";"238869";"811";"7863";"...";"4609";"9070";"...";"1839";"0";"222";"127";"1489";"4615";"-";"4557";"58";"...";"22353";"3209";"19143";"0";"89348";"483";"2264";"86550";"51";"49";"-";"5";"44";"2972405";"45421627";"17372428";"132222";"119031";"479";"110";"5178";"1379";"5089";"736";"221";"16377";"81";"136109";"243";"231";"6";"6"
"Brasil";"2006";"390486";"101341";"5538";"28806";"233360";"824";"6524";"...";"5203";"8891";"...";"1705";"0";"224";"62";"1419";"4011";"-";"3942";"69";"...";"22409";"3130";"19280";"0";"83763";"467";"2297";"80942";"57";"50";"-";"5";"45";"2505733";"45159866";"17985901";"129152";"117150";"502";"90";"5090";"78";"5350";"712";"180";"10878";"51";"90485";"210";"199";"6";"4"
"Brasil";"2007";"390192";"108033";"5480";"30406";"225957";"773";"6037";"...";"4887";"8619";"...";"1733";"0";"229";"209";"1295";"3957";"-";"3888";"70";"...";"22464";"3190";"19273";"0";"84140";"500";"1488";"82096";"57";"39";"-";"5";"33";"2530425";"43910054";"16388609";"128125";"114874";"523";"97";"5355";"1204";"5363";"658";"50";"9656";"60";"125118";"209";"198";"6";"4"
"Brasil";"2008";"396544";"120890";"4447";"30815";"219773";"711";"5873";"...";"4768";"9268";"...";"1381";"0";"360";"131";"890";"3625";"-";"3565";"60";"...";"21511";"3044";"18468";"-";"80383";"610";"1517";"78167";"87";"40";"-";"5";"35";"2221990";"42117639";"14127359";"122262";"110636";"514";"86";"4649";"106";"5531";"661";"79";"9138";"50";"90648";"197";"187";"6";"4"
