"Tabela 289 - Quantidade produzida e valor da produção na extração vegetal, por tipo de produto extrativo"
"Variável - Quantidade produzida na extração vegetal"
"Unidade da Federação";"Ano";"Tipo de produto extrativo"
"Unidade da Federação";"Ano";"1 - Alimentícios (Toneladas)";"1.1 - Açaí (fruto) (Toneladas)";"1.2 - Castanha-de-caju (Toneladas)";"1.3 - Castanha-do-pará (Toneladas)";"1.4 - Erva-mate (Toneladas)";"1.5 - Mangaba (fruto) (Toneladas)";"1.6 - Palmito (Toneladas)";"1.7 - Pequi (fruto) (Toneladas)";"1.8 - Pinhão (Toneladas)";"1.9 - Umbu (fruto) (Toneladas)";"1.10 - Outros (Toneladas)";"2 - Aromáticos, medicinais, tóxicos e corantes (Toneladas)";"2.1 - Ipecacuanha ou poaia (raiz) (Toneladas)";"2.2 - Jaborandi (folha) (Toneladas)";"2.3 - Urucum (semente) (Toneladas)";"2.4 - Outros (Toneladas)";"3 - Borrachas (Toneladas)";"3.1 - Caucho (Toneladas)";"3.2 - Hevea (látex coagulado) (Toneladas)";"3.3 - Hevea (látex líquido) (Toneladas)";"3.4 - Mangabeira (Toneladas)";"4 - Ceras (Toneladas)";"4.1 - Carnaúba (cera) (Toneladas)";"4.2 - Carnaúba (pó) (Toneladas)";"4.3 - Outras (Toneladas)";"5 - Fibras (Toneladas)";"5.1 - Buriti (Toneladas)";"5.2 - Carnaúba (Toneladas)";"5.3 - Piaçava (Toneladas)";"5.4 - Outras (Toneladas)";"6 - Gomas não elásticas (Toneladas)";"6.1 - Balata (Toneladas)";"6.2 - Maçaranduba (Toneladas)";"6.3 - Sorva (Toneladas)";"7.1 - Carvão vegetal (Toneladas)";"7.2 - Lenha (Metros cúbicos)";"7.3 - Madeira em tora (Metros cúbicos)";"8 - Oleaginosos (Toneladas)";"8.1 - Babaçu (amêndoa) (Toneladas)";"8.2 - Copaíba (óleo) (Toneladas)";"8.3 - Cumaru (amêndoa) (Toneladas)";"8.4 - Licuri (coquilho) (Toneladas)";"8.5 - Oiticica (semente) (Toneladas)";"8.6 - Pequi (amêndoa) (Toneladas)";"8.7 - Tucum (amêndoa) (Toneladas)";"8.8 - Outros (Toneladas)";"9.1 - Pinheiro brasileiro (nó de pinho) (Metros cúbicos)";"9.2 - Pinheiro brasileiro (árvores abatidas) (Mil árvores)";"9.3 - Pinheiro brasileiro (madeira em tora) (Metros cúbicos)";"10 - Tanantes (Toneladas)";"10.1 - Angico (casca) (Toneladas)";"10.2 - Barbatimão (casca) (Toneladas)";"10.3 - Outros (Toneladas)"
"Piauí";"1986";"237";"-";"214";"-";"-";"1";"-";"...";"-";"22";"...";"162";"-";"153";"9";"-";"-";"-";"-";"-";"-";"6317";"3319";"2998";"-";"3";"-";"-";"-";"3";"-";"-";"-";"-";"7449";"2045998";"924627";"18200";"11809";"-";"-";"-";"474";"411";"5506";"-";"-";"-";"-";"305";"145";"160";"-"
"Piauí";"1987";"226";"-";"211";"-";"-";"1";"-";"...";"-";"14";"...";"1081";"-";"161";"22";"898";"-";"-";"-";"-";"-";"6818";"2648";"4171";"-";"2";"-";"-";"-";"2";"-";"-";"-";"-";"7023";"2022406";"959181";"15729";"11073";"-";"-";"-";"50";"333";"4274";"-";"-";"-";"-";"202";"112";"90";"-"
"Piauí";"1988";"169";"-";"131";"-";"-";"1";"-";"...";"-";"37";"...";"1104";"-";"138";"52";"914";"-";"-";"-";"-";"-";"8086";"2925";"5161";"-";"1";"-";"-";"-";"1";"-";"-";"-";"-";"6762";"1891661";"937671";"19971";"14204";"-";"-";"-";"1520";"128";"4119";"-";"-";"-";"-";"179";"75";"104";"-"
"Piauí";"1989";"133";"-";"94";"-";"-";"1";"-";"...";"-";"38";"...";"542";"-";"93";"53";"396";"-";"-";"-";"-";"-";"8432";"3281";"5152";"-";"1";"-";"-";"-";"1";"-";"-";"-";"-";"6287";"1734150";"894979";"17605";"13087";"-";"-";"-";"219";"108";"4190";"-";"-";"-";"-";"119";"61";"58";"-"
"Piauí";"1990";"123";"-";"84";"-";"-";"1";"-";"...";"-";"38";"...";"749";"-";"66";"58";"626";"-";"-";"-";"-";"...";"8013";"2242";"5771";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6857";"1716640";"877498";"16855";"12241";"-";"-";"-";"18";"113";"4483";"-";"-";"-";"-";"68";"68";"-";"-"
"Piauí";"1991";"129";"-";"92";"-";"-";"1";"-";"...";"-";"36";"...";"1105";"-";"38";"61";"1006";"-";"-";"-";"-";"...";"9633";"3020";"6612";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6637";"1626329";"799322";"17009";"12133";"-";"-";"-";"588";"118";"4169";"-";"-";"-";"-";"22";"22";"-";"-"
"Piauí";"1992";"1155";"-";"1120";"-";"-";"1";"-";"...";"-";"34";"...";"973";"-";"38";"60";"875";"-";"-";"-";"-";"...";"9512";"2863";"6649";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6696";"1567277";"747207";"15276";"11745";"-";"-";"-";"242";"123";"3167";"-";"-";"-";"-";"18";"18";"-";"-"
"Piauí";"1993";"300";"-";"270";"-";"-";"1";"-";"...";"-";"29";"...";"1326";"-";"33";"56";"1237";"-";"-";"-";"-";"...";"8757";"2472";"6285";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6313";"1568339";"718407";"11046";"8177";"-";"-";"-";"331";"86";"2452";"-";"-";"-";"-";"13";"13";"-";"-"
"Piauí";"1994";"341";"-";"289";"-";"-";"1";"-";"...";"-";"51";"...";"1335";"-";"38";"29";"1268";"-";"-";"-";"-";"...";"9291";"2319";"6972";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5687";"1546614";"684654";"7906";"5546";"-";"-";"-";"869";"64";"1428";"-";"-";"-";"-";"12";"12";"-";"-"
"Piauí";"1995";"291";"-";"231";"-";"-";"1";"-";"...";"-";"59";"...";"591";"-";"40";"17";"534";"-";"-";"-";"-";"...";"9430";"2456";"6974";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"6971";"1511387";"671580";"7312";"5451";"-";"-";"-";"12";"121";"1728";"-";"-";"-";"-";"8";"8";"-";"-"
