"Tabela 289 - Quantidade produzida e valor da produção na extração vegetal, por tipo de produto extrativo"
"Variável - Quantidade produzida na extração vegetal (Toneladas)"
"Unidade da Federação";"Ano";"Tipo de produto extrativo"
"Unidade da Federação";"Ano";""
"Piauí";"1986";"3028522"
"Piauí";"1987";"3036728"
"Piauí";"1988";"2895114"
"Piauí";"1989";"2689080"
"Piauí";"1990";"2652612"
"Piauí";"1991";"2488082"
"Piauí";"1992";"2375049"
"Piauí";"1993";"2335943"
"Piauí";"1994";"2274726"
"Piauí";"1995";"2225202"
"Piauí";"1996";"2089939"
"Piauí";"1997";"2032860"
"Piauí";"1998";"1961329"
"Piauí";"1999";"1903482"
"Piauí";"2000";"1816757"
"Piauí";"2001";"1770623"
"Piauí";"2002";"1760484"
"Piauí";"2003";"1764974"
"Piauí";"2004";"1799324"
"Piauí";"2005";"1788307"
"Piauí";"2006";"1907392"
"Piauí";"2007";"2113813"
"Piauí";"2008";"2018671"
"Piauí";"2009";"1892579"
"Piauí";"2010";"2437408"
"Piauí";"2011";"2238076"
"Piauí";"2012";"2265823"
"Piauí";"2013";"2216295"
"Piauí";"2014";"2270553"
"Piauí";"2015";"2313114"
"Piauí";"2016";"2051246"
"Fonte: IBGE - Produção da Extração Vegetal e da Silvicultura"

"Notas"
"1 - Os municípios sem informação para pelo menos um produto da extração vegetal não aparecem nas listas."
"2 - Até 2001 era pesquisada a erva-mate cancheada. A partir de 2002 passou-se a pesquisar a erva-mate folha verde."
"3 - Valor da produção na extração vegetal: Variável derivada calculada pela média ponderada das informações de quantidade e preço médio corrente pago ao produtor, de acordo com os períodos de colheita e comercialização de cada produto. As despesas de frete, taxas e impostos não são incluídas no preço."
"4 - Os dados do último ano divulgado são RESULTADOS PRELIMINARES e podem sofrer alterações até a próxima divulgação."
