"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Brasil";"1 Indústria geral";"72,4"
"fevereiro 2002";"Brasil";"1 Indústria geral";"69,7"
"março 2002";"Brasil";"1 Indústria geral";"77,4"
"abril 2002";"Brasil";"1 Indústria geral";"79,6"
"maio 2002";"Brasil";"1 Indústria geral";"80,4"
"junho 2002";"Brasil";"1 Indústria geral";"77,5"
"julho 2002";"Brasil";"1 Indústria geral";"83,3"
"agosto 2002";"Brasil";"1 Indústria geral";"83,6"
"setembro 2002";"Brasil";"1 Indústria geral";"82,1"
"outubro 2002";"Brasil";"1 Indústria geral";"89,2"
"novembro 2002";"Brasil";"1 Indústria geral";"83,9"
"dezembro 2002";"Brasil";"1 Indústria geral";"74,6"
"janeiro 2003";"Brasil";"1 Indústria geral";"74,0"
"fevereiro 2003";"Brasil";"1 Indústria geral";"71,8"
"março 2003";"Brasil";"1 Indústria geral";"77,4"
"abril 2003";"Brasil";"1 Indústria geral";"76,5"
"maio 2003";"Brasil";"1 Indústria geral";"79,7"
"junho 2003";"Brasil";"1 Indústria geral";"76,3"
"julho 2003";"Brasil";"1 Indústria geral";"81,3"
"agosto 2003";"Brasil";"1 Indústria geral";"81,6"
"setembro 2003";"Brasil";"1 Indústria geral";"85,7"
"outubro 2003";"Brasil";"1 Indústria geral";"90,0"
"novembro 2003";"Brasil";"1 Indústria geral";"84,6"
"dezembro 2003";"Brasil";"1 Indústria geral";"77,9"
"janeiro 2004";"Brasil";"1 Indústria geral";"76,8"
"fevereiro 2004";"Brasil";"1 Indústria geral";"74,0"
"março 2004";"Brasil";"1 Indústria geral";"86,9"
"abril 2004";"Brasil";"1 Indústria geral";"82,2"
"maio 2004";"Brasil";"1 Indústria geral";"86,3"
"junho 2004";"Brasil";"1 Indústria geral";"86,1"
"julho 2004";"Brasil";"1 Indústria geral";"90,1"
"agosto 2004";"Brasil";"1 Indústria geral";"92,1"
"setembro 2004";"Brasil";"1 Indústria geral";"92,1"
"outubro 2004";"Brasil";"1 Indústria geral";"93,5"
"novembro 2004";"Brasil";"1 Indústria geral";"91,8"
"dezembro 2004";"Brasil";"1 Indústria geral";"84,7"
