"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"1 Indústria geral";"89,7"
"janeiro 2002";"Pernambuco";"1 Indústria geral";"77,9"
"janeiro 2002";"Bahia";"1 Indústria geral";"81,1"
"fevereiro 2002";"Ceará";"1 Indústria geral";"80,2"
"fevereiro 2002";"Pernambuco";"1 Indústria geral";"66,3"
"fevereiro 2002";"Bahia";"1 Indústria geral";"72,4"
"março 2002";"Ceará";"1 Indústria geral";"88,0"
"março 2002";"Pernambuco";"1 Indústria geral";"67,0"
"março 2002";"Bahia";"1 Indústria geral";"78,3"
"abril 2002";"Ceará";"1 Indústria geral";"90,6"
"abril 2002";"Pernambuco";"1 Indústria geral";"67,7"
"abril 2002";"Bahia";"1 Indústria geral";"75,0"
"maio 2002";"Ceará";"1 Indústria geral";"90,4"
"maio 2002";"Pernambuco";"1 Indústria geral";"67,8"
"maio 2002";"Bahia";"1 Indústria geral";"72,4"
"junho 2002";"Ceará";"1 Indústria geral";"86,4"
"junho 2002";"Pernambuco";"1 Indústria geral";"61,4"
"junho 2002";"Bahia";"1 Indústria geral";"75,7"
"julho 2002";"Ceará";"1 Indústria geral";"98,5"
"julho 2002";"Pernambuco";"1 Indústria geral";"68,5"
"julho 2002";"Bahia";"1 Indústria geral";"88,2"
"agosto 2002";"Ceará";"1 Indústria geral";"92,5"
"agosto 2002";"Pernambuco";"1 Indústria geral";"70,0"
"agosto 2002";"Bahia";"1 Indústria geral";"89,1"
"setembro 2002";"Ceará";"1 Indústria geral";"100,0"
"setembro 2002";"Pernambuco";"1 Indústria geral";"76,5"
"setembro 2002";"Bahia";"1 Indústria geral";"77,5"
"outubro 2002";"Ceará";"1 Indústria geral";"107,9"
"outubro 2002";"Pernambuco";"1 Indústria geral";"92,4"
"outubro 2002";"Bahia";"1 Indústria geral";"86,1"
"novembro 2002";"Ceará";"1 Indústria geral";"109,5"
"novembro 2002";"Pernambuco";"1 Indústria geral";"92,4"
"novembro 2002";"Bahia";"1 Indústria geral";"84,6"
"dezembro 2002";"Ceará";"1 Indústria geral";"98,1"
