"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Brasil";"2 Indústrias extrativas";"62,4"
"fevereiro 2002";"Brasil";"2 Indústrias extrativas";"58,9"
"março 2002";"Brasil";"2 Indústrias extrativas";"67,8"
"abril 2002";"Brasil";"2 Indústrias extrativas";"66,5"
"maio 2002";"Brasil";"2 Indústrias extrativas";"68,2"
"junho 2002";"Brasil";"2 Indústrias extrativas";"67,9"
"julho 2002";"Brasil";"2 Indústrias extrativas";"70,4"
"agosto 2002";"Brasil";"2 Indústrias extrativas";"70,8"
"setembro 2002";"Brasil";"2 Indústrias extrativas";"67,0"
"outubro 2002";"Brasil";"2 Indústrias extrativas";"70,6"
"novembro 2002";"Brasil";"2 Indústrias extrativas";"67,0"
"dezembro 2002";"Brasil";"2 Indústrias extrativas";"63,9"
"janeiro 2003";"Brasil";"2 Indústrias extrativas";"68,6"
"fevereiro 2003";"Brasil";"2 Indústrias extrativas";"63,5"
"março 2003";"Brasil";"2 Indústrias extrativas";"71,9"
"abril 2003";"Brasil";"2 Indústrias extrativas";"69,1"
"maio 2003";"Brasil";"2 Indústrias extrativas";"73,1"
"junho 2003";"Brasil";"2 Indústrias extrativas";"66,3"
"julho 2003";"Brasil";"2 Indústrias extrativas";"70,5"
"agosto 2003";"Brasil";"2 Indústrias extrativas";"73,3"
"setembro 2003";"Brasil";"2 Indústrias extrativas";"70,9"
"outubro 2003";"Brasil";"2 Indústrias extrativas";"73,0"
"novembro 2003";"Brasil";"2 Indústrias extrativas";"69,7"
"dezembro 2003";"Brasil";"2 Indústrias extrativas";"70,5"
"janeiro 2004";"Brasil";"2 Indústrias extrativas";"68,5"
"fevereiro 2004";"Brasil";"2 Indústrias extrativas";"66,3"
"março 2004";"Brasil";"2 Indústrias extrativas";"71,5"
"abril 2004";"Brasil";"2 Indústrias extrativas";"69,7"
"maio 2004";"Brasil";"2 Indústrias extrativas";"71,6"
"junho 2004";"Brasil";"2 Indústrias extrativas";"72,5"
"julho 2004";"Brasil";"2 Indústrias extrativas";"75,8"
"agosto 2004";"Brasil";"2 Indústrias extrativas";"78,8"
"setembro 2004";"Brasil";"2 Indústrias extrativas";"75,5"
"outubro 2004";"Brasil";"2 Indústrias extrativas";"77,6"
"novembro 2004";"Brasil";"2 Indústrias extrativas";"73,9"
"dezembro 2004";"Brasil";"2 Indústrias extrativas";"75,2"
"janeiro 2005";"Brasil";"2 Indústrias extrativas";"73,6"
"fevereiro 2005";"Brasil";"2 Indústrias extrativas";"67,3"
"março 2005";"Brasil";"2 Indústrias extrativas";"76,2"
"abril 2005";"Brasil";"2 Indústrias extrativas";"79,3"
"maio 2005";"Brasil";"2 Indústrias extrativas";"84,1"
"junho 2005";"Brasil";"2 Indústrias extrativas";"83,7"
"julho 2005";"Brasil";"2 Indústrias extrativas";"84,1"
"agosto 2005";"Brasil";"2 Indústrias extrativas";"85,0"
"setembro 2005";"Brasil";"2 Indústrias extrativas";"83,5"
"outubro 2005";"Brasil";"2 Indústrias extrativas";"86,0"
"novembro 2005";"Brasil";"2 Indústrias extrativas";"81,7"
"dezembro 2005";"Brasil";"2 Indústrias extrativas";"82,4"
"janeiro 2006";"Brasil";"2 Indústrias extrativas";"83,8"
"fevereiro 2006";"Brasil";"2 Indústrias extrativas";"76,0"
"março 2006";"Brasil";"2 Indústrias extrativas";"86,2"
"abril 2006";"Brasil";"2 Indústrias extrativas";"83,1"
"maio 2006";"Brasil";"2 Indústrias extrativas";"89,7"
"junho 2006";"Brasil";"2 Indústrias extrativas";"84,5"
"julho 2006";"Brasil";"2 Indústrias extrativas";"89,6"
"agosto 2006";"Brasil";"2 Indústrias extrativas";"89,8"
"setembro 2006";"Brasil";"2 Indústrias extrativas";"87,6"
"outubro 2006";"Brasil";"2 Indústrias extrativas";"90,1"
"novembro 2006";"Brasil";"2 Indústrias extrativas";"88,9"
"dezembro 2006";"Brasil";"2 Indústrias extrativas";"89,0"
"janeiro 2007";"Brasil";"2 Indústrias extrativas";"88,1"
"fevereiro 2007";"Brasil";"2 Indústrias extrativas";"80,8"
"março 2007";"Brasil";"2 Indústrias extrativas";"91,0"
"abril 2007";"Brasil";"2 Indústrias extrativas";"87,7"
"maio 2007";"Brasil";"2 Indústrias extrativas";"92,6"
"junho 2007";"Brasil";"2 Indústrias extrativas";"91,8"
"julho 2007";"Brasil";"2 Indústrias extrativas";"96,0"
"agosto 2007";"Brasil";"2 Indústrias extrativas";"95,9"
"setembro 2007";"Brasil";"2 Indústrias extrativas";"91,1"
"outubro 2007";"Brasil";"2 Indústrias extrativas";"93,9"
"novembro 2007";"Brasil";"2 Indústrias extrativas";"92,0"
"dezembro 2007";"Brasil";"2 Indústrias extrativas";"98,6"
"janeiro 2008";"Brasil";"2 Indústrias extrativas";"95,1"
"fevereiro 2008";"Brasil";"2 Indústrias extrativas";"88,6"
"março 2008";"Brasil";"2 Indústrias extrativas";"94,0"
