"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"2 Indústrias extrativas";"-"
"janeiro 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"janeiro 2002";"Bahia";"2 Indústrias extrativas";"99,0"
"fevereiro 2002";"Ceará";"2 Indústrias extrativas";"-"
"fevereiro 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"fevereiro 2002";"Bahia";"2 Indústrias extrativas";"84,7"
"março 2002";"Ceará";"2 Indústrias extrativas";"-"
"março 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"março 2002";"Bahia";"2 Indústrias extrativas";"94,6"
"abril 2002";"Ceará";"2 Indústrias extrativas";"-"
"abril 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"abril 2002";"Bahia";"2 Indústrias extrativas";"98,7"
"maio 2002";"Ceará";"2 Indústrias extrativas";"-"
"maio 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"maio 2002";"Bahia";"2 Indústrias extrativas";"105,1"
"junho 2002";"Ceará";"2 Indústrias extrativas";"-"
"junho 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"junho 2002";"Bahia";"2 Indústrias extrativas";"98,6"
"julho 2002";"Ceará";"2 Indústrias extrativas";"-"
"julho 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"julho 2002";"Bahia";"2 Indústrias extrativas";"99,6"
"agosto 2002";"Ceará";"2 Indústrias extrativas";"-"
"agosto 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"agosto 2002";"Bahia";"2 Indústrias extrativas";"104,9"
"setembro 2002";"Ceará";"2 Indústrias extrativas";"-"
"setembro 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"setembro 2002";"Bahia";"2 Indústrias extrativas";"96,8"
"outubro 2002";"Ceará";"2 Indústrias extrativas";"-"
"outubro 2002";"Pernambuco";"2 Indústrias extrativas";"-"
"outubro 2002";"Bahia";"2 Indústrias extrativas";"99,4"
"novembro 2002";"Ceará";"2 Indústrias extrativas";"-"
"novembro 2002";"Pernambuco";"2 Indústrias extrativas";"-"
