"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Brasil";"3 Indústrias de transformação";"73,0"
"fevereiro 2002";"Brasil";"3 Indústrias de transformação";"70,4"
"março 2002";"Brasil";"3 Indústrias de transformação";"78,0"
"abril 2002";"Brasil";"3 Indústrias de transformação";"80,4"
"maio 2002";"Brasil";"3 Indústrias de transformação";"81,2"
"junho 2002";"Brasil";"3 Indústrias de transformação";"78,1"
"julho 2002";"Brasil";"3 Indústrias de transformação";"84,1"
"agosto 2002";"Brasil";"3 Indústrias de transformação";"84,4"
"setembro 2002";"Brasil";"3 Indústrias de transformação";"83,1"
"outubro 2002";"Brasil";"3 Indústrias de transformação";"90,3"
"novembro 2002";"Brasil";"3 Indústrias de transformação";"84,9"
"dezembro 2002";"Brasil";"3 Indústrias de transformação";"75,3"
"janeiro 2003";"Brasil";"3 Indústrias de transformação";"74,3"
"fevereiro 2003";"Brasil";"3 Indústrias de transformação";"72,3"
"março 2003";"Brasil";"3 Indústrias de transformação";"77,8"
"abril 2003";"Brasil";"3 Indústrias de transformação";"77,0"
"maio 2003";"Brasil";"3 Indústrias de transformação";"80,1"
"junho 2003";"Brasil";"3 Indústrias de transformação";"76,9"
"julho 2003";"Brasil";"3 Indústrias de transformação";"82,0"
"agosto 2003";"Brasil";"3 Indústrias de transformação";"82,2"
"setembro 2003";"Brasil";"3 Indústrias de transformação";"86,6"
"outubro 2003";"Brasil";"3 Indústrias de transformação";"91,1"
"novembro 2003";"Brasil";"3 Indústrias de transformação";"85,5"
"dezembro 2003";"Brasil";"3 Indústrias de transformação";"78,3"
"janeiro 2004";"Brasil";"3 Indústrias de transformação";"77,3"
"fevereiro 2004";"Brasil";"3 Indústrias de transformação";"74,5"
"março 2004";"Brasil";"3 Indústrias de transformação";"87,9"
"abril 2004";"Brasil";"3 Indústrias de transformação";"83,0"
"maio 2004";"Brasil";"3 Indústrias de transformação";"87,3"
"junho 2004";"Brasil";"3 Indústrias de transformação";"87,0"
"julho 2004";"Brasil";"3 Indústrias de transformação";"91,0"
"agosto 2004";"Brasil";"3 Indústrias de transformação";"93,0"
"setembro 2004";"Brasil";"3 Indústrias de transformação";"93,2"
"outubro 2004";"Brasil";"3 Indústrias de transformação";"94,5"
"novembro 2004";"Brasil";"3 Indústrias de transformação";"92,9"
"dezembro 2004";"Brasil";"3 Indústrias de transformação";"85,3"
"janeiro 2005";"Brasil";"3 Indústrias de transformação";"81,5"
"fevereiro 2005";"Brasil";"3 Indústrias de transformação";"77,0"
"março 2005";"Brasil";"3 Indústrias de transformação";"88,8"
"abril 2005";"Brasil";"3 Indústrias de transformação";"87,5"
"maio 2005";"Brasil";"3 Indústrias de transformação";"91,5"
"junho 2005";"Brasil";"3 Indústrias de transformação";"91,9"
"julho 2005";"Brasil";"3 Indústrias de transformação";"90,9"
"agosto 2005";"Brasil";"3 Indústrias de transformação";"96,3"
"setembro 2005";"Brasil";"3 Indústrias de transformação";"92,6"
