"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3 Indústrias de transformação";"89,7"
"janeiro 2002";"Pernambuco";"3 Indústrias de transformação";"77,9"
"janeiro 2002";"Bahia";"3 Indústrias de transformação";"80,2"
"fevereiro 2002";"Ceará";"3 Indústrias de transformação";"80,2"
"fevereiro 2002";"Pernambuco";"3 Indústrias de transformação";"66,3"
"fevereiro 2002";"Bahia";"3 Indústrias de transformação";"71,8"
"março 2002";"Ceará";"3 Indústrias de transformação";"88,0"
"março 2002";"Pernambuco";"3 Indústrias de transformação";"67,0"
"março 2002";"Bahia";"3 Indústrias de transformação";"77,4"
"abril 2002";"Ceará";"3 Indústrias de transformação";"90,6"
"abril 2002";"Pernambuco";"3 Indústrias de transformação";"67,7"
"abril 2002";"Bahia";"3 Indústrias de transformação";"73,7"
"maio 2002";"Ceará";"3 Indústrias de transformação";"90,4"
"maio 2002";"Pernambuco";"3 Indústrias de transformação";"67,8"
"maio 2002";"Bahia";"3 Indústrias de transformação";"70,7"
"junho 2002";"Ceará";"3 Indústrias de transformação";"86,4"
"junho 2002";"Pernambuco";"3 Indústrias de transformação";"61,4"
"junho 2002";"Bahia";"3 Indústrias de transformação";"74,5"
"julho 2002";"Ceará";"3 Indústrias de transformação";"98,5"
"julho 2002";"Pernambuco";"3 Indústrias de transformação";"68,5"
"julho 2002";"Bahia";"3 Indústrias de transformação";"87,6"
"agosto 2002";"Ceará";"3 Indústrias de transformação";"92,5"
"agosto 2002";"Pernambuco";"3 Indústrias de transformação";"70,0"
"agosto 2002";"Bahia";"3 Indústrias de transformação";"88,3"
"setembro 2002";"Ceará";"3 Indústrias de transformação";"100,0"
"setembro 2002";"Pernambuco";"3 Indústrias de transformação";"76,5"
"setembro 2002";"Bahia";"3 Indústrias de transformação";"76,5"
"outubro 2002";"Ceará";"3 Indústrias de transformação";"107,9"
"outubro 2002";"Pernambuco";"3 Indústrias de transformação";"92,4"
"outubro 2002";"Bahia";"3 Indústrias de transformação";"85,4"
"novembro 2002";"Ceará";"3 Indústrias de transformação";"109,5"
"novembro 2002";"Pernambuco";"3 Indústrias de transformação";"92,4"
"novembro 2002";"Bahia";"3 Indústrias de transformação";"83,9"
"dezembro 2002";"Ceará";"3 Indústrias de transformação";"98,1"
"dezembro 2002";"Pernambuco";"3 Indústrias de transformação";"94,2"
"dezembro 2002";"Bahia";"3 Indústrias de transformação";"84,5"
"janeiro 2003";"Ceará";"3 Indústrias de transformação";"95,0"
