"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"94,2"
"janeiro 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"98,3"
"janeiro 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"68,4"
"fevereiro 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"77,6"
"fevereiro 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"72,9"
"fevereiro 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"38,6"
"março 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"82,6"
"março 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"60,4"
"março 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"64,7"
"abril 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"91,4"
"abril 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"53,4"
"abril 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"74,4"
"maio 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"87,2"
"maio 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"55,2"
"maio 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"78,5"
"junho 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"84,3"
"junho 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"44,1"
"junho 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"85,6"
"julho 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"89,6"
"julho 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"51,1"
"julho 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"86,3"
"agosto 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"71,8"
"agosto 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"57,0"
"agosto 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"88,0"
"setembro 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"75,3"
"setembro 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"95,7"
"setembro 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"70,7"
"outubro 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"94,0"
"outubro 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"128,9"
"outubro 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"84,3"
"novembro 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"87,0"
"novembro 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"127,0"
"novembro 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"82,9"
"dezembro 2002";"Ceará";"3.10 Fabricação de produtos alimentícios";"75,3"
"dezembro 2002";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"132,2"
"dezembro 2002";"Bahia";"3.10 Fabricação de produtos alimentícios";"88,0"
"janeiro 2003";"Ceará";"3.10 Fabricação de produtos alimentícios";"82,8"
"janeiro 2003";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"123,3"
"janeiro 2003";"Bahia";"3.10 Fabricação de produtos alimentícios";"83,3"
"fevereiro 2003";"Ceará";"3.10 Fabricação de produtos alimentícios";"78,1"
"fevereiro 2003";"Pernambuco";"3.10 Fabricação de produtos alimentícios";"67,2"
"fevereiro 2003";"Bahia";"3.10 Fabricação de produtos alimentícios";"55,0"
