"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Brasil";"3.11 Fabricação de bebidas";"62,6"
"fevereiro 2002";"Brasil";"3.11 Fabricação de bebidas";"57,8"
"março 2002";"Brasil";"3.11 Fabricação de bebidas";"60,7"
"abril 2002";"Brasil";"3.11 Fabricação de bebidas";"62,7"
"maio 2002";"Brasil";"3.11 Fabricação de bebidas";"62,3"
"junho 2002";"Brasil";"3.11 Fabricação de bebidas";"60,5"
"julho 2002";"Brasil";"3.11 Fabricação de bebidas";"60,2"
"agosto 2002";"Brasil";"3.11 Fabricação de bebidas";"67,3"
"setembro 2002";"Brasil";"3.11 Fabricação de bebidas";"66,6"
"outubro 2002";"Brasil";"3.11 Fabricação de bebidas";"83,4"
"novembro 2002";"Brasil";"3.11 Fabricação de bebidas";"82,9"
"dezembro 2002";"Brasil";"3.11 Fabricação de bebidas";"88,4"
"janeiro 2003";"Brasil";"3.11 Fabricação de bebidas";"62,6"
"fevereiro 2003";"Brasil";"3.11 Fabricação de bebidas";"60,8"
"março 2003";"Brasil";"3.11 Fabricação de bebidas";"63,9"
"abril 2003";"Brasil";"3.11 Fabricação de bebidas";"56,7"
"maio 2003";"Brasil";"3.11 Fabricação de bebidas";"58,0"
"junho 2003";"Brasil";"3.11 Fabricação de bebidas";"56,0"
"julho 2003";"Brasil";"3.11 Fabricação de bebidas";"62,2"
"agosto 2003";"Brasil";"3.11 Fabricação de bebidas";"60,0"
"setembro 2003";"Brasil";"3.11 Fabricação de bebidas";"64,6"
"outubro 2003";"Brasil";"3.11 Fabricação de bebidas";"74,3"
"novembro 2003";"Brasil";"3.11 Fabricação de bebidas";"73,5"
"dezembro 2003";"Brasil";"3.11 Fabricação de bebidas";"89,5"
"janeiro 2004";"Brasil";"3.11 Fabricação de bebidas";"65,0"
"fevereiro 2004";"Brasil";"3.11 Fabricação de bebidas";"61,6"
"março 2004";"Brasil";"3.11 Fabricação de bebidas";"63,9"
"abril 2004";"Brasil";"3.11 Fabricação de bebidas";"64,8"
"maio 2004";"Brasil";"3.11 Fabricação de bebidas";"60,5"
"junho 2004";"Brasil";"3.11 Fabricação de bebidas";"55,9"
"julho 2004";"Brasil";"3.11 Fabricação de bebidas";"63,0"
"agosto 2004";"Brasil";"3.11 Fabricação de bebidas";"64,1"
"setembro 2004";"Brasil";"3.11 Fabricação de bebidas";"76,7"
"outubro 2004";"Brasil";"3.11 Fabricação de bebidas";"81,7"
"novembro 2004";"Brasil";"3.11 Fabricação de bebidas";"81,1"
"dezembro 2004";"Brasil";"3.11 Fabricação de bebidas";"88,9"
"janeiro 2005";"Brasil";"3.11 Fabricação de bebidas";"72,3"
"fevereiro 2005";"Brasil";"3.11 Fabricação de bebidas";"62,9"
"março 2005";"Brasil";"3.11 Fabricação de bebidas";"69,0"
"abril 2005";"Brasil";"3.11 Fabricação de bebidas";"71,9"
"maio 2005";"Brasil";"3.11 Fabricação de bebidas";"66,0"
"junho 2005";"Brasil";"3.11 Fabricação de bebidas";"67,0"
"julho 2005";"Brasil";"3.11 Fabricação de bebidas";"62,5"
"agosto 2005";"Brasil";"3.11 Fabricação de bebidas";"70,9"
"setembro 2005";"Brasil";"3.11 Fabricação de bebidas";"76,6"
"outubro 2005";"Brasil";"3.11 Fabricação de bebidas";"82,2"
"novembro 2005";"Brasil";"3.11 Fabricação de bebidas";"85,0"
"dezembro 2005";"Brasil";"3.11 Fabricação de bebidas";"93,5"
"janeiro 2006";"Brasil";"3.11 Fabricação de bebidas";"74,9"
"fevereiro 2006";"Brasil";"3.11 Fabricação de bebidas";"73,2"
"março 2006";"Brasil";"3.11 Fabricação de bebidas";"75,9"
"abril 2006";"Brasil";"3.11 Fabricação de bebidas";"69,7"
"maio 2006";"Brasil";"3.11 Fabricação de bebidas";"71,0"
"junho 2006";"Brasil";"3.11 Fabricação de bebidas";"66,9"
"julho 2006";"Brasil";"3.11 Fabricação de bebidas";"70,7"
"agosto 2006";"Brasil";"3.11 Fabricação de bebidas";"77,3"
"setembro 2006";"Brasil";"3.11 Fabricação de bebidas";"82,6"
"outubro 2006";"Brasil";"3.11 Fabricação de bebidas";"85,9"
"novembro 2006";"Brasil";"3.11 Fabricação de bebidas";"92,5"
"dezembro 2006";"Brasil";"3.11 Fabricação de bebidas";"101,6"
"janeiro 2007";"Brasil";"3.11 Fabricação de bebidas";"84,6"
"fevereiro 2007";"Brasil";"3.11 Fabricação de bebidas";"73,9"
"março 2007";"Brasil";"3.11 Fabricação de bebidas";"79,9"
"abril 2007";"Brasil";"3.11 Fabricação de bebidas";"78,0"
"maio 2007";"Brasil";"3.11 Fabricação de bebidas";"76,8"
"junho 2007";"Brasil";"3.11 Fabricação de bebidas";"69,3"
"julho 2007";"Brasil";"3.11 Fabricação de bebidas";"70,8"
"agosto 2007";"Brasil";"3.11 Fabricação de bebidas";"81,1"
"setembro 2007";"Brasil";"3.11 Fabricação de bebidas";"82,4"
"outubro 2007";"Brasil";"3.11 Fabricação de bebidas";"92,8"
"novembro 2007";"Brasil";"3.11 Fabricação de bebidas";"96,5"
"dezembro 2007";"Brasil";"3.11 Fabricação de bebidas";"106,7"
"janeiro 2008";"Brasil";"3.11 Fabricação de bebidas";"90,8"
"fevereiro 2008";"Brasil";"3.11 Fabricação de bebidas";"74,5"
"março 2008";"Brasil";"3.11 Fabricação de bebidas";"74,4"
"abril 2008";"Brasil";"3.11 Fabricação de bebidas";"74,9"
