"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.11 Fabricação de bebidas";"65,7"
"janeiro 2002";"Pernambuco";"3.11 Fabricação de bebidas";"71,2"
"janeiro 2002";"Bahia";"3.11 Fabricação de bebidas";"50,5"
"fevereiro 2002";"Ceará";"3.11 Fabricação de bebidas";"47,2"
"fevereiro 2002";"Pernambuco";"3.11 Fabricação de bebidas";"57,4"
"fevereiro 2002";"Bahia";"3.11 Fabricação de bebidas";"43,7"
"março 2002";"Ceará";"3.11 Fabricação de bebidas";"50,5"
"março 2002";"Pernambuco";"3.11 Fabricação de bebidas";"61,9"
"março 2002";"Bahia";"3.11 Fabricação de bebidas";"50,9"
"abril 2002";"Ceará";"3.11 Fabricação de bebidas";"49,8"
"abril 2002";"Pernambuco";"3.11 Fabricação de bebidas";"63,8"
"abril 2002";"Bahia";"3.11 Fabricação de bebidas";"44,0"
"maio 2002";"Ceará";"3.11 Fabricação de bebidas";"51,3"
"maio 2002";"Pernambuco";"3.11 Fabricação de bebidas";"58,1"
"maio 2002";"Bahia";"3.11 Fabricação de bebidas";"44,2"
"junho 2002";"Ceará";"3.11 Fabricação de bebidas";"60,6"
"junho 2002";"Pernambuco";"3.11 Fabricação de bebidas";"52,2"
"junho 2002";"Bahia";"3.11 Fabricação de bebidas";"43,0"
"julho 2002";"Ceará";"3.11 Fabricação de bebidas";"68,6"
"julho 2002";"Pernambuco";"3.11 Fabricação de bebidas";"63,4"
"julho 2002";"Bahia";"3.11 Fabricação de bebidas";"53,4"
"agosto 2002";"Ceará";"3.11 Fabricação de bebidas";"68,9"
"agosto 2002";"Pernambuco";"3.11 Fabricação de bebidas";"69,0"
"agosto 2002";"Bahia";"3.11 Fabricação de bebidas";"53,1"
"setembro 2002";"Ceará";"3.11 Fabricação de bebidas";"67,8"
"setembro 2002";"Pernambuco";"3.11 Fabricação de bebidas";"57,3"
"setembro 2002";"Bahia";"3.11 Fabricação de bebidas";"51,5"
"outubro 2002";"Ceará";"3.11 Fabricação de bebidas";"83,5"
"outubro 2002";"Pernambuco";"3.11 Fabricação de bebidas";"67,0"
