"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"123,3"
"janeiro 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"janeiro 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"fevereiro 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"130,8"
"fevereiro 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"fevereiro 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"março 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"139,2"
"março 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"março 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"abril 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"137,7"
"abril 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"abril 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"maio 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"138,3"
"maio 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"maio 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"junho 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"136,7"
"junho 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"junho 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"julho 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"142,5"
"julho 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"julho 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"agosto 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"140,6"
"agosto 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"agosto 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"setembro 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"137,2"
"setembro 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
"setembro 2002";"Bahia";"3.13 Fabricação de produtos têxteis";"-"
"outubro 2002";"Ceará";"3.13 Fabricação de produtos têxteis";"139,3"
"outubro 2002";"Pernambuco";"3.13 Fabricação de produtos têxteis";"-"
