"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"108,5"
"janeiro 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"janeiro 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"fevereiro 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"96,8"
"fevereiro 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"fevereiro 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"março 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"121,0"
"março 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"março 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"abril 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"138,0"
"abril 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"abril 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"maio 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"121,3"
"maio 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"maio 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"junho 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"117,6"
"junho 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"junho 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"julho 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"144,4"
"julho 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"julho 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"agosto 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"142,4"
"agosto 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"agosto 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"setembro 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"157,0"
"setembro 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"setembro 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"outubro 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"205,4"
"outubro 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"outubro 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"novembro 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"222,6"
"novembro 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"novembro 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"dezembro 2002";"Ceará";"3.14 Confecção de artigos do vestuário e acessórios";"121,5"
"dezembro 2002";"Pernambuco";"3.14 Confecção de artigos do vestuário e acessórios";"-"
"dezembro 2002";"Bahia";"3.14 Confecção de artigos do vestuário e acessórios";"-"
