"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"janeiro 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"janeiro 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"fevereiro 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"fevereiro 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"fevereiro 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"março 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"março 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"março 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"abril 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"abril 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"abril 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"maio 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"maio 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"maio 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"junho 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"junho 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"junho 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"julho 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"julho 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"julho 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"agosto 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"agosto 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"agosto 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"setembro 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"setembro 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"setembro 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"outubro 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"outubro 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"outubro 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"novembro 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
"novembro 2002";"Pernambuco";"3.16 Fabricação de produtos de madeira";"-"
"novembro 2002";"Bahia";"3.16 Fabricação de produtos de madeira";"-"
"dezembro 2002";"Ceará";"3.16 Fabricação de produtos de madeira";"-"
