"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"56,1"
"fevereiro 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"fevereiro 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"fevereiro 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"50,7"
"março 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"março 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"março 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"46,6"
"abril 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"abril 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"abril 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"57,8"
"maio 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"maio 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"maio 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"59,1"
"junho 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"junho 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"junho 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"56,0"
"julho 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"julho 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"julho 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"56,6"
"agosto 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"agosto 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"agosto 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"54,8"
"setembro 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"setembro 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"35,9"
"outubro 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"outubro 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"52,0"
"novembro 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"novembro 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"novembro 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"53,9"
"dezembro 2002";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"dezembro 2002";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"dezembro 2002";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"58,1"
"janeiro 2003";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2003";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"janeiro 2003";"Bahia";"3.17 Fabricação de celulose, papel e produtos de papel";"56,0"
"fevereiro 2003";"Ceará";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
"fevereiro 2003";"Pernambuco";"3.17 Fabricação de celulose, papel e produtos de papel";"-"
