"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"março 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"março 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"março 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"abril 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"abril 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"abril 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"maio 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"maio 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"maio 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"junho 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"junho 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"junho 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"julho 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"julho 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"julho 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"agosto 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"agosto 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"agosto 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"setembro 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"setembro 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"setembro 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"outubro 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"outubro 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"outubro 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"novembro 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"novembro 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"novembro 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"dezembro 2002";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"dezembro 2002";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"dezembro 2002";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"março 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"março 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"março 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"abril 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"abril 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"abril 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"maio 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"maio 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"maio 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"junho 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"junho 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"junho 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"julho 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"julho 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"julho 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"agosto 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"agosto 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"agosto 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"setembro 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"setembro 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"setembro 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"outubro 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"outubro 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"outubro 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"novembro 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"novembro 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"novembro 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"dezembro 2003";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"dezembro 2003";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"dezembro 2003";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2004";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2004";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"janeiro 2004";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2004";"Ceará";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2004";"Pernambuco";"3.18 Impressão e reprodução de gravações";"-"
"fevereiro 2004";"Bahia";"3.18 Impressão e reprodução de gravações";"-"
