"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"94,4"
"janeiro 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"janeiro 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"87,6"
"fevereiro 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"75,0"
"fevereiro 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"fevereiro 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"79,1"
"março 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"87,5"
"março 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"março 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"96,5"
"abril 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"89,0"
"abril 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"abril 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"87,9"
"maio 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"94,1"
"maio 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"maio 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"67,3"
"junho 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"99,7"
"junho 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"junho 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"69,8"
"julho 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"139,2"
"julho 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"julho 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"95,9"
"agosto 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"117,5"
"agosto 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"agosto 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"90,1"
"setembro 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"124,7"
"setembro 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"setembro 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"73,9"
"outubro 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"100,9"
"outubro 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"outubro 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"83,3"
"novembro 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"135,3"
"novembro 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"novembro 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"75,8"
"dezembro 2002";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"152,0"
"dezembro 2002";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"dezembro 2002";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"82,7"
"janeiro 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"137,0"
"janeiro 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"janeiro 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"86,5"
"fevereiro 2003";"Ceará";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"117,9"
"fevereiro 2003";"Pernambuco";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"-"
"fevereiro 2003";"Bahia";"3.19 Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis";"72,0"
