"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"janeiro 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"janeiro 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"93,9"
"fevereiro 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"fevereiro 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"fevereiro 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"91,5"
"março 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"março 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"março 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"77,4"
"abril 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"abril 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"abril 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"74,3"
"maio 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"maio 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"maio 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"84,8"
"junho 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"junho 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"junho 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"96,1"
"julho 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"julho 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"julho 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"107,9"
"agosto 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"agosto 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"agosto 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"112,0"
"setembro 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"setembro 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"setembro 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"104,6"
"outubro 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"outubro 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"outubro 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"109,4"
"novembro 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"novembro 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"novembro 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"111,2"
"dezembro 2002";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"dezembro 2002";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"dezembro 2002";"Bahia";"3.20C Fabricação de outros produtos químicos";"104,2"
"janeiro 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"janeiro 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"janeiro 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"101,2"
"fevereiro 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"fevereiro 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"fevereiro 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"82,2"
"março 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"março 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"março 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"91,3"
"abril 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"abril 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"abril 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"101,0"
"maio 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"maio 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"maio 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"92,0"
"junho 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"junho 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"junho 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"87,2"
"julho 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
"julho 2003";"Pernambuco";"3.20C Fabricação de outros produtos químicos";"-"
"julho 2003";"Bahia";"3.20C Fabricação de outros produtos químicos";"109,7"
"agosto 2003";"Ceará";"3.20C Fabricação de outros produtos químicos";"-"
