"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"janeiro 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"janeiro 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"fevereiro 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"fevereiro 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"fevereiro 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"março 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"março 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"março 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"abril 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"abril 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"abril 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"maio 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"maio 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"maio 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"junho 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"junho 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"junho 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"julho 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"julho 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"julho 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"agosto 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"agosto 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"agosto 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"setembro 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"setembro 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"setembro 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"outubro 2002";"Ceará";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"outubro 2002";"Pernambuco";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
"outubro 2002";"Bahia";"3.21 Fabricação de produtos farmoquímicos e farmacêuticos";"-"
