"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"março 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"março 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"março 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"abril 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"abril 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"abril 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"maio 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"maio 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"maio 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"junho 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"junho 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"junho 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"julho 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"julho 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"julho 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"agosto 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"agosto 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"agosto 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"setembro 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"setembro 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"setembro 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"outubro 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"outubro 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"outubro 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"novembro 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"novembro 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"novembro 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"dezembro 2002";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"dezembro 2002";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"dezembro 2002";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"março 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"março 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"março 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"abril 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"abril 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"abril 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"maio 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"maio 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"maio 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"junho 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"junho 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"junho 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"julho 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"julho 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"julho 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"agosto 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"agosto 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"agosto 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"setembro 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"setembro 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"setembro 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"outubro 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"outubro 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"outubro 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"novembro 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"novembro 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"novembro 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"dezembro 2003";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"dezembro 2003";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"dezembro 2003";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2004";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2004";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"janeiro 2004";"Bahia";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2004";"Ceará";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
"fevereiro 2004";"Pernambuco";"3.22 Fabricação de produtos de borracha e de material plástico";"-"
