"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"Unidade da Federação";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"68,8"
"janeiro 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"65,8"
"janeiro 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"52,3"
"fevereiro 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"53,5"
"fevereiro 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"56,9"
"fevereiro 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"50,8"
"março 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"64,7"
"março 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"64,5"
"março 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"63,0"
"abril 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"65,2"
"abril 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"65,3"
"abril 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"58,4"
"maio 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"62,6"
"maio 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"68,9"
"maio 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"58,2"
"junho 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"66,8"
"junho 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"62,5"
"junho 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"50,0"
"julho 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"83,5"
"julho 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"62,8"
"julho 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"51,8"
"agosto 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"88,4"
"agosto 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"68,6"
"agosto 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"58,5"
"setembro 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"83,9"
"setembro 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"65,1"
"setembro 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"53,6"
"outubro 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"91,0"
"outubro 2002";"Pernambuco";"3.23 Fabricação de produtos de minerais não-metálicos";"75,0"
"outubro 2002";"Bahia";"3.23 Fabricação de produtos de minerais não-metálicos";"62,7"
"novembro 2002";"Ceará";"3.23 Fabricação de produtos de minerais não-metálicos";"92,1"
