"Tabela 3653 - Produção Física Industrial, por seções e atividades industriais"
"Variável - Índice de base fixa sem ajuste sazonal (Base: média de 2012 = 100) (Número-índice)"
"Mês";"";"Seções e atividades industriais (CNAE 2.0)";""
"janeiro 2002";"Brasil";"3.24 Metalurgia";"82,6"
"fevereiro 2002";"Brasil";"3.24 Metalurgia";"80,4"
"março 2002";"Brasil";"3.24 Metalurgia";"86,9"
"abril 2002";"Brasil";"3.24 Metalurgia";"83,3"
"maio 2002";"Brasil";"3.24 Metalurgia";"88,9"
"junho 2002";"Brasil";"3.24 Metalurgia";"86,9"
"julho 2002";"Brasil";"3.24 Metalurgia";"91,1"
"agosto 2002";"Brasil";"3.24 Metalurgia";"92,8"
"setembro 2002";"Brasil";"3.24 Metalurgia";"90,5"
"outubro 2002";"Brasil";"3.24 Metalurgia";"96,2"
"novembro 2002";"Brasil";"3.24 Metalurgia";"92,2"
"dezembro 2002";"Brasil";"3.24 Metalurgia";"92,3"
"janeiro 2003";"Brasil";"3.24 Metalurgia";"91,7"
"fevereiro 2003";"Brasil";"3.24 Metalurgia";"85,5"
"março 2003";"Brasil";"3.24 Metalurgia";"97,4"
"abril 2003";"Brasil";"3.24 Metalurgia";"93,0"
"maio 2003";"Brasil";"3.24 Metalurgia";"96,3"
"junho 2003";"Brasil";"3.24 Metalurgia";"92,5"
"julho 2003";"Brasil";"3.24 Metalurgia";"95,3"
"agosto 2003";"Brasil";"3.24 Metalurgia";"96,4"
"setembro 2003";"Brasil";"3.24 Metalurgia";"95,3"
"outubro 2003";"Brasil";"3.24 Metalurgia";"95,9"
"novembro 2003";"Brasil";"3.24 Metalurgia";"94,9"
"dezembro 2003";"Brasil";"3.24 Metalurgia";"93,4"
"janeiro 2004";"Brasil";"3.24 Metalurgia";"91,6"
"fevereiro 2004";"Brasil";"3.24 Metalurgia";"90,5"
"março 2004";"Brasil";"3.24 Metalurgia";"98,1"
"abril 2004";"Brasil";"3.24 Metalurgia";"94,9"
